event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;415490 ;"     6:55.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;25 ;4 ;0 ;1 ;28040 ;"       28.04" ;" " ;28160 ;"       28.16" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;25 ;3 ;0 ;2 ;29900 ;"       29.90" ;"E" ;29900 ;"       29.90" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;25 ;2 ;0 ;3 ;34330 ;"       34.33" ;"E" ;34330 ;"       34.33" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;505160 ;"     8:25.16" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;25 ;5 ;0 ;1 ;25120 ;"       25.12" ;" " ;25090 ;"       25.09" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;25 ;4 ;0 ;2 ;30840 ;"       30.84" ;"E" ;30840 ;"       30.84" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;25 ;3 ;0 ;3 ;30880 ;"       30.88" ;"E" ;30880 ;"       30.88" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;25 ;2 ;0 ;4 ;31840 ;"       31.84" ;" " ;31660 ;"       31.66" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;0 ;0 ;0 ;0 ;620450 ;"    10:20.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;25 ;1 ;0 ;1 ;20340 ;"       20.34" ;" " ;20420 ;"       20.42" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;25 ;4 ;0 ;2 ;23790 ;"       23.79" ;" " ;23780 ;"       23.78" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;25 ;2 ;0 ;3 ;24830 ;"       24.83" ;" " ;24590 ;"       24.59" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;25 ;5 ;0 ;4 ;26210 ;"       26.21" ;" " ;26260 ;"       26.26" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;25 ;3 ;0 ;5 ;29590 ;"       29.59" ;" " ;29740 ;"       29.74" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;25 ;6 ;0 ;6 ;30070 ;"       30.07" ;"E" ;30070 ;"       30.07" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;0 ;0 ;0 ;728760 ;"    12:08.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;2 ;0 ;1 ;21350 ;"       21.35" ;" " ;21400 ;"       21.40" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;3 ;0 ;2 ;23880 ;"       23.88" ;"E" ;23880 ;"       23.88" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;4 ;0 ;3 ;23890 ;"       23.89" ;"E" ;23890 ;"       23.89" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;1 ;0 ;4 ;24750 ;"       24.75" ;" " ;24920 ;"       24.92" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;6 ;0 ;5 ;25170 ;"       25.17" ;" " ;25240 ;"       25.24" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;5 ;0 ;6 ;32400 ;"       32.40" ;" " ;32540 ;"       32.54" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;0 ;0 ;0 ;0 ;847420 ;"    14:07.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;0 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;3 ;0 ;1 ;21510 ;"       21.51" ;" " ;21550 ;"       21.55" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;2 ;0 ;2 ;22870 ;"       22.87" ;"E" ;22870 ;"       22.87" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;1 ;0 ;3 ;23790 ;"       23.79" ;" " ;23970 ;"       23.97" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;6 ;0 ;4 ;26140 ;"       26.14" ;" " ;26380 ;"       26.38" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;5 ;0 ;5 ;26680 ;"       26.68" ;"E" ;26680 ;"       26.68" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
102 ;0 ;0 ;0 ;0 ;0 ;0 ;973190 ;"    16:13.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
102 ;0 ;0 ;25 ;5 ;0 ;1 ;22130 ;"       22.13" ;" " ;22200 ;"       22.20" ;"A" ;0 ;"" ;"" ;
102 ;0 ;0 ;25 ;4 ;0 ;2 ;24980 ;"       24.98" ;" " ;25110 ;"       25.11" ;"A" ;0 ;"" ;"" ;
