event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;2 ;0 ;93 ;
101 ;0 ;0 ;3 ;0 ;96 ;
101 ;0 ;0 ;4 ;0 ;149 ;
101 ;0 ;1 ;2 ;0 ;64 ;
101 ;0 ;1 ;3 ;0 ;126 ;
101 ;0 ;1 ;4 ;0 ;154 ;
101 ;0 ;1 ;5 ;0 ;161 ;
101 ;0 ;2 ;1 ;0 ;42 ;
101 ;0 ;2 ;2 ;0 ;28 ;
101 ;0 ;2 ;3 ;0 ;99 ;
101 ;0 ;2 ;4 ;0 ;114 ;
101 ;0 ;2 ;5 ;0 ;72 ;
101 ;0 ;2 ;6 ;0 ;174 ;
101 ;0 ;3 ;1 ;0 ;62 ;
101 ;0 ;3 ;2 ;0 ;94 ;
101 ;0 ;3 ;3 ;0 ;113 ;
101 ;0 ;3 ;4 ;0 ;135 ;
101 ;0 ;3 ;5 ;0 ;134 ;
101 ;0 ;3 ;6 ;0 ;157 ;
101 ;0 ;4 ;1 ;0 ;6 ;
101 ;0 ;4 ;2 ;0 ;17 ;
101 ;0 ;4 ;3 ;0 ;75 ;
101 ;0 ;4 ;4 ;0 ;123 ;
101 ;0 ;4 ;5 ;0 ;129 ;
101 ;0 ;4 ;6 ;0 ;53 ;
102 ;0 ;0 ;1 ;0 ;100 ;
102 ;0 ;0 ;2 ;0 ;63 ;
102 ;0 ;0 ;3 ;0 ;139 ;
102 ;0 ;0 ;4 ;0 ;83 ;
102 ;0 ;0 ;5 ;0 ;37 ;
102 ;0 ;1 ;1 ;0 ;32 ;
102 ;0 ;1 ;2 ;0 ;38 ;
102 ;0 ;1 ;3 ;0 ;101 ;
102 ;0 ;1 ;4 ;0 ;24 ;
102 ;0 ;1 ;5 ;0 ;112 ;
102 ;0 ;2 ;1 ;0 ;34 ;
102 ;0 ;2 ;2 ;0 ;20 ;
102 ;0 ;2 ;3 ;0 ;119 ;
102 ;0 ;2 ;4 ;0 ;61 ;
102 ;0 ;2 ;5 ;0 ;45 ;
102 ;0 ;2 ;6 ;0 ;117 ;
103 ;0 ;0 ;1 ;0 ;74 ;
103 ;0 ;0 ;2 ;0 ;131 ;
103 ;0 ;0 ;3 ;0 ;111 ;
103 ;0 ;0 ;4 ;0 ;92 ;
103 ;0 ;0 ;5 ;0 ;39 ;
103 ;0 ;1 ;1 ;0 ;3 ;
103 ;0 ;1 ;2 ;0 ;106 ;
103 ;0 ;1 ;3 ;0 ;110 ;
103 ;0 ;1 ;4 ;0 ;44 ;
103 ;0 ;1 ;5 ;0 ;66 ;
103 ;0 ;2 ;1 ;0 ;85 ;
103 ;0 ;2 ;2 ;0 ;25 ;
103 ;0 ;2 ;3 ;0 ;130 ;
103 ;0 ;2 ;4 ;0 ;2 ;
103 ;0 ;2 ;5 ;0 ;147 ;
103 ;0 ;2 ;6 ;0 ;48 ;
103 ;0 ;3 ;1 ;0 ;145 ;
103 ;0 ;3 ;2 ;0 ;36 ;
103 ;0 ;3 ;3 ;0 ;26 ;
103 ;0 ;3 ;4 ;0 ;5 ;
103 ;0 ;3 ;5 ;0 ;19 ;
103 ;0 ;3 ;6 ;0 ;118 ;
103 ;0 ;4 ;1 ;0 ;4 ;
103 ;0 ;4 ;2 ;0 ;146 ;
103 ;0 ;4 ;3 ;0 ;22 ;
103 ;0 ;4 ;4 ;0 ;69 ;
103 ;0 ;4 ;5 ;0 ;51 ;
103 ;0 ;4 ;6 ;0 ;40 ;
104 ;0 ;0 ;2 ;0 ;102 ;
104 ;0 ;0 ;3 ;0 ;15 ;
104 ;0 ;0 ;4 ;0 ;60 ;
104 ;0 ;0 ;5 ;0 ;162 ;
104 ;0 ;1 ;2 ;0 ;168 ;
104 ;0 ;1 ;3 ;0 ;107 ;
104 ;0 ;1 ;4 ;0 ;173 ;
104 ;0 ;1 ;5 ;0 ;8 ;
104 ;0 ;2 ;1 ;0 ;137 ;
104 ;0 ;2 ;2 ;0 ;155 ;
104 ;0 ;2 ;3 ;0 ;18 ;
104 ;0 ;2 ;4 ;0 ;11 ;
104 ;0 ;2 ;5 ;0 ;104 ;
104 ;0 ;2 ;6 ;0 ;27 ;
104 ;0 ;3 ;1 ;0 ;33 ;
104 ;0 ;3 ;2 ;0 ;158 ;
104 ;0 ;3 ;3 ;0 ;127 ;
104 ;0 ;3 ;4 ;0 ;55 ;
104 ;0 ;3 ;5 ;0 ;124 ;
104 ;0 ;3 ;6 ;0 ;12 ;
104 ;0 ;4 ;1 ;0 ;115 ;
104 ;0 ;4 ;2 ;0 ;90 ;
104 ;0 ;4 ;3 ;0 ;41 ;
104 ;0 ;4 ;4 ;0 ;23 ;
104 ;0 ;4 ;5 ;0 ;1 ;
104 ;0 ;4 ;6 ;0 ;144 ;
105 ;0 ;0 ;2 ;0 ;126 ;
105 ;0 ;0 ;3 ;0 ;161 ;
105 ;0 ;0 ;4 ;0 ;58 ;
105 ;0 ;1 ;2 ;0 ;98 ;
105 ;0 ;1 ;3 ;0 ;42 ;
105 ;0 ;1 ;4 ;0 ;28 ;
