id;event;round ;heat
1 ;101 ;0 ;0 ;
2 ;101 ;0 ;1 ;
3 ;101 ;0 ;2 ;
4 ;101 ;0 ;3 ;
5 ;101 ;0 ;4 ;
6 ;102 ;0 ;0 ;
7 ;102 ;0 ;1 ;
8 ;102 ;0 ;2 ;
9 ;103 ;0 ;0 ;
10 ;103 ;0 ;1 ;
11 ;103 ;0 ;2 ;
12 ;103 ;0 ;3 ;
13 ;103 ;0 ;4 ;
14 ;104 ;0 ;0 ;
15 ;104 ;0 ;1 ;
16 ;104 ;0 ;2 ;
17 ;104 ;0 ;3 ;
18 ;104 ;0 ;4 ;
19 ;105 ;0 ;0 ;
20 ;105 ;0 ;1 ;
21 ;105 ;0 ;2 ;
22 ;106 ;0 ;0 ;
23 ;106 ;0 ;1 ;
24 ;106 ;0 ;2 ;
25 ;107 ;0 ;0 ;
26 ;108 ;0 ;0 ;
27 ;108 ;0 ;1 ;
28 ;108 ;0 ;2 ;
29 ;108 ;0 ;3 ;
30 ;109 ;0 ;0 ;
31 ;110 ;0 ;0 ;
32 ;110 ;0 ;1 ;
33 ;110 ;0 ;2 ;
34 ;111 ;0 ;0 ;
35 ;111 ;0 ;1 ;
36 ;111 ;0 ;2 ;
37 ;111 ;0 ;3 ;
38 ;112 ;0 ;0 ;
39 ;112 ;0 ;1 ;
40 ;112 ;0 ;2 ;
41 ;113 ;0 ;0 ;
42 ;113 ;0 ;1 ;
43 ;113 ;0 ;2 ;
44 ;113 ;0 ;3 ;
45 ;113 ;0 ;4 ;
46 ;114 ;0 ;0 ;
47 ;114 ;0 ;1 ;
48 ;114 ;0 ;2 ;
49 ;201 ;0 ;0 ;
50 ;201 ;0 ;1 ;
51 ;202 ;0 ;0 ;
52 ;202 ;0 ;1 ;
53 ;202 ;0 ;2 ;
54 ;202 ;0 ;3 ;
55 ;203 ;0 ;0 ;
56 ;203 ;0 ;1 ;
57 ;203 ;0 ;2 ;
58 ;203 ;0 ;3 ;
59 ;203 ;0 ;4 ;
60 ;204 ;0 ;0 ;
61 ;204 ;0 ;1 ;
62 ;204 ;0 ;2 ;
63 ;205 ;0 ;0 ;
64 ;206 ;0 ;0 ;
65 ;207 ;0 ;0 ;
66 ;208 ;0 ;0 ;
67 ;208 ;0 ;1 ;
68 ;209 ;0 ;0 ;
69 ;209 ;0 ;1 ;
70 ;210 ;0 ;0 ;
71 ;210 ;0 ;1 ;
72 ;210 ;0 ;2 ;
73 ;210 ;0 ;3 ;
74 ;211 ;0 ;0 ;
75 ;211 ;0 ;1 ;
76 ;211 ;0 ;2 ;
77 ;212 ;0 ;0 ;
78 ;212 ;0 ;1 ;
79 ;213 ;0 ;0 ;
80 ;213 ;0 ;1 ;
81 ;213 ;0 ;2 ;
82 ;214 ;0 ;0 ;
83 ;214 ;0 ;1 ;
84 ;214 ;0 ;2 ;
85 ;214 ;0 ;3 ;
86 ;214 ;0 ;4 ;
87 ;301 ;0 ;0 ;
88 ;301 ;0 ;1 ;
89 ;301 ;0 ;2 ;
90 ;301 ;0 ;3 ;
91 ;301 ;0 ;4 ;
92 ;302 ;0 ;0 ;
93 ;302 ;0 ;1 ;
94 ;302 ;0 ;2 ;
95 ;302 ;0 ;3 ;
96 ;303 ;0 ;0 ;
97 ;303 ;0 ;1 ;
98 ;303 ;0 ;2 ;
99 ;304 ;0 ;0 ;
100 ;304 ;0 ;1 ;
101 ;304 ;0 ;2 ;
102 ;304 ;0 ;3 ;
103 ;304 ;0 ;4 ;
104 ;305 ;0 ;0 ;
105 ;305 ;0 ;1 ;
106 ;305 ;0 ;1 ;
107 ;305 ;0 ;2 ;
108 ;305 ;0 ;3 ;
109 ;306 ;0 ;0 ;
110 ;306 ;0 ;1 ;
111 ;306 ;0 ;2 ;
112 ;307 ;0 ;0 ;
113 ;308 ;0 ;0 ;
114 ;308 ;0 ;1 ;
115 ;309 ;0 ;0 ;
116 ;310 ;0 ;0 ;
117 ;310 ;0 ;1 ;
118 ;310 ;0 ;2 ;
119 ;310 ;0 ;3 ;
120 ;311 ;0 ;0 ;
121 ;311 ;0 ;1 ;
122 ;311 ;0 ;2 ;
123 ;311 ;0 ;3 ;
124 ;311 ;0 ;4 ;
125 ;312 ;0 ;0 ;
126 ;312 ;0 ;1 ;
127 ;312 ;0 ;2 ;
128 ;312 ;0 ;3 ;
129 ;313 ;0 ;0 ;
130 ;313 ;0 ;1 ;
131 ;313 ;0 ;2 ;
132 ;314 ;0 ;0 ;
133 ;314 ;0 ;1 ;
134 ;314 ;0 ;2 ;
135 ;314 ;0 ;3 ;
