event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
999 ;4 ;0 ;0 ;0 ;0 ;0 ;65968490 ;" 18:19:28.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;6 ;0 ;1 ;33050 ;"       33.05" ;" " ;29600 ;"       29.60" ;" " ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;5 ;0 ;2 ;41530 ;"       41.53" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;4 ;0 ;3 ;45970 ;"       45.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;3 ;0 ;4 ;49070 ;"       49.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;2 ;0 ;5 ;55880 ;"       55.88" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;1 ;0 ;6 ;60920 ;"     1:00.92" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;0 ;0 ;0 ;67673450 ;" 18:47:53.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;1 ;36260 ;"       36.26" ;" " ;36340 ;"       36.34" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;2 ;38770 ;"       38.77" ;" " ;38900 ;"       38.90" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;3 ;39400 ;"       39.40" ;" " ;39460 ;"       39.46" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;4 ;42240 ;"       42.24" ;" " ;42430 ;"       42.43" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;5 ;46210 ;"       46.21" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;6 ;46250 ;"       46.25" ;"B" ;46250 ;"       46.25" ;"B" ;0 ;"" ;"" ;
