event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;42365690 ;" 11:46:05.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;7 ;0 ;1 ;37010 ;"       37.01" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;4 ;0 ;2 ;37250 ;"       37.25" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;3 ;0 ;3 ;38960 ;"       38.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;6 ;0 ;4 ;39530 ;"       39.53" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;5 ;0 ;5 ;39820 ;"       39.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;7 ;0 ;1 ;80420 ;"     1:20.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;4 ;0 ;2 ;81390 ;"     1:21.39" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;6 ;0 ;3 ;81590 ;"     1:21.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;3 ;0 ;4 ;83060 ;"     1:23.06" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;5 ;0 ;5 ;84910 ;"     1:24.91" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;3 ;0 ;1 ;130450 ;"     2:10.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;7 ;0 ;2 ;132030 ;"     2:12.03" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;6 ;0 ;3 ;132300 ;"     2:12.30" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;5 ;0 ;4 ;134180 ;"     2:14.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;4 ;0 ;5 ;135160 ;"     2:15.16" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;200 ;3 ;0 ;1 ;167700 ;"     2:47.70" ;" " ;167790 ;"     2:47.79" ;" " ;0 ;"" ;"" ;
101 ;0 ;0 ;200 ;6 ;0 ;2 ;168420 ;"     2:48.42" ;" " ;168480 ;"     2:48.48" ;" " ;0 ;"" ;"" ;
