event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;3 ;0 ;3 ;
101 ;0 ;0 ;4 ;0 ;217 ;
101 ;0 ;0 ;5 ;0 ;84 ;
101 ;0 ;0 ;6 ;0 ;215 ;
101 ;0 ;0 ;7 ;0 ;88 ;
101 ;0 ;1 ;2 ;0 ;269 ;
101 ;0 ;1 ;3 ;0 ;76 ;
101 ;0 ;1 ;4 ;0 ;192 ;
101 ;0 ;1 ;5 ;0 ;139 ;
101 ;0 ;1 ;6 ;0 ;23 ;
101 ;0 ;1 ;7 ;0 ;230 ;
101 ;0 ;2 ;1 ;0 ;231 ;
101 ;0 ;2 ;2 ;0 ;142 ;
101 ;0 ;2 ;3 ;0 ;30 ;
101 ;0 ;2 ;4 ;0 ;97 ;
101 ;0 ;2 ;5 ;0 ;198 ;
101 ;0 ;2 ;6 ;0 ;228 ;
101 ;0 ;2 ;7 ;0 ;202 ;
101 ;0 ;2 ;8 ;0 ;149 ;
101 ;0 ;3 ;1 ;0 ;19 ;
101 ;0 ;3 ;2 ;0 ;221 ;
101 ;0 ;3 ;3 ;0 ;166 ;
101 ;0 ;3 ;4 ;0 ;112 ;
101 ;0 ;3 ;5 ;0 ;138 ;
101 ;0 ;3 ;6 ;0 ;235 ;
101 ;0 ;3 ;7 ;0 ;86 ;
101 ;0 ;3 ;8 ;0 ;247 ;
101 ;0 ;4 ;1 ;0 ;174 ;
101 ;0 ;4 ;2 ;0 ;58 ;
101 ;0 ;4 ;3 ;0 ;33 ;
101 ;0 ;4 ;4 ;0 ;53 ;
101 ;0 ;4 ;5 ;0 ;81 ;
101 ;0 ;4 ;6 ;0 ;265 ;
101 ;0 ;4 ;7 ;0 ;248 ;
101 ;0 ;4 ;8 ;0 ;117 ;
101 ;0 ;5 ;1 ;0 ;9 ;
101 ;0 ;5 ;2 ;0 ;242 ;
101 ;0 ;5 ;3 ;0 ;209 ;
101 ;0 ;5 ;4 ;0 ;240 ;
