event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
999 ;4 ;0 ;0 ;0 ;0 ;0 ;493860 ;"     8:13.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;2 ;0 ;2 ;27180 ;"       27.18" ;" " ;26110 ;"       26.11" ;"A" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;5 ;0 ;4 ;37090 ;"       37.09" ;" " ;37050 ;"       37.05" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;0 ;0 ;0 ;67955050 ;" 18:52:35.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;1 ;32360 ;"       32.36" ;" " ;32440 ;"       32.44" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;2 ;34970 ;"       34.97" ;" " ;35000 ;"       35.00" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;3 ;35560 ;"       35.56" ;" " ;35620 ;"       35.62" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;4 ;38460 ;"       38.46" ;" " ;38620 ;"       38.62" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;5 ;39850 ;"       39.85" ;" " ;39940 ;"       39.94" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;68034320 ;" 18:53:54.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;1 ;28190 ;"       28.19" ;" " ;28210 ;"       28.21" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;2 ;28970 ;"       28.97" ;" " ;29040 ;"       29.04" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;3 ;29410 ;"       29.41" ;" " ;29410 ;"       29.41" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;4 ;29450 ;"       29.45" ;" " ;29560 ;"       29.56" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;5 ;31230 ;"       31.23" ;" " ;31270 ;"       31.27" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;68130480 ;" 18:55:30.48" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;1 ;44910 ;"       44.91" ;" " ;44970 ;"       44.97" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;6 ;0 ;2 ;47090 ;"       47.09" ;" " ;47190 ;"       47.19" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;3 ;47500 ;"       47.50" ;"E" ;47500 ;"       47.50" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;4 ;51210 ;"       51.21" ;" " ;51110 ;"       51.11" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;5 ;58940 ;"       58.94" ;"E" ;58940 ;"       58.94" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;68247180 ;" 18:57:27.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;1 ;44960 ;"       44.96" ;" " ;44960 ;"       44.96" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;2 ;48000 ;"       48.00" ;" " ;48130 ;"       48.13" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;3 ;48600 ;"       48.60" ;" " ;48680 ;"       48.68" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;6 ;0 ;4 ;52700 ;"       52.70" ;" " ;52790 ;"       52.79" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;5 ;57010 ;"       57.01" ;" " ;57030 ;"       57.03" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;0 ;0 ;0 ;0 ;68340350 ;" 18:59:00.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;3 ;0 ;1 ;35710 ;"       35.71" ;" " ;35760 ;"       35.76" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;2 ;0 ;2 ;36700 ;"       36.70" ;" " ;36840 ;"       36.84" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;6 ;0 ;3 ;38430 ;"       38.43" ;" " ;38510 ;"       38.51" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;4 ;0 ;4 ;38890 ;"       38.89" ;" " ;39030 ;"       39.03" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;0 ;0 ;0 ;0 ;68407200 ;" 19:00:07.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;6 ;0 ;1 ;30860 ;"       30.86" ;" " ;30930 ;"       30.93" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;2 ;0 ;2 ;32730 ;"       32.73" ;" " ;32610 ;"       32.61" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;4 ;0 ;3 ;33790 ;"       33.79" ;" " ;33890 ;"       33.89" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;3 ;0 ;4 ;33950 ;"       33.95" ;"E" ;33950 ;"       33.95" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;5 ;0 ;5 ;50390 ;"       50.39" ;" " ;50380 ;"       50.38" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;0 ;0 ;0 ;0 ;68493670 ;" 19:01:33.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;2 ;0 ;1 ;43340 ;"       43.34" ;" " ;43360 ;"       43.36" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;6 ;0 ;2 ;47560 ;"       47.56" ;" " ;47600 ;"       47.60" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;4 ;0 ;3 ;49480 ;"       49.48" ;" " ;49540 ;"       49.54" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;3 ;0 ;4 ;55200 ;"       55.20" ;" " ;55200 ;"       55.20" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;5 ;0 ;5 ;60930 ;"     1:00.93" ;" " ;61000 ;"     1:01.00" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;0 ;0 ;0 ;0 ;68591170 ;" 19:03:11.17" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;2 ;0 ;1 ;46010 ;"       46.01" ;" " ;46140 ;"       46.14" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;6 ;0 ;2 ;47470 ;"       47.47" ;" " ;47570 ;"       47.57" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;5 ;0 ;3 ;50730 ;"       50.73" ;" " ;50740 ;"       50.74" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;4 ;0 ;4 ;52130 ;"       52.13" ;" " ;52110 ;"       52.11" ;"A" ;0 ;"" ;"" ;
