event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;50 ;3 ;0 ;1 ;26730 ;"       26.73" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;50 ;5 ;0 ;2 ;30210 ;"       30.21" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;50 ;4 ;0 ;3 ;31330 ;"       31.33" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;50 ;6 ;0 ;4 ;31890 ;"       31.89" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;100 ;3 ;0 ;1 ;58660 ;"       58.66" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;100 ;5 ;0 ;2 ;60040 ;"     1:00.04" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;100 ;4 ;0 ;3 ;64810 ;"     1:04.81" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;100 ;6 ;0 ;4 ;69870 ;"     1:09.87" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;150 ;3 ;0 ;1 ;90100 ;"     1:30.10" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;150 ;5 ;0 ;2 ;90650 ;"     1:30.65" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;150 ;4 ;0 ;3 ;96250 ;"     1:36.25" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;150 ;6 ;0 ;4 ;98720 ;"     1:38.72" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;200 ;5 ;0 ;1 ;118700 ;"     1:58.70" ;" " ;118850 ;"     1:58.85" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;3 ;0 ;2 ;122030 ;"     2:02.03" ;" " ;122190 ;"     2:02.19" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;4 ;0 ;3 ;126490 ;"     2:06.49" ;" " ;126610 ;"     2:06.61" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;6 ;0 ;4 ;135190 ;"     2:15.19" ;" " ;135210 ;"     2:15.21" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;0 ;0 ;0 ;0 ;53111890 ;" 14:45:11.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;5 ;0 ;1 ;27640 ;"       27.64" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;50 ;6 ;0 ;2 ;29330 ;"       29.33" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;50 ;3 ;0 ;3 ;30140 ;"       30.14" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;50 ;4 ;0 ;4 ;30340 ;"       30.34" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;50 ;2 ;0 ;5 ;87920 ;"     1:27.92" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;100 ;6 ;0 ;1 ;55910 ;"       55.91" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;100 ;5 ;0 ;2 ;61130 ;"     1:01.13" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;100 ;4 ;0 ;3 ;62100 ;"     1:02.10" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;100 ;3 ;0 ;4 ;79900 ;"     1:19.90" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;150 ;6 ;0 ;1 ;85030 ;"     1:25.03" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;150 ;4 ;0 ;2 ;93240 ;"     1:33.24" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;150 ;5 ;0 ;3 ;93510 ;"     1:33.51" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;150 ;3 ;0 ;4 ;115780 ;"     1:55.78" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;1 ;200 ;6 ;0 ;1 ;113650 ;"     1:53.65" ;" " ;113780 ;"     1:53.78" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;200 ;5 ;0 ;2 ;120910 ;"     2:00.91" ;" " ;120980 ;"     2:00.98" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;200 ;4 ;0 ;3 ;123170 ;"     2:03.17" ;" " ;123270 ;"     2:03.27" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;200 ;3 ;0 ;4 ;145300 ;"     2:25.30" ;" " ;145430 ;"     2:25.43" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;0 ;0 ;0 ;0 ;53307980 ;" 14:48:27.98" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;3 ;0 ;1 ;25100 ;"       25.10" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;50 ;6 ;0 ;2 ;25730 ;"       25.73" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;50 ;4 ;0 ;3 ;26740 ;"       26.74" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;50 ;7 ;0 ;4 ;27490 ;"       27.49" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;50 ;5 ;0 ;5 ;29190 ;"       29.19" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;50 ;2 ;0 ;6 ;36910 ;"       36.91" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;50 ;1 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;100 ;3 ;0 ;1 ;49880 ;"       49.88" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;100 ;4 ;0 ;2 ;53800 ;"       53.80" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;100 ;6 ;0 ;3 ;53860 ;"       53.86" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;100 ;7 ;0 ;4 ;54680 ;"       54.68" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;100 ;5 ;0 ;5 ;59980 ;"       59.98" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;100 ;2 ;0 ;6 ;68700 ;"     1:08.70" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;150 ;3 ;0 ;1 ;75330 ;"     1:15.33" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;150 ;6 ;0 ;2 ;79950 ;"     1:19.95" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;150 ;4 ;0 ;3 ;80260 ;"     1:20.26" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;150 ;7 ;0 ;4 ;85660 ;"     1:25.66" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;150 ;5 ;0 ;5 ;85740 ;"     1:25.74" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;150 ;2 ;0 ;6 ;139530 ;"     2:19.53" ;" " ;139070 ;"     2:19.07" ;"A" ;0 ;"        -.--" ;" " ;
1 ;0 ;2 ;200 ;3 ;0 ;1 ;101280 ;"     1:41.28" ;" " ;101470 ;"     1:41.47" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;200 ;6 ;0 ;2 ;105700 ;"     1:45.70" ;" " ;105820 ;"     1:45.82" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;200 ;4 ;0 ;3 ;106290 ;"     1:46.29" ;" " ;106420 ;"     1:46.42" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;200 ;5 ;0 ;4 ;110750 ;"     1:50.75" ;" " ;110830 ;"     1:50.83" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;200 ;7 ;0 ;5 ;114280 ;"     1:54.28" ;" " ;114330 ;"     1:54.33" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;53575820 ;" 14:52:55.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;1 ;30750 ;"       30.75" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;50 ;6 ;0 ;2 ;33320 ;"       33.32" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;50 ;5 ;0 ;3 ;33440 ;"       33.44" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;50 ;2 ;0 ;4 ;34050 ;"       34.05" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;50 ;3 ;0 ;5 ;37260 ;"       37.26" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;100 ;4 ;0 ;1 ;67790 ;"     1:07.79" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;100 ;2 ;0 ;2 ;67870 ;"     1:07.87" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;100 ;5 ;0 ;3 ;68010 ;"     1:08.01" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;100 ;6 ;0 ;4 ;70450 ;"     1:10.45" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;100 ;3 ;0 ;5 ;73810 ;"     1:13.81" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;150 ;4 ;0 ;1 ;100000 ;"     1:40.00" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;150 ;2 ;0 ;2 ;100190 ;"     1:40.19" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;150 ;6 ;0 ;3 ;104620 ;"     1:44.62" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;150 ;5 ;0 ;4 ;106450 ;"     1:46.45" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;150 ;3 ;0 ;5 ;109600 ;"     1:49.60" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;0 ;200 ;4 ;0 ;1 ;134980 ;"     2:14.98" ;" " ;135070 ;"     2:15.07" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;200 ;2 ;0 ;2 ;135340 ;"     2:15.34" ;" " ;135320 ;"     2:15.32" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;200 ;6 ;0 ;3 ;135660 ;"     2:15.66" ;" " ;135790 ;"     2:15.79" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;200 ;5 ;0 ;4 ;139420 ;"     2:19.42" ;" " ;139390 ;"     2:19.39" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;200 ;3 ;0 ;5 ;143240 ;"     2:23.24" ;" " ;143340 ;"     2:23.34" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;0 ;0 ;0 ;0 ;53830260 ;" 14:57:10.26" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;0 ;3 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;5 ;0 ;1 ;30450 ;"       30.45" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;50 ;3 ;0 ;2 ;30810 ;"       30.81" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;50 ;6 ;0 ;3 ;31640 ;"       31.64" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;50 ;2 ;0 ;4 ;36450 ;"       36.45" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;50 ;4 ;0 ;5 ;38010 ;"       38.01" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;50 ;7 ;0 ;6 ;39930 ;"       39.93" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;100 ;5 ;0 ;1 ;60980 ;"     1:00.98" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;100 ;3 ;0 ;2 ;61670 ;"     1:01.67" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;100 ;6 ;0 ;3 ;64540 ;"     1:04.54" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;100 ;2 ;0 ;4 ;75430 ;"     1:15.43" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;100 ;4 ;0 ;5 ;76540 ;"     1:16.54" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;100 ;7 ;0 ;6 ;109080 ;"     1:49.08" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;150 ;5 ;0 ;1 ;92250 ;"     1:32.25" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;150 ;3 ;0 ;2 ;94090 ;"     1:34.09" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;150 ;6 ;0 ;3 ;102890 ;"     1:42.89" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;150 ;2 ;0 ;4 ;111020 ;"     1:51.02" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;150 ;4 ;0 ;5 ;123660 ;"     2:03.66" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;150 ;7 ;0 ;6 ;150060 ;"     2:30.06" ;" " ;149980 ;"     2:29.98" ;"A" ;0 ;"        -.--" ;" " ;
2 ;0 ;1 ;200 ;5 ;0 ;1 ;121120 ;"     2:01.12" ;" " ;121310 ;"     2:01.31" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;200 ;6 ;0 ;2 ;134410 ;"     2:14.41" ;" " ;134590 ;"     2:14.59" ;"A" ;0 ;"" ;"" ;
