event; round;heat;lane;relais;idBib;
1 ;0 ;0 ;3 ;0 ;11 ;
1 ;0 ;0 ;4 ;0 ;15 ;
1 ;0 ;0 ;5 ;0 ;28 ;
1 ;0 ;0 ;6 ;0 ;29 ;
1 ;0 ;1 ;3 ;0 ;34 ;
1 ;0 ;1 ;4 ;0 ;37 ;
1 ;0 ;1 ;5 ;0 ;16 ;
1 ;0 ;1 ;6 ;0 ;31 ;
1 ;0 ;2 ;2 ;0 ;10 ;
1 ;0 ;2 ;3 ;0 ;8 ;
1 ;0 ;2 ;4 ;0 ;40 ;
1 ;0 ;2 ;5 ;0 ;27 ;
1 ;0 ;2 ;6 ;0 ;9 ;
1 ;0 ;2 ;7 ;0 ;38 ;
2 ;0 ;0 ;2 ;0 ;22 ;
2 ;0 ;0 ;3 ;0 ;3 ;
2 ;0 ;0 ;4 ;0 ;4 ;
2 ;0 ;0 ;5 ;0 ;13 ;
2 ;0 ;0 ;6 ;0 ;17 ;
2 ;0 ;1 ;2 ;0 ;20 ;
2 ;0 ;1 ;3 ;0 ;21 ;
2 ;0 ;1 ;4 ;0 ;1 ;
2 ;0 ;1 ;5 ;0 ;25 ;
2 ;0 ;1 ;6 ;0 ;26 ;
2 ;0 ;1 ;7 ;0 ;30 ;
2 ;0 ;2 ;2 ;0 ;32 ;
2 ;0 ;2 ;3 ;0 ;33 ;
2 ;0 ;2 ;4 ;0 ;35 ;
2 ;0 ;2 ;5 ;0 ;39 ;
2 ;0 ;2 ;6 ;0 ;24 ;
2 ;0 ;2 ;7 ;0 ;14 ;
2 ;0 ;3 ;2 ;0 ;23 ;
2 ;0 ;3 ;3 ;0 ;6 ;
2 ;0 ;3 ;4 ;0 ;41 ;
2 ;0 ;3 ;5 ;0 ;5 ;
2 ;0 ;3 ;6 ;0 ;2 ;
2 ;0 ;3 ;7 ;0 ;18 ;
13 ;0 ;0 ;3 ;0 ;11 ;
13 ;0 ;0 ;4 ;0 ;15 ;
13 ;0 ;0 ;5 ;0 ;28 ;
13 ;0 ;0 ;6 ;0 ;29 ;
13 ;0 ;1 ;3 ;0 ;34 ;
13 ;0 ;1 ;4 ;0 ;37 ;
13 ;0 ;1 ;5 ;0 ;16 ;
13 ;0 ;1 ;6 ;0 ;31 ;
13 ;0 ;2 ;2 ;0 ;10 ;
13 ;0 ;2 ;3 ;0 ;8 ;
13 ;0 ;2 ;4 ;0 ;40 ;
13 ;0 ;2 ;5 ;0 ;27 ;
13 ;0 ;2 ;6 ;0 ;9 ;
13 ;0 ;2 ;7 ;0 ;38 ;
14 ;0 ;0 ;2 ;0 ;22 ;
14 ;0 ;0 ;3 ;0 ;3 ;
14 ;0 ;0 ;4 ;0 ;4 ;
14 ;0 ;0 ;5 ;0 ;13 ;
14 ;0 ;0 ;6 ;0 ;17 ;
14 ;0 ;1 ;2 ;0 ;20 ;
14 ;0 ;1 ;3 ;0 ;21 ;
14 ;0 ;1 ;4 ;0 ;1 ;
14 ;0 ;1 ;5 ;0 ;25 ;
14 ;0 ;1 ;6 ;0 ;26 ;
14 ;0 ;1 ;7 ;0 ;30 ;
14 ;0 ;2 ;2 ;0 ;32 ;
14 ;0 ;2 ;3 ;0 ;33 ;
14 ;0 ;2 ;4 ;0 ;35 ;
14 ;0 ;2 ;5 ;0 ;39 ;
14 ;0 ;2 ;6 ;0 ;24 ;
14 ;0 ;2 ;7 ;0 ;14 ;
14 ;0 ;3 ;2 ;0 ;23 ;
14 ;0 ;3 ;3 ;0 ;6 ;
14 ;0 ;3 ;4 ;0 ;41 ;
14 ;0 ;3 ;5 ;0 ;5 ;
14 ;0 ;3 ;6 ;0 ;2 ;
14 ;0 ;3 ;7 ;0 ;18 ;
