event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;67056700 ;" 18:37:36.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;1 ;39220 ;"       39.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;2 ;39840 ;"       39.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;3 ;41340 ;"       41.34" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;4 ;41770 ;"       41.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;5 ;41830 ;"       41.83" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;6 ;44240 ;"       44.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;1 ;82830 ;"     1:22.83" ;" " ;82950 ;"     1:22.95" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;2 ;83490 ;"     1:23.49" ;" " ;83610 ;"     1:23.61" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;1 ;0 ;3 ;86220 ;"     1:26.22" ;" " ;86320 ;"     1:26.32" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;4 ;87320 ;"     1:27.32" ;" " ;87380 ;"     1:27.38" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;5 ;89760 ;"     1:29.76" ;" " ;89730 ;"     1:29.73" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;6 ;0 ;6 ;96210 ;"     1:36.21" ;" " ;96220 ;"     1:36.22" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;67361940 ;" 18:42:41.94" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;1 ;38700 ;"       38.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;2 ;38920 ;"       38.92" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;3 ;40050 ;"       40.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;4 ;43610 ;"       43.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;5 ;44140 ;"       44.14" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;6 ;44460 ;"       44.46" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;4 ;0 ;1 ;81180 ;"     1:21.18" ;" " ;81300 ;"     1:21.30" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;2 ;0 ;2 ;81550 ;"     1:21.55" ;" " ;81590 ;"     1:21.59" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;3 ;0 ;3 ;82500 ;"     1:22.50" ;" " ;82740 ;"     1:22.74" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;6 ;0 ;4 ;91840 ;"     1:31.84" ;" " ;91770 ;"     1:31.77" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;5 ;0 ;5 ;92510 ;"     1:32.51" ;" " ;92600 ;"     1:32.60" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;1 ;0 ;6 ;94890 ;"     1:34.89" ;" " ;94940 ;"     1:34.94" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;67562740 ;" 18:46:02.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;6 ;0 ;1 ;40060 ;"       40.06" ;" " ;40030 ;"       40.03" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;2 ;41100 ;"       41.10" ;" " ;41110 ;"       41.11" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;3 ;41570 ;"       41.57" ;" " ;41750 ;"       41.75" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;4 ;41960 ;"       41.96" ;" " ;42030 ;"       42.03" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;5 ;42520 ;"       42.52" ;" " ;42550 ;"       42.55" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;1 ;0 ;6 ;42770 ;"       42.77" ;" " ;42830 ;"       42.83" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;67645010 ;" 18:47:25.01" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;6 ;0 ;1 ;39910 ;"       39.91" ;" " ;39990 ;"       39.99" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;2 ;41850 ;"       41.85" ;" " ;42020 ;"       42.02" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;3 ;43270 ;"       43.27" ;" " ;43270 ;"       43.27" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;4 ;44530 ;"       44.53" ;" " ;44590 ;"       44.59" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;1 ;0 ;5 ;45760 ;"       45.76" ;" " ;45880 ;"       45.88" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;6 ;50110 ;"       50.11" ;" " ;50280 ;"       50.28" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;0 ;0 ;0 ;0 ;67852890 ;" 18:50:52.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;5 ;0 ;1 ;17250 ;"       17.25" ;" " ;17180 ;"       17.18" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;4 ;0 ;2 ;17530 ;"       17.53" ;" " ;17560 ;"       17.56" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;2 ;0 ;3 ;17880 ;"       17.88" ;" " ;17930 ;"       17.93" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;3 ;0 ;4 ;17910 ;"       17.91" ;" " ;17990 ;"       17.99" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;1 ;0 ;5 ;18240 ;"       18.24" ;" " ;250 ;"        0.25" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;6 ;0 ;6 ;21500 ;"       21.50" ;" " ;21540 ;"       21.54" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;0 ;0 ;0 ;0 ;67927140 ;" 18:52:07.14" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;25 ;5 ;0 ;1 ;17970 ;"       17.97" ;" " ;18090 ;"       18.09" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;25 ;6 ;0 ;2 ;18030 ;"       18.03" ;" " ;18030 ;"       18.03" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;25 ;1 ;0 ;3 ;18510 ;"       18.51" ;" " ;18660 ;"       18.66" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;25 ;3 ;0 ;4 ;18930 ;"       18.93" ;" " ;18960 ;"       18.96" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;25 ;4 ;0 ;5 ;19330 ;"       19.33" ;" " ;19300 ;"       19.30" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;25 ;2 ;0 ;6 ;21930 ;"       21.93" ;" " ;22080 ;"       22.08" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;0 ;0 ;0 ;0 ;68030930 ;" 18:53:50.93" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;5 ;0 ;1 ;33380 ;"       33.38" ;" " ;33420 ;"       33.42" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;1 ;0 ;2 ;38770 ;"       38.77" ;" " ;38850 ;"       38.85" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;4 ;0 ;3 ;40090 ;"       40.09" ;" " ;40210 ;"       40.21" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;6 ;0 ;4 ;40120 ;"       40.12" ;" " ;40170 ;"       40.17" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;2 ;0 ;5 ;40190 ;"       40.19" ;" " ;40220 ;"       40.22" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;3 ;0 ;6 ;40940 ;"       40.94" ;" " ;41030 ;"       41.03" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;0 ;0 ;0 ;0 ;68110870 ;" 18:55:10.87" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;5 ;0 ;1 ;36970 ;"       36.97" ;" " ;37090 ;"       37.09" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;6 ;0 ;2 ;37430 ;"       37.43" ;" " ;37490 ;"       37.49" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;4 ;0 ;3 ;37550 ;"       37.55" ;" " ;37590 ;"       37.59" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;3 ;0 ;4 ;39300 ;"       39.30" ;" " ;39440 ;"       39.44" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;1 ;0 ;5 ;40250 ;"       40.25" ;" " ;40370 ;"       40.37" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;2 ;0 ;6 ;40700 ;"       40.70" ;" " ;40780 ;"       40.78" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;0 ;0 ;0 ;0 ;68196280 ;" 18:56:36.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;3 ;0 ;1 ;34330 ;"       34.33" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;4 ;0 ;2 ;36410 ;"       36.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;1 ;0 ;3 ;36450 ;"       36.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;2 ;0 ;4 ;36620 ;"       36.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;5 ;0 ;4 ;36620 ;"       36.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;6 ;0 ;6 ;37250 ;"       37.25" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;100 ;3 ;0 ;1 ;75100 ;"     1:15.10" ;" " ;75230 ;"     1:15.23" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;100 ;4 ;0 ;2 ;77520 ;"     1:17.52" ;" " ;77660 ;"     1:17.66" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;100 ;1 ;0 ;3 ;78050 ;"     1:18.05" ;" " ;78140 ;"     1:18.14" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;100 ;6 ;0 ;4 ;79760 ;"     1:19.76" ;" " ;79730 ;"     1:19.73" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;100 ;5 ;0 ;5 ;79820 ;"     1:19.82" ;" " ;79950 ;"     1:19.95" ;"A" ;0 ;"" ;"" ;
