event;round;nbHeat;idLen;idStyle;abCat;date;time
201 ;0 ;5 ;3 ;0 ;"G" ;"10/23/10" ;"00:00" ;
202 ;0 ;1 ;3 ;0 ;"B" ;"10/23/10" ;"00:00" ;
202 ;0 ;0 ;3 ;0 ;"B" ;"10/23/10" ;"00:00" ;
203 ;0 ;3 ;3 ;0 ;"G" ;"10/23/10" ;"00:00" ;
204 ;0 ;3 ;3 ;0 ;"B" ;"10/23/10" ;"00:00" ;
301 ;0 ;1 ;0 ;3 ;"X" ;"10/23/10" ;"00:00" ;
303 ;0 ;5 ;1 ;2 ;"G" ;"10/23/10" ;"00:00" ;
304 ;0 ;4 ;1 ;2 ;"B" ;"10/23/10" ;"00:00" ;
305 ;0 ;3 ;1 ;0 ;"G" ;"10/23/10" ;"00:00" ;
306 ;0 ;3 ;1 ;0 ;"B" ;"10/23/10" ;"00:00" ;
307 ;0 ;7 ;0 ;1 ;"G" ;"10/23/10" ;"00:00" ;
308 ;0 ;5 ;0 ;1 ;"B" ;"10/23/10" ;"00:00" ;
309 ;0 ;3 ;0 ;3 ;"G" ;"10/23/10" ;"00:00" ;
310 ;0 ;3 ;0 ;3 ;"B" ;"10/23/10" ;"00:00" ;
311 ;0 ;1 ;2 ;2 ;"X" ;"10/23/10" ;"00:00" ;
313 ;0 ;4 ;2 ;0 ;"G" ;"10/23/10" ;"00:00" ;
314 ;0 ;5 ;2 ;0 ;"B" ;"10/23/10" ;"00:00" ;
315 ;0 ;2 ;2 ;2 ;"G" ;"10/23/10" ;"00:00" ;
316 ;0 ;2 ;2 ;2 ;"B" ;"10/23/10" ;"00:00" ;
401 ;0 ;1 ;1 ;4 ;"X" ;"10/23/10" ;"00:00" ;
401 ;0 ;0 ;1 ;4 ;"B" ;"10/23/10" ;"00:00" ;
402 ;0 ;4 ;2 ;4 ;"G" ;"10/23/10" ;"00:00" ;
403 ;0 ;3 ;2 ;4 ;"B" ;"10/23/10" ;"00:00" ;
404 ;0 ;3 ;1 ;4 ;"G" ;"10/23/10" ;"00:00" ;
405 ;0 ;3 ;1 ;4 ;"B" ;"10/23/10" ;"00:00" ;
501 ;0 ;2 ;0 ;1 ;"X" ;"10/23/10" ;"00:00" ;
502 ;0 ;1 ;0 ;1 ;"B" ;"10/23/10" ;"00:00" ;
503 ;0 ;6 ;1 ;0 ;"G" ;"10/23/10" ;"00:00" ;
504 ;0 ;4 ;1 ;0 ;"B" ;"10/23/10" ;"00:00" ;
505 ;0 ;3 ;1 ;2 ;"G" ;"10/23/10" ;"00:00" ;
506 ;0 ;2 ;1 ;2 ;"B" ;"10/23/10" ;"00:00" ;
507 ;0 ;5 ;0 ;3 ;"G" ;"10/23/10" ;"00:00" ;
508 ;0 ;4 ;0 ;3 ;"B" ;"10/23/10" ;"00:00" ;
509 ;0 ;2 ;0 ;1 ;"G" ;"10/23/10" ;"00:00" ;
510 ;0 ;3 ;0 ;1 ;"B" ;"10/23/10" ;"00:00" ;
511 ;0 ;2 ;2 ;0 ;"X" ;"10/23/10" ;"00:00" ;
513 ;0 ;4 ;2 ;1 ;"G" ;"10/23/10" ;"00:00" ;
514 ;0 ;4 ;2 ;1 ;"B" ;"10/23/10" ;"00:00" ;
515 ;0 ;3 ;2 ;0 ;"G" ;"10/23/10" ;"00:00" ;
516 ;0 ;3 ;2 ;0 ;"B" ;"10/23/10" ;"00:00" ;
