id;event;round ;heat
1 ;201 ;0 ;0 ;
2 ;201 ;0 ;0 ;
3 ;201 ;0 ;1 ;
4 ;201 ;0 ;2 ;
5 ;201 ;0 ;3 ;
6 ;202 ;0 ;0 ;
7 ;202 ;0 ;2 ;
8 ;202 ;0 ;2 ;
9 ;202 ;0 ;2 ;
10 ;202 ;0 ;2 ;
11 ;202 ;0 ;2 ;
12 ;202 ;0 ;2 ;
13 ;202 ;0 ;2 ;
14 ;202 ;0 ;2 ;
15 ;202 ;0 ;3 ;
16 ;202 ;0 ;4 ;
17 ;203 ;0 ;0 ;
18 ;203 ;0 ;1 ;
19 ;203 ;0 ;2 ;
20 ;204 ;0 ;0 ;
21 ;204 ;0 ;0 ;
22 ;204 ;0 ;0 ;
23 ;204 ;0 ;0 ;
24 ;204 ;0 ;1 ;
25 ;204 ;0 ;2 ;
26 ;204 ;0 ;2 ;
27 ;301 ;0 ;0 ;
28 ;303 ;0 ;0 ;
29 ;303 ;0 ;1 ;
30 ;303 ;0 ;2 ;
31 ;303 ;0 ;3 ;
32 ;303 ;0 ;4 ;
33 ;304 ;0 ;0 ;
34 ;304 ;0 ;2 ;
35 ;304 ;0 ;1 ;
36 ;304 ;0 ;3 ;
37 ;305 ;0 ;0 ;
38 ;305 ;0 ;1 ;
39 ;305 ;0 ;2 ;
40 ;306 ;0 ;0 ;
41 ;306 ;0 ;1 ;
42 ;306 ;0 ;2 ;
43 ;307 ;0 ;0 ;
44 ;307 ;0 ;1 ;
45 ;307 ;0 ;2 ;
46 ;307 ;0 ;3 ;
47 ;307 ;0 ;4 ;
48 ;307 ;0 ;5 ;
49 ;307 ;0 ;6 ;
50 ;308 ;0 ;0 ;
51 ;308 ;0 ;1 ;
52 ;308 ;0 ;2 ;
53 ;308 ;0 ;3 ;
54 ;308 ;0 ;4 ;
55 ;309 ;0 ;0 ;
56 ;309 ;0 ;1 ;
57 ;309 ;0 ;2 ;
58 ;310 ;0 ;0 ;
59 ;310 ;0 ;1 ;
60 ;310 ;0 ;2 ;
61 ;311 ;0 ;0 ;
62 ;313 ;0 ;0 ;
63 ;313 ;0 ;1 ;
64 ;313 ;0 ;1 ;
65 ;313 ;0 ;2 ;
66 ;313 ;0 ;3 ;
67 ;314 ;0 ;0 ;
68 ;314 ;0 ;1 ;
69 ;314 ;0 ;2 ;
70 ;314 ;0 ;3 ;
71 ;314 ;0 ;4 ;
72 ;315 ;0 ;0 ;
73 ;315 ;0 ;1 ;
74 ;316 ;0 ;0 ;
75 ;316 ;0 ;1 ;
76 ;401 ;0 ;0 ;
77 ;402 ;0 ;0 ;
78 ;402 ;0 ;1 ;
79 ;402 ;0 ;2 ;
80 ;402 ;0 ;3 ;
81 ;403 ;0 ;0 ;
82 ;403 ;0 ;1 ;
83 ;403 ;0 ;2 ;
84 ;404 ;0 ;0 ;
85 ;404 ;0 ;1 ;
86 ;404 ;0 ;2 ;
87 ;405 ;0 ;0 ;
88 ;405 ;0 ;1 ;
89 ;405 ;0 ;2 ;
90 ;405 ;0 ;2 ;
91 ;405 ;0 ;2 ;
92 ;501 ;0 ;0 ;
93 ;501 ;0 ;1 ;
94 ;501 ;0 ;1 ;
95 ;503 ;0 ;0 ;
96 ;503 ;0 ;1 ;
97 ;503 ;0 ;2 ;
98 ;503 ;0 ;3 ;
99 ;503 ;0 ;4 ;
100 ;503 ;0 ;5 ;
101 ;504 ;0 ;0 ;
102 ;504 ;0 ;1 ;
103 ;504 ;0 ;2 ;
104 ;504 ;0 ;3 ;
105 ;505 ;0 ;0 ;
106 ;505 ;0 ;1 ;
107 ;506 ;0 ;0 ;
108 ;506 ;0 ;1 ;
109 ;507 ;0 ;0 ;
110 ;507 ;0 ;1 ;
111 ;507 ;0 ;2 ;
112 ;507 ;0 ;3 ;
113 ;507 ;0 ;4 ;
114 ;508 ;0 ;0 ;
115 ;508 ;0 ;1 ;
116 ;508 ;0 ;2 ;
117 ;508 ;0 ;3 ;
118 ;509 ;0 ;0 ;
119 ;509 ;0 ;1 ;
120 ;510 ;0 ;0 ;
121 ;510 ;0 ;1 ;
122 ;510 ;0 ;2 ;
123 ;511 ;0 ;0 ;
124 ;511 ;0 ;1 ;
125 ;513 ;0 ;0 ;
126 ;513 ;0 ;1 ;
127 ;513 ;0 ;2 ;
128 ;513 ;0 ;3 ;
129 ;514 ;0 ;0 ;
130 ;514 ;0 ;1 ;
131 ;514 ;0 ;2 ;
132 ;514 ;0 ;3 ;
133 ;515 ;0 ;0 ;
134 ;515 ;0 ;1 ;
135 ;515 ;0 ;2 ;
136 ;516 ;0 ;0 ;
137 ;516 ;0 ;1 ;
138 ;516 ;0 ;2 ;
