event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
601 ;0 ;0 ;0 ;0 ;0 ;0 ;38511360 ;" 10:41:51.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;50 ;2 ;0 ;1 ;51550 ;"       51.55" ;" " ;51260 ;"       51.26" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;50 ;3 ;0 ;2 ;51940 ;"       51.94" ;" " ;52190 ;"       52.19" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;50 ;4 ;0 ;0 ;0 ;"" ;"" ;54330 ;"       54.33" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;100 ;2 ;0 ;1 ;108630 ;"     1:48.63" ;" " ;108310 ;"     1:48.31" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;100 ;4 ;0 ;2 ;112960 ;"     1:52.96" ;" " ;113150 ;"     1:53.15" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;100 ;3 ;0 ;3 ;113860 ;"     1:53.86" ;" " ;113600 ;"     1:53.60" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;150 ;2 ;0 ;1 ;166780 ;"     2:46.78" ;" " ;166790 ;"     2:46.79" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;150 ;3 ;0 ;2 ;174100 ;"     2:54.10" ;" " ;174330 ;"     2:54.33" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;150 ;4 ;0 ;0 ;0 ;"" ;"" ;172450 ;"     2:52.45" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;200 ;2 ;0 ;1 ;225210 ;"     3:45.21" ;" " ;225180 ;"     3:45.18" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;200 ;4 ;0 ;2 ;233230 ;"     3:53.23" ;" " ;233280 ;"     3:53.28" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;200 ;3 ;0 ;3 ;235910 ;"     3:55.91" ;" " ;235820 ;"     3:55.82" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;250 ;2 ;0 ;1 ;283010 ;"     4:43.01" ;" " ;283130 ;"     4:43.13" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;250 ;4 ;0 ;2 ;293840 ;"     4:53.84" ;" " ;293250 ;"     4:53.25" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;250 ;3 ;0 ;3 ;297550 ;"     4:57.55" ;" " ;297330 ;"     4:57.33" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;300 ;2 ;0 ;1 ;341630 ;"     5:41.63" ;" " ;341550 ;"     5:41.55" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;300 ;4 ;0 ;2 ;350880 ;"     5:50.88" ;" " ;351060 ;"     5:51.06" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;300 ;3 ;0 ;3 ;358650 ;"     5:58.65" ;" " ;358390 ;"     5:58.39" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;350 ;2 ;0 ;1 ;397020 ;"     6:37.02" ;" " ;396980 ;"     6:36.98" ;"A" ;0 ;"" ;"" ;
601 ;0 ;0 ;350 ;3 ;0 ;2 ;418740 ;"     6:58.74" ;" " ;418440 ;"     6:58.44" ;"A" ;0 ;"" ;"" ;
