event; round;heat;lane;relais;idBib;
601 ;0 ;0 ;2 ;0 ;63 ;
601 ;0 ;0 ;3 ;0 ;105 ;
601 ;0 ;0 ;4 ;0 ;64 ;
603 ;0 ;0 ;1 ;0 ;35 ;
603 ;0 ;0 ;2 ;0 ;37 ;
603 ;0 ;0 ;3 ;0 ;126 ;
603 ;0 ;0 ;4 ;0 ;10 ;
603 ;0 ;0 ;5 ;0 ;134 ;
603 ;0 ;1 ;1 ;0 ;112 ;
603 ;0 ;1 ;2 ;0 ;9 ;
603 ;0 ;1 ;3 ;0 ;47 ;
603 ;0 ;1 ;4 ;0 ;59 ;
603 ;0 ;1 ;5 ;0 ;2 ;
603 ;0 ;1 ;6 ;0 ;97 ;
603 ;0 ;2 ;1 ;0 ;133 ;
603 ;0 ;2 ;2 ;0 ;121 ;
603 ;0 ;2 ;3 ;0 ;54 ;
603 ;0 ;2 ;4 ;0 ;12 ;
603 ;0 ;2 ;5 ;0 ;30 ;
603 ;0 ;2 ;6 ;0 ;93 ;
603 ;0 ;3 ;1 ;0 ;75 ;
603 ;0 ;3 ;2 ;0 ;4 ;
603 ;0 ;3 ;3 ;0 ;131 ;
603 ;0 ;3 ;4 ;0 ;85 ;
603 ;0 ;3 ;5 ;0 ;99 ;
603 ;0 ;3 ;6 ;0 ;66 ;
603 ;0 ;4 ;1 ;0 ;32 ;
603 ;0 ;4 ;2 ;0 ;51 ;
603 ;0 ;4 ;3 ;0 ;74 ;
603 ;0 ;4 ;4 ;0 ;91 ;
603 ;0 ;4 ;5 ;0 ;26 ;
603 ;0 ;4 ;6 ;0 ;34 ;
604 ;0 ;0 ;1 ;0 ;15 ;
604 ;0 ;0 ;2 ;0 ;106 ;
604 ;0 ;0 ;3 ;0 ;11 ;
604 ;0 ;0 ;4 ;0 ;77 ;
604 ;0 ;0 ;5 ;0 ;103 ;
604 ;0 ;0 ;6 ;0 ;8 ;
604 ;0 ;1 ;1 ;0 ;95 ;
604 ;0 ;1 ;2 ;0 ;53 ;
604 ;0 ;1 ;3 ;0 ;3 ;
604 ;0 ;1 ;4 ;0 ;36 ;
604 ;0 ;1 ;5 ;0 ;87 ;
604 ;0 ;1 ;6 ;0 ;94 ;
604 ;0 ;2 ;1 ;0 ;61 ;
604 ;0 ;2 ;2 ;0 ;132 ;
604 ;0 ;2 ;3 ;0 ;65 ;
604 ;0 ;2 ;4 ;0 ;69 ;
604 ;0 ;2 ;5 ;0 ;6 ;
604 ;0 ;2 ;6 ;0 ;48 ;
604 ;0 ;3 ;1 ;0 ;40 ;
604 ;0 ;3 ;2 ;0 ;24 ;
604 ;0 ;3 ;3 ;0 ;50 ;
604 ;0 ;3 ;4 ;0 ;25 ;
604 ;0 ;3 ;5 ;0 ;18 ;
604 ;0 ;3 ;6 ;0 ;58 ;
605 ;0 ;0 ;1 ;0 ;29 ;
605 ;0 ;0 ;2 ;0 ;21 ;
605 ;0 ;0 ;3 ;0 ;118 ;
605 ;0 ;0 ;4 ;0 ;67 ;
605 ;0 ;0 ;5 ;0 ;33 ;
605 ;0 ;1 ;1 ;0 ;89 ;
605 ;0 ;1 ;2 ;0 ;98 ;
605 ;0 ;1 ;3 ;0 ;52 ;
605 ;0 ;1 ;4 ;0 ;31 ;
605 ;0 ;1 ;5 ;0 ;43 ;
605 ;0 ;1 ;6 ;0 ;83 ;
606 ;0 ;0 ;1 ;0 ;96 ;
606 ;0 ;0 ;2 ;0 ;70 ;
606 ;0 ;0 ;3 ;0 ;72 ;
606 ;0 ;0 ;4 ;0 ;45 ;
606 ;0 ;0 ;5 ;0 ;90 ;
606 ;0 ;0 ;6 ;0 ;84 ;
606 ;0 ;1 ;1 ;0 ;86 ;
606 ;0 ;1 ;2 ;0 ;56 ;
606 ;0 ;1 ;3 ;0 ;5 ;
606 ;0 ;1 ;4 ;0 ;17 ;
606 ;0 ;1 ;5 ;0 ;139 ;
606 ;0 ;1 ;6 ;0 ;57 ;
701 ;0 ;0 ;1 ;0 ;13 ;
701 ;0 ;0 ;2 ;0 ;28 ;
701 ;0 ;0 ;3 ;0 ;113 ;
701 ;0 ;0 ;4 ;0 ;68 ;
701 ;0 ;0 ;5 ;0 ;60 ;
701 ;0 ;1 ;1 ;0 ;104 ;
701 ;0 ;1 ;2 ;0 ;63 ;
701 ;0 ;1 ;3 ;0 ;105 ;
701 ;0 ;1 ;4 ;0 ;64 ;
701 ;0 ;1 ;5 ;0 ;125 ;
703 ;0 ;0 ;2 ;0 ;54 ;
703 ;0 ;0 ;3 ;0 ;30 ;
703 ;0 ;0 ;4 ;0 ;97 ;
703 ;0 ;1 ;2 ;0 ;12 ;
703 ;0 ;1 ;3 ;0 ;85 ;
703 ;0 ;1 ;4 ;0 ;93 ;
703 ;0 ;1 ;5 ;0 ;133 ;
703 ;0 ;2 ;1 ;0 ;4 ;
703 ;0 ;2 ;2 ;0 ;99 ;
703 ;0 ;2 ;3 ;0 ;75 ;
703 ;0 ;2 ;4 ;0 ;9 ;
703 ;0 ;2 ;5 ;0 ;131 ;
