event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;66539980 ;" 18:28:59.98" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;1 ;41070 ;"       41.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;2 ;41380 ;"       41.38" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;3 ;44260 ;"       44.26" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;4 ;44360 ;"       44.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;5 ;47770 ;"       47.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;6 ;49690 ;"       49.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;6 ;0 ;1 ;87620 ;"     1:27.62" ;" " ;87720 ;"     1:27.72" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;2 ;88980 ;"     1:28.98" ;" " ;89040 ;"     1:29.04" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;1 ;0 ;3 ;92820 ;"     1:32.82" ;" " ;92970 ;"     1:32.97" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;4 ;96900 ;"     1:36.90" ;" " ;97020 ;"     1:37.02" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;5 ;100550 ;"     1:40.55" ;" " ;100630 ;"     1:40.63" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;6 ;104710 ;"     1:44.71" ;" " ;105000 ;"     1:45.00" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;66685890 ;" 18:31:25.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;1 ;35840 ;"       35.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;2 ;39620 ;"       39.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;3 ;41620 ;"       41.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;4 ;41820 ;"       41.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;5 ;45240 ;"       45.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;6 ;46110 ;"       46.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;1 ;0 ;1 ;77890 ;"     1:17.89" ;" " ;77970 ;"     1:17.97" ;"A" ;0 ;"" ;"" ;
