event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;38681340 ;" 10:44:41.34" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;4 ;0 ;1 ;48340 ;"       48.34" ;" " ;48450 ;"       48.45" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;5 ;0 ;2 ;48720 ;"       48.72" ;" " ;48790 ;"       48.79" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;3 ;0 ;3 ;49400 ;"       49.40" ;" " ;49390 ;"       49.39" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;2 ;0 ;4 ;51470 ;"       51.47" ;" " ;51630 ;"       51.63" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;1 ;0 ;5 ;57120 ;"       57.12" ;" " ;57230 ;"       57.23" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;38817480 ;" 10:46:57.48" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;4 ;0 ;1 ;45500 ;"       45.50" ;" " ;45610 ;"       45.61" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;1 ;0 ;2 ;46330 ;"       46.33" ;" " ;46380 ;"       46.38" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;5 ;0 ;3 ;48030 ;"       48.03" ;" " ;48190 ;"       48.19" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;2 ;0 ;4 ;54570 ;"       54.57" ;" " ;54690 ;"       54.69" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;3 ;0 ;5 ;55850 ;"       55.85" ;" " ;55590 ;"       55.59" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;0 ;0 ;0 ;0 ;39021680 ;" 10:50:21.68" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;5 ;0 ;1 ;40030 ;"       40.03" ;" " ;40110 ;"       40.11" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;1 ;0 ;2 ;44050 ;"       44.05" ;" " ;44310 ;"       44.31" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;2 ;0 ;3 ;45890 ;"       45.89" ;" " ;46050 ;"       46.05" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;3 ;0 ;4 ;46450 ;"       46.45" ;" " ;46430 ;"       46.43" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;6 ;0 ;5 ;47750 ;"       47.75" ;" " ;47750 ;"       47.75" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;4 ;0 ;6 ;53370 ;"       53.37" ;"E" ;53370 ;"       53.37" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;0 ;0 ;0 ;39118080 ;" 10:51:58.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;6 ;0 ;1 ;37570 ;"       37.57" ;" " ;37690 ;"       37.69" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;5 ;0 ;2 ;40630 ;"       40.63" ;" " ;40870 ;"       40.87" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;2 ;0 ;3 ;41010 ;"       41.01" ;" " ;41080 ;"       41.08" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;4 ;0 ;4 ;41490 ;"       41.49" ;" " ;41510 ;"       41.51" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;3 ;0 ;5 ;41840 ;"       41.84" ;" " ;41730 ;"       41.73" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;1 ;0 ;6 ;45310 ;"       45.31" ;" " ;45380 ;"       45.38" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;0 ;0 ;0 ;0 ;39235190 ;" 10:53:55.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;2 ;0 ;1 ;36780 ;"       36.78" ;" " ;36870 ;"       36.87" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;6 ;0 ;2 ;38480 ;"       38.48" ;" " ;38380 ;"       38.38" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;1 ;0 ;3 ;39120 ;"       39.12" ;" " ;39160 ;"       39.16" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;3 ;0 ;4 ;39140 ;"       39.14" ;" " ;38980 ;"       38.98" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;5 ;0 ;5 ;40150 ;"       40.15" ;" " ;40230 ;"       40.23" ;"A" ;0 ;"" ;"" ;
