event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;1 ;0 ;69 ;
101 ;0 ;0 ;2 ;0 ;82 ;
101 ;0 ;0 ;3 ;0 ;35 ;
101 ;0 ;0 ;4 ;0 ;30 ;
101 ;0 ;0 ;5 ;0 ;44 ;
101 ;0 ;1 ;1 ;0 ;78 ;
101 ;0 ;1 ;2 ;0 ;11 ;
101 ;0 ;1 ;3 ;0 ;27 ;
101 ;0 ;1 ;4 ;0 ;58 ;
101 ;0 ;1 ;5 ;0 ;68 ;
101 ;0 ;2 ;1 ;0 ;50 ;
101 ;0 ;2 ;2 ;0 ;14 ;
101 ;0 ;2 ;3 ;0 ;16 ;
101 ;0 ;2 ;4 ;0 ;31 ;
101 ;0 ;2 ;5 ;0 ;80 ;
101 ;0 ;2 ;6 ;0 ;52 ;
101 ;0 ;3 ;1 ;0 ;54 ;
101 ;0 ;3 ;2 ;0 ;7 ;
101 ;0 ;3 ;3 ;0 ;62 ;
101 ;0 ;3 ;4 ;0 ;15 ;
101 ;0 ;3 ;5 ;0 ;29 ;
101 ;0 ;3 ;6 ;0 ;1 ;
101 ;0 ;4 ;1 ;0 ;12 ;
101 ;0 ;4 ;2 ;0 ;47 ;
101 ;0 ;4 ;3 ;0 ;23 ;
101 ;0 ;4 ;4 ;0 ;24 ;
101 ;0 ;4 ;5 ;0 ;17 ;
101 ;0 ;4 ;6 ;0 ;34 ;
101 ;0 ;5 ;1 ;0 ;36 ;
101 ;0 ;5 ;2 ;0 ;10 ;
101 ;0 ;5 ;4 ;0 ;76 ;
101 ;0 ;5 ;5 ;0 ;57 ;
101 ;0 ;5 ;6 ;0 ;39 ;
101 ;0 ;6 ;1 ;0 ;60 ;
101 ;0 ;6 ;2 ;0 ;66 ;
101 ;0 ;6 ;3 ;0 ;53 ;
101 ;0 ;6 ;4 ;0 ;9 ;
101 ;0 ;6 ;5 ;0 ;83 ;
101 ;0 ;6 ;6 ;0 ;46 ;
102 ;0 ;0 ;2 ;0 ;6 ;
102 ;0 ;0 ;3 ;0 ;56 ;
102 ;0 ;0 ;4 ;0 ;81 ;
102 ;0 ;0 ;5 ;0 ;67 ;
102 ;0 ;1 ;2 ;0 ;70 ;
102 ;0 ;1 ;3 ;0 ;42 ;
102 ;0 ;1 ;4 ;0 ;77 ;
102 ;0 ;1 ;5 ;0 ;64 ;
102 ;0 ;2 ;1 ;0 ;28 ;
102 ;0 ;2 ;2 ;0 ;51 ;
102 ;0 ;2 ;3 ;0 ;84 ;
102 ;0 ;2 ;4 ;0 ;4 ;
102 ;0 ;2 ;5 ;0 ;49 ;
102 ;0 ;2 ;6 ;0 ;5 ;
102 ;0 ;3 ;1 ;0 ;33 ;
102 ;0 ;3 ;2 ;0 ;22 ;
102 ;0 ;3 ;3 ;0 ;41 ;
102 ;0 ;3 ;4 ;0 ;65 ;
102 ;0 ;3 ;5 ;0 ;8 ;
102 ;0 ;3 ;6 ;0 ;48 ;
102 ;0 ;4 ;1 ;0 ;40 ;
102 ;0 ;4 ;2 ;0 ;43 ;
102 ;0 ;4 ;3 ;0 ;63 ;
102 ;0 ;4 ;4 ;0 ;38 ;
102 ;0 ;4 ;5 ;0 ;79 ;
102 ;0 ;4 ;6 ;0 ;26 ;
102 ;0 ;5 ;1 ;0 ;75 ;
102 ;0 ;5 ;2 ;0 ;72 ;
102 ;0 ;5 ;3 ;0 ;32 ;
102 ;0 ;5 ;4 ;0 ;18 ;
102 ;0 ;5 ;5 ;0 ;45 ;
102 ;0 ;5 ;6 ;0 ;71 ;
102 ;0 ;6 ;1 ;0 ;73 ;
102 ;0 ;6 ;2 ;0 ;59 ;
102 ;0 ;6 ;3 ;0 ;61 ;
102 ;0 ;6 ;4 ;0 ;74 ;
102 ;0 ;6 ;5 ;0 ;2 ;
102 ;0 ;6 ;6 ;0 ;37 ;
103 ;0 ;0 ;2 ;0 ;69 ;
103 ;0 ;0 ;3 ;0 ;27 ;
103 ;0 ;0 ;4 ;0 ;78 ;
103 ;0 ;0 ;5 ;0 ;11 ;
103 ;0 ;1 ;1 ;0 ;31 ;
103 ;0 ;1 ;2 ;0 ;82 ;
103 ;0 ;1 ;3 ;0 ;24 ;
103 ;0 ;1 ;4 ;0 ;35 ;
103 ;0 ;1 ;5 ;0 ;44 ;
103 ;0 ;2 ;1 ;0 ;30 ;
103 ;0 ;2 ;2 ;0 ;68 ;
103 ;0 ;2 ;3 ;0 ;52 ;
103 ;0 ;2 ;4 ;0 ;16 ;
103 ;0 ;2 ;5 ;0 ;14 ;
103 ;0 ;2 ;6 ;0 ;58 ;
103 ;0 ;3 ;1 ;0 ;54 ;
103 ;0 ;3 ;2 ;0 ;50 ;
103 ;0 ;3 ;3 ;0 ;62 ;
103 ;0 ;3 ;4 ;0 ;15 ;
103 ;0 ;3 ;5 ;0 ;7 ;
103 ;0 ;3 ;6 ;0 ;29 ;
103 ;0 ;4 ;1 ;0 ;17 ;
103 ;0 ;4 ;2 ;0 ;80 ;
103 ;0 ;4 ;3 ;0 ;36 ;
103 ;0 ;4 ;4 ;0 ;23 ;
103 ;0 ;4 ;5 ;0 ;12 ;
103 ;0 ;4 ;6 ;0 ;34 ;
103 ;0 ;5 ;1 ;0 ;10 ;
103 ;0 ;5 ;2 ;0 ;1 ;
103 ;0 ;5 ;3 ;0 ;57 ;
103 ;0 ;5 ;4 ;0 ;76 ;
103 ;0 ;5 ;5 ;0 ;47 ;
103 ;0 ;5 ;6 ;0 ;46 ;
103 ;0 ;6 ;1 ;0 ;83 ;
103 ;0 ;6 ;2 ;0 ;60 ;
103 ;0 ;6 ;3 ;0 ;53 ;
103 ;0 ;6 ;4 ;0 ;9 ;
103 ;0 ;6 ;5 ;0 ;39 ;
103 ;0 ;6 ;6 ;0 ;66 ;
104 ;0 ;0 ;2 ;0 ;49 ;
104 ;0 ;0 ;3 ;0 ;33 ;
104 ;0 ;0 ;4 ;0 ;67 ;
104 ;0 ;0 ;5 ;0 ;70 ;
104 ;0 ;1 ;2 ;0 ;42 ;
104 ;0 ;1 ;3 ;0 ;6 ;
104 ;0 ;1 ;4 ;0 ;56 ;
104 ;0 ;1 ;5 ;0 ;84 ;
104 ;0 ;2 ;1 ;0 ;81 ;
104 ;0 ;2 ;2 ;0 ;5 ;
104 ;0 ;2 ;3 ;0 ;4 ;
104 ;0 ;2 ;4 ;0 ;51 ;
104 ;0 ;2 ;5 ;0 ;64 ;
104 ;0 ;2 ;6 ;0 ;77 ;
104 ;0 ;3 ;1 ;0 ;8 ;
104 ;0 ;3 ;2 ;0 ;65 ;
104 ;0 ;3 ;3 ;0 ;22 ;
104 ;0 ;3 ;4 ;0 ;41 ;
104 ;0 ;3 ;5 ;0 ;48 ;
104 ;0 ;3 ;6 ;0 ;38 ;
104 ;0 ;4 ;1 ;0 ;28 ;
104 ;0 ;4 ;2 ;0 ;26 ;
104 ;0 ;4 ;3 ;0 ;40 ;
104 ;0 ;4 ;4 ;0 ;43 ;
104 ;0 ;4 ;5 ;0 ;63 ;
104 ;0 ;4 ;6 ;0 ;79 ;
104 ;0 ;5 ;1 ;0 ;72 ;
104 ;0 ;5 ;2 ;0 ;18 ;
104 ;0 ;5 ;3 ;0 ;32 ;
104 ;0 ;5 ;4 ;0 ;75 ;
104 ;0 ;5 ;5 ;0 ;45 ;
104 ;0 ;5 ;6 ;0 ;71 ;
104 ;0 ;6 ;1 ;0 ;73 ;
104 ;0 ;6 ;2 ;0 ;59 ;
104 ;0 ;6 ;3 ;0 ;61 ;
104 ;0 ;6 ;4 ;0 ;74 ;
104 ;0 ;6 ;5 ;0 ;37 ;
104 ;0 ;6 ;6 ;0 ;2 ;
105 ;0 ;0 ;2 ;0 ;69 ;
105 ;0 ;0 ;3 ;0 ;27 ;
105 ;0 ;0 ;4 ;0 ;78 ;
105 ;0 ;0 ;5 ;0 ;31 ;
105 ;0 ;1 ;1 ;0 ;82 ;
105 ;0 ;1 ;2 ;0 ;24 ;
105 ;0 ;1 ;3 ;0 ;11 ;
105 ;0 ;1 ;4 ;0 ;30 ;
105 ;0 ;1 ;5 ;0 ;16 ;
105 ;0 ;2 ;1 ;0 ;35 ;
105 ;0 ;2 ;2 ;0 ;44 ;
105 ;0 ;2 ;3 ;0 ;52 ;
105 ;0 ;2 ;4 ;0 ;68 ;
105 ;0 ;2 ;5 ;0 ;14 ;
105 ;0 ;2 ;6 ;0 ;58 ;
105 ;0 ;3 ;1 ;0 ;54 ;
105 ;0 ;3 ;2 ;0 ;50 ;
105 ;0 ;3 ;3 ;0 ;62 ;
105 ;0 ;3 ;4 ;0 ;15 ;
105 ;0 ;3 ;5 ;0 ;17 ;
105 ;0 ;3 ;6 ;0 ;7 ;
105 ;0 ;4 ;1 ;0 ;80 ;
105 ;0 ;4 ;2 ;0 ;36 ;
