event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;48635970 ;" 13:30:35.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;4 ;0 ;1 ;37340 ;"       37.34" ;" " ;37500 ;"       37.50" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;3 ;0 ;2 ;40480 ;"       40.48" ;" " ;40600 ;"       40.60" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;5 ;0 ;3 ;41660 ;"       41.66" ;" " ;41830 ;"       41.83" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;2 ;0 ;4 ;43040 ;"       43.04" ;" " ;43070 ;"       43.07" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;1 ;0 ;5 ;43220 ;"       43.22" ;" " ;43560 ;"       43.56" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;48723360 ;" 13:32:03.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;5 ;0 ;1 ;40490 ;"       40.49" ;" " ;40600 ;"       40.60" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;1 ;0 ;2 ;40710 ;"       40.71" ;" " ;40790 ;"       40.79" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;6 ;0 ;3 ;41010 ;"       41.01" ;" " ;41070 ;"       41.07" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;2 ;0 ;4 ;41050 ;"       41.05" ;" " ;41150 ;"       41.15" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;3 ;0 ;5 ;41950 ;"       41.95" ;" " ;42190 ;"       42.19" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;4 ;0 ;6 ;43500 ;"       43.50" ;" " ;43560 ;"       43.56" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;0 ;0 ;0 ;0 ;48821060 ;" 13:33:41.06" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;2 ;0 ;1 ;36870 ;"       36.87" ;" " ;36910 ;"       36.91" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;5 ;0 ;2 ;38770 ;"       38.77" ;" " ;38640 ;"       38.64" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;4 ;0 ;3 ;39390 ;"       39.39" ;" " ;39500 ;"       39.50" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;3 ;0 ;4 ;41760 ;"       41.76" ;" " ;41940 ;"       41.94" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;1 ;0 ;5 ;42350 ;"       42.35" ;"E" ;42350 ;"       42.35" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;6 ;0 ;6 ;43690 ;"       43.69" ;" " ;43790 ;"       43.79" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;0 ;0 ;0 ;48897420 ;" 13:34:57.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;5 ;0 ;1 ;38410 ;"       38.41" ;" " ;38520 ;"       38.52" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;3 ;0 ;2 ;38470 ;"       38.47" ;" " ;38510 ;"       38.51" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;1 ;0 ;3 ;38660 ;"       38.66" ;" " ;38730 ;"       38.73" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;2 ;0 ;4 ;38830 ;"       38.83" ;" " ;38910 ;"       38.91" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;6 ;0 ;5 ;39130 ;"       39.13" ;" " ;39130 ;"       39.13" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;4 ;0 ;6 ;40030 ;"       40.03" ;"E" ;40030 ;"       40.03" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;0 ;0 ;0 ;0 ;48997380 ;" 13:36:37.38" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;4 ;0 ;1 ;36580 ;"       36.58" ;" " ;36650 ;"       36.65" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;1 ;0 ;2 ;37930 ;"       37.93" ;" " ;37880 ;"       37.88" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;5 ;0 ;2 ;37930 ;"       37.93" ;" " ;38010 ;"       38.01" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;6 ;0 ;4 ;37960 ;"       37.96" ;" " ;37940 ;"       37.94" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;2 ;0 ;5 ;38210 ;"       38.21" ;" " ;38300 ;"       38.30" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;3 ;0 ;6 ;38820 ;"       38.82" ;" " ;38930 ;"       38.93" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;0 ;0 ;0 ;0 ;49068920 ;" 13:37:48.92" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;5 ;0 ;1 ;37180 ;"       37.18" ;" " ;37250 ;"       37.25" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;4 ;0 ;2 ;37520 ;"       37.52" ;" " ;37560 ;"       37.56" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;3 ;0 ;3 ;37910 ;"       37.91" ;" " ;37950 ;"       37.95" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;2 ;0 ;4 ;38390 ;"       38.39" ;" " ;38470 ;"       38.47" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;6 ;0 ;5 ;38600 ;"       38.60" ;" " ;38580 ;"       38.58" ;"A" ;0 ;"" ;"" ;
