event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;1 ;0 ;85 ;
101 ;0 ;0 ;2 ;0 ;197 ;
101 ;0 ;0 ;3 ;0 ;112 ;
101 ;0 ;0 ;4 ;0 ;326 ;
101 ;0 ;0 ;5 ;0 ;307 ;
101 ;0 ;1 ;1 ;0 ;60 ;
101 ;0 ;1 ;2 ;0 ;151 ;
101 ;0 ;1 ;3 ;0 ;311 ;
101 ;0 ;1 ;4 ;0 ;72 ;
101 ;0 ;1 ;5 ;0 ;15 ;
101 ;0 ;1 ;6 ;0 ;278 ;
101 ;0 ;2 ;1 ;0 ;316 ;
101 ;0 ;2 ;2 ;0 ;285 ;
101 ;0 ;2 ;3 ;0 ;327 ;
101 ;0 ;2 ;4 ;0 ;155 ;
101 ;0 ;2 ;5 ;0 ;84 ;
101 ;0 ;2 ;6 ;0 ;11 ;
101 ;0 ;3 ;1 ;0 ;176 ;
101 ;0 ;3 ;2 ;0 ;156 ;
101 ;0 ;3 ;3 ;0 ;67 ;
101 ;0 ;3 ;4 ;0 ;304 ;
101 ;0 ;3 ;5 ;0 ;369 ;
101 ;0 ;3 ;6 ;0 ;310 ;
101 ;0 ;4 ;1 ;0 ;355 ;
101 ;0 ;4 ;2 ;0 ;216 ;
101 ;0 ;4 ;3 ;0 ;325 ;
101 ;0 ;4 ;4 ;0 ;106 ;
101 ;0 ;4 ;5 ;0 ;128 ;
101 ;0 ;4 ;6 ;0 ;370 ;
101 ;0 ;5 ;1 ;0 ;7 ;
101 ;0 ;5 ;2 ;0 ;250 ;
101 ;0 ;5 ;3 ;0 ;287 ;
101 ;0 ;5 ;4 ;0 ;172 ;
101 ;0 ;5 ;5 ;0 ;314 ;
101 ;0 ;5 ;6 ;0 ;184 ;
101 ;0 ;6 ;1 ;0 ;351 ;
101 ;0 ;6 ;2 ;0 ;52 ;
101 ;0 ;6 ;3 ;0 ;90 ;
101 ;0 ;6 ;4 ;0 ;375 ;
