id;event;round ;heat
1 ;101 ;0 ;0 ;
2 ;101 ;0 ;1 ;
3 ;101 ;0 ;2 ;
4 ;101 ;0 ;3 ;
5 ;101 ;0 ;4 ;
6 ;101 ;0 ;5 ;
7 ;101 ;0 ;6 ;
8 ;101 ;0 ;7 ;
9 ;101 ;0 ;8 ;
10 ;101 ;0 ;9 ;
11 ;101 ;0 ;10 ;
12 ;102 ;0 ;0 ;
13 ;102 ;0 ;1 ;
14 ;102 ;0 ;2 ;
15 ;102 ;0 ;3 ;
16 ;102 ;0 ;4 ;
17 ;102 ;0 ;5 ;
18 ;102 ;0 ;6 ;
19 ;102 ;0 ;7 ;
20 ;102 ;0 ;8 ;
21 ;102 ;0 ;9 ;
22 ;102 ;0 ;10 ;
23 ;102 ;0 ;10 ;
24 ;102 ;0 ;10 ;
25 ;102 ;0 ;10 ;
26 ;102 ;0 ;10 ;
27 ;102 ;0 ;11 ;
28 ;102 ;0 ;12 ;
29 ;102 ;0 ;13 ;
30 ;102 ;0 ;15 ;
31 ;102 ;0 ;14 ;
32 ;103 ;0 ;0 ;
33 ;103 ;0 ;1 ;
34 ;103 ;0 ;2 ;
35 ;103 ;0 ;3 ;
36 ;103 ;0 ;4 ;
37 ;103 ;0 ;5 ;
38 ;103 ;0 ;6 ;
39 ;103 ;0 ;7 ;
40 ;103 ;0 ;8 ;
41 ;103 ;0 ;9 ;
42 ;103 ;0 ;10 ;
43 ;104 ;0 ;0 ;
44 ;104 ;0 ;1 ;
45 ;104 ;0 ;2 ;
46 ;104 ;0 ;2 ;
47 ;104 ;0 ;3 ;
48 ;104 ;0 ;4 ;
49 ;104 ;0 ;5 ;
50 ;104 ;0 ;6 ;
51 ;104 ;0 ;7 ;
52 ;104 ;0 ;8 ;
53 ;104 ;0 ;9 ;
54 ;104 ;0 ;10 ;
55 ;104 ;0 ;11 ;
56 ;104 ;0 ;12 ;
57 ;104 ;0 ;13 ;
58 ;105 ;0 ;0 ;
59 ;105 ;0 ;1 ;
60 ;105 ;0 ;2 ;
61 ;105 ;0 ;3 ;
62 ;105 ;0 ;4 ;
63 ;105 ;0 ;5 ;
64 ;105 ;0 ;6 ;
65 ;105 ;0 ;7 ;
66 ;105 ;0 ;8 ;
67 ;105 ;0 ;9 ;
68 ;105 ;0 ;10 ;
69 ;106 ;0 ;0 ;
70 ;106 ;0 ;1 ;
71 ;106 ;0 ;2 ;
72 ;106 ;0 ;3 ;
73 ;106 ;0 ;4 ;
74 ;106 ;0 ;5 ;
75 ;106 ;0 ;6 ;
76 ;106 ;0 ;7 ;
77 ;106 ;0 ;8 ;
78 ;106 ;0 ;9 ;
79 ;106 ;0 ;10 ;
80 ;106 ;0 ;11 ;
81 ;106 ;0 ;12 ;
82 ;106 ;0 ;13 ;
83 ;106 ;0 ;14 ;
84 ;106 ;0 ;15 ;
85 ;106 ;0 ;16 ;
86 ;107 ;0 ;0 ;
87 ;107 ;0 ;1 ;
88 ;107 ;0 ;2 ;
89 ;107 ;0 ;3 ;
90 ;107 ;0 ;4 ;
91 ;107 ;0 ;5 ;
92 ;107 ;0 ;6 ;
93 ;107 ;0 ;7 ;
94 ;108 ;0 ;0 ;
95 ;108 ;0 ;1 ;
96 ;108 ;0 ;2 ;
97 ;108 ;0 ;3 ;
98 ;108 ;0 ;4 ;
99 ;108 ;0 ;5 ;
100 ;108 ;0 ;6 ;
101 ;108 ;0 ;7 ;
102 ;108 ;0 ;8 ;
103 ;108 ;0 ;9 ;
104 ;108 ;0 ;10 ;
105 ;108 ;0 ;11 ;
106 ;108 ;0 ;12 ;
107 ;108 ;0 ;13 ;
108 ;108 ;0 ;14 ;
109 ;108 ;0 ;15 ;
110 ;108 ;0 ;16 ;
111 ;108 ;0 ;17 ;
112 ;109 ;0 ;0 ;
113 ;109 ;0 ;1 ;
114 ;109 ;0 ;2 ;
115 ;109 ;0 ;3 ;
116 ;109 ;0 ;4 ;
117 ;110 ;0 ;0 ;
118 ;110 ;0 ;1 ;
119 ;110 ;0 ;2 ;
120 ;110 ;0 ;3 ;
121 ;110 ;0 ;4 ;
122 ;110 ;0 ;5 ;
123 ;110 ;0 ;6 ;
