event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;2 ;50 ;2 ;0 ;1 ;187800 ;"     3:07.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;4 ;0 ;2 ;214420 ;"     3:34.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;0 ;0 ;0 ;1280890 ;"    21:20.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;1 ;47160 ;"       47.16" ;" " ;47190 ;"       47.19" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;2 ;48240 ;"       48.24" ;" " ;48390 ;"       48.39" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;3 ;50600 ;"       50.60" ;" " ;50690 ;"       50.69" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;4 ;53950 ;"       53.95" ;" " ;54000 ;"       54.00" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;1375610 ;"    22:55.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;1 ;47720 ;"       47.72" ;" " ;47680 ;"       47.68" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;2 ;48960 ;"       48.96" ;" " ;48990 ;"       48.99" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;3 ;52850 ;"       52.85" ;" " ;52750 ;"       52.75" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;4 ;53430 ;"       53.43" ;" " ;53470 ;"       53.47" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;1459520 ;"    24:19.52" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;1 ;39160 ;"       39.16" ;" " ;39310 ;"       39.31" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;2 ;39750 ;"       39.75" ;" " ;39840 ;"       39.84" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;3 ;41950 ;"       41.95" ;"E" ;41950 ;"       41.95" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;4 ;42210 ;"       42.21" ;" " ;42230 ;"       42.23" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;1548220 ;"    25:48.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;1 ;35020 ;"       35.02" ;" " ;35140 ;"       35.14" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;2 ;35690 ;"       35.69" ;" " ;35850 ;"       35.85" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;3 ;36940 ;"       36.94" ;" " ;36940 ;"       36.94" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;4 ;38070 ;"       38.07" ;" " ;38090 ;"       38.09" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;0 ;0 ;0 ;0 ;1626690 ;"    27:06.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
