event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;1 ;0 ;2 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;2 ;0 ;1 ;23540 ;"       23.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;3 ;0 ;2 ;26260 ;"       26.26" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;6 ;0 ;3 ;34720 ;"       34.72" ;" " ;240 ;"        0.24" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;5 ;0 ;4 ;42230 ;"       42.23" ;" " ;240 ;"        0.24" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;4 ;0 ;5 ;46130 ;"       46.13" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;7 ;0 ;6 ;46510 ;"       46.51" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;6 ;0 ;1 ;67950 ;"     1:07.95" ;" " ;67960 ;"     1:07.96" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;4 ;0 ;2 ;75720 ;"     1:15.72" ;" " ;75790 ;"     1:15.79" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;3 ;0 ;3 ;82760 ;"     1:22.76" ;" " ;82870 ;"     1:22.87" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;5 ;0 ;4 ;87310 ;"     1:27.31" ;" " ;87340 ;"     1:27.34" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;2 ;0 ;5 ;89470 ;"     1:29.47" ;"E" ;89470 ;"     1:29.47" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;7 ;0 ;6 ;89560 ;"     1:29.56" ;" " ;89910 ;"     1:29.91" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;0 ;0 ;0 ;0 ;35913850 ;"  9:58:33.85" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;0 ;6 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;3 ;0 ;1 ;35230 ;"       35.23" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;5 ;0 ;2 ;35850 ;"       35.85" ;" " ;280 ;"        0.28" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;4 ;0 ;3 ;35900 ;"       35.90" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;6 ;0 ;4 ;38060 ;"       38.06" ;" " ;270 ;"        0.27" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;7 ;0 ;5 ;59920 ;"       59.92" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;3 ;0 ;1 ;67070 ;"     1:07.07" ;" " ;67160 ;"     1:07.16" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;4 ;0 ;2 ;71570 ;"     1:11.57" ;" " ;71570 ;"     1:11.57" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;2 ;0 ;3 ;71850 ;"     1:11.85" ;" " ;72010 ;"     1:12.01" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;5 ;0 ;4 ;73550 ;"     1:13.55" ;" " ;73460 ;"     1:13.46" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;6 ;0 ;5 ;80550 ;"     1:20.55" ;" " ;80420 ;"     1:20.42" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;7 ;0 ;6 ;109750 ;"     1:49.75" ;" " ;109950 ;"     1:49.95" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;0 ;0 ;0 ;36631880 ;" 10:10:31.88" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;6 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;1 ;37100 ;"       37.10" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
