event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;48714620 ;" 13:31:54.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;2 ;0 ;1 ;38860 ;"       38.86" ;" " ;38980 ;"       38.98" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;3 ;0 ;2 ;42650 ;"       42.65" ;" " ;42840 ;"       42.84" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;4 ;0 ;3 ;43550 ;"       43.55" ;" " ;43760 ;"       43.76" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;48802420 ;" 13:33:22.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;4 ;0 ;1 ;38530 ;"       38.53" ;" " ;38430 ;"       38.43" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;3 ;0 ;2 ;46050 ;"       46.05" ;" " ;46160 ;"       46.16" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;5 ;0 ;3 ;51430 ;"       51.43" ;" " ;51470 ;"       51.47" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;2 ;0 ;4 ;54030 ;"       54.03" ;" " ;54060 ;"       54.06" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;0 ;0 ;0 ;0 ;48937850 ;" 13:35:37.85" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;5 ;0 ;1 ;40430 ;"       40.43" ;" " ;40490 ;"       40.49" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;6 ;0 ;2 ;41830 ;"       41.83" ;" " ;42060 ;"       42.06" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;1 ;0 ;3 ;44280 ;"       44.28" ;" " ;44450 ;"       44.45" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;4 ;0 ;4 ;49510 ;"       49.51" ;" " ;49490 ;"       49.49" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;2 ;0 ;5 ;53910 ;"       53.91" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;3 ;0 ;6 ;56250 ;"       56.25" ;"E" ;56250 ;"       56.25" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;0 ;0 ;0 ;49069040 ;" 13:37:49.04" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;5 ;0 ;1 ;38620 ;"       38.62" ;" " ;38660 ;"       38.66" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;6 ;0 ;2 ;42490 ;"       42.49" ;" " ;42690 ;"       42.69" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;2 ;0 ;3 ;48280 ;"       48.28" ;" " ;48380 ;"       48.38" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;1 ;0 ;4 ;48560 ;"       48.56" ;"E" ;48560 ;"       48.56" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;3 ;0 ;5 ;49140 ;"       49.14" ;" " ;49290 ;"       49.29" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;0 ;0 ;0 ;0 ;49180960 ;" 13:39:40.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;3 ;0 ;1 ;39970 ;"       39.97" ;" " ;40060 ;"       40.06" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;5 ;0 ;2 ;44540 ;"       44.54" ;" " ;44610 ;"       44.61" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;4 ;0 ;3 ;48910 ;"       48.91" ;"E" ;48910 ;"       48.91" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;6 ;0 ;4 ;49910 ;"       49.91" ;"E" ;49910 ;"       49.91" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;2 ;0 ;5 ;54020 ;"       54.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;1 ;0 ;6 ;55240 ;"       55.24" ;"E" ;55240 ;"       55.24" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;0 ;0 ;0 ;0 ;49275800 ;" 13:41:15.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;5 ;0 ;1 ;42300 ;"       42.30" ;" " ;42340 ;"       42.34" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;2 ;0 ;2 ;44800 ;"       44.80" ;" " ;44960 ;"       44.96" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;3 ;0 ;3 ;44990 ;"       44.99" ;"E" ;44990 ;"       44.99" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;6 ;0 ;4 ;46790 ;"       46.79" ;" " ;46860 ;"       46.86" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;4 ;0 ;5 ;46910 ;"       46.91" ;"E" ;46910 ;"       46.91" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;1 ;0 ;6 ;51810 ;"       51.81" ;" " ;51860 ;"       51.86" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;0 ;0 ;0 ;0 ;49360190 ;" 13:42:40.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;3 ;0 ;1 ;40070 ;"       40.07" ;" " ;40200 ;"       40.20" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;5 ;0 ;2 ;42320 ;"       42.32" ;"E" ;42320 ;"       42.32" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;1 ;0 ;3 ;44010 ;"       44.01" ;" " ;44060 ;"       44.06" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;2 ;0 ;4 ;46060 ;"       46.06" ;" " ;46000 ;"       46.00" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;4 ;0 ;5 ;46470 ;"       46.47" ;"E" ;46470 ;"       46.47" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;6 ;0 ;6 ;47030 ;"       47.03" ;" " ;47220 ;"       47.22" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;0 ;0 ;0 ;0 ;49498450 ;" 13:44:58.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;7 ;0 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;7 ;25 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;5 ;0 ;1 ;42610 ;"       42.61" ;" " ;42680 ;"       42.68" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;3 ;0 ;2 ;44200 ;"       44.20" ;" " ;44180 ;"       44.18" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;4 ;0 ;3 ;44730 ;"       44.73" ;" " ;44580 ;"       44.58" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;6 ;0 ;4 ;46790 ;"       46.79" ;" " ;46890 ;"       46.89" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;1 ;0 ;5 ;46830 ;"       46.83" ;" " ;46870 ;"       46.87" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;8 ;0 ;0 ;0 ;0 ;49577490 ;" 13:46:17.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;4 ;0 ;1 ;42250 ;"       42.25" ;" " ;42240 ;"       42.24" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;5 ;0 ;2 ;43200 ;"       43.20" ;"E" ;43200 ;"       43.20" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;1 ;0 ;3 ;43940 ;"       43.94" ;"E" ;43940 ;"       43.94" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;2 ;0 ;4 ;44950 ;"       44.95" ;" " ;44820 ;"       44.82" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;3 ;0 ;5 ;45080 ;"       45.08" ;"E" ;45080 ;"       45.08" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;6 ;0 ;6 ;46630 ;"       46.63" ;" " ;46370 ;"       46.37" ;"A" ;0 ;"" ;"" ;
101 ;0 ;9 ;0 ;0 ;0 ;0 ;49663620 ;" 13:47:43.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;9 ;50 ;3 ;0 ;1 ;39760 ;"       39.76" ;" " ;39830 ;"       39.83" ;"A" ;0 ;"" ;"" ;
101 ;0 ;9 ;50 ;2 ;0 ;2 ;41580 ;"       41.58" ;" " ;41750 ;"       41.75" ;"A" ;0 ;"" ;"" ;
101 ;0 ;9 ;50 ;1 ;0 ;3 ;43400 ;"       43.40" ;"E" ;43400 ;"       43.40" ;"A" ;0 ;"" ;"" ;
101 ;0 ;9 ;50 ;6 ;0 ;4 ;43860 ;"       43.86" ;" " ;44010 ;"       44.01" ;"A" ;0 ;"" ;"" ;
101 ;0 ;9 ;50 ;5 ;0 ;5 ;45070 ;"       45.07" ;" " ;45190 ;"       45.19" ;"A" ;0 ;"" ;"" ;
101 ;0 ;9 ;50 ;4 ;0 ;6 ;45220 ;"       45.22" ;"E" ;45220 ;"       45.22" ;"A" ;0 ;"" ;"" ;
101 ;0 ;10 ;0 ;0 ;0 ;0 ;49745670 ;" 13:49:05.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;10 ;50 ;3 ;0 ;1 ;38610 ;"       38.61" ;" " ;38680 ;"       38.68" ;"A" ;0 ;"" ;"" ;
101 ;0 ;10 ;50 ;6 ;0 ;2 ;38990 ;"       38.99" ;" " ;39130 ;"       39.13" ;"A" ;0 ;"" ;"" ;
101 ;0 ;10 ;50 ;1 ;0 ;3 ;40750 ;"       40.75" ;" " ;40870 ;"       40.87" ;"A" ;0 ;"" ;"" ;
101 ;0 ;10 ;50 ;2 ;0 ;4 ;42130 ;"       42.13" ;" " ;42200 ;"       42.20" ;"A" ;0 ;"" ;"" ;
101 ;0 ;10 ;50 ;5 ;0 ;5 ;43400 ;"       43.40" ;"E" ;43400 ;"       43.40" ;"A" ;0 ;"" ;"" ;
101 ;0 ;10 ;50 ;4 ;0 ;6 ;43460 ;"       43.46" ;" " ;43330 ;"       43.33" ;"A" ;0 ;"" ;"" ;
