event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;70580870 ;" 19:36:20.87" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;1 ;40450 ;"       40.45" ;" " ;40460 ;"       40.46" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;2 ;41860 ;"       41.86" ;" " ;42020 ;"       42.02" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;3 ;41970 ;"       41.97" ;" " ;42140 ;"       42.14" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;4 ;42200 ;"       42.20" ;" " ;42250 ;"       42.25" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;5 ;45250 ;"       45.25" ;" " ;45230 ;"       45.23" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;70668660 ;" 19:37:48.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;1 ;37650 ;"       37.65" ;"E" ;37650 ;"       37.65" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;2 ;38830 ;"       38.83" ;"E" ;38830 ;"       38.83" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;3 ;38860 ;"       38.86" ;" " ;38940 ;"       38.94" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;4 ;39230 ;"       39.23" ;" " ;39260 ;"       39.26" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;5 ;39890 ;"       39.89" ;" " ;39970 ;"       39.97" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;70763740 ;" 19:39:23.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;1 ;35740 ;"       35.74" ;" " ;35810 ;"       35.81" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;2 ;37200 ;"       37.20" ;" " ;37310 ;"       37.31" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;3 ;40180 ;"       40.18" ;" " ;40260 ;"       40.26" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;4 ;40400 ;"       40.40" ;" " ;40530 ;"       40.53" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;6 ;0 ;5 ;43990 ;"       43.99" ;" " ;44160 ;"       44.16" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;70852290 ;" 19:40:52.29" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;6 ;0 ;1 ;35170 ;"       35.17" ;" " ;35250 ;"       35.25" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;2 ;38850 ;"       38.85" ;" " ;39020 ;"       39.02" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;3 ;39770 ;"       39.77" ;" " ;39820 ;"       39.82" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;4 ;41760 ;"       41.76" ;" " ;41750 ;"       41.75" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;5 ;42790 ;"       42.79" ;" " ;42890 ;"       42.89" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;0 ;0 ;0 ;0 ;70951530 ;" 19:42:31.53" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;3 ;0 ;1 ;32450 ;"       32.45" ;" " ;32500 ;"       32.50" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;5 ;0 ;2 ;35890 ;"       35.89" ;" " ;36000 ;"       36.00" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;6 ;0 ;3 ;36320 ;"       36.32" ;" " ;36300 ;"       36.30" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;2 ;0 ;4 ;38150 ;"       38.15" ;" " ;38250 ;"       38.25" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;4 ;0 ;5 ;38510 ;"       38.51" ;" " ;38560 ;"       38.56" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;0 ;0 ;0 ;0 ;71028810 ;" 19:43:48.81" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;4 ;0 ;1 ;30250 ;"       30.25" ;" " ;30400 ;"       30.40" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;2 ;0 ;2 ;31570 ;"       31.57" ;" " ;31670 ;"       31.67" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;6 ;0 ;3 ;36450 ;"       36.45" ;" " ;36660 ;"       36.66" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;5 ;0 ;4 ;36640 ;"       36.64" ;" " ;36700 ;"       36.70" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;3 ;0 ;5 ;36790 ;"       36.79" ;" " ;36830 ;"       36.83" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;0 ;0 ;0 ;0 ;71100020 ;" 19:45:00.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;5 ;0 ;1 ;45650 ;"       45.65" ;" " ;45750 ;"       45.75" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;4 ;0 ;2 ;50480 ;"       50.48" ;" " ;50590 ;"       50.59" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;3 ;0 ;3 ;51630 ;"       51.63" ;" " ;51700 ;"       51.70" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;2 ;0 ;4 ;52030 ;"       52.03" ;" " ;52140 ;"       52.14" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;6 ;0 ;5 ;55170 ;"       55.17" ;" " ;55200 ;"       55.20" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;0 ;0 ;0 ;0 ;71188170 ;" 19:46:28.17" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;5 ;0 ;1 ;50600 ;"       50.60" ;" " ;50650 ;"       50.65" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;4 ;0 ;2 ;52120 ;"       52.12" ;" " ;52130 ;"       52.13" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;3 ;0 ;3 ;53130 ;"       53.13" ;" " ;53210 ;"       53.21" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;2 ;0 ;4 ;53440 ;"       53.44" ;" " ;53480 ;"       53.48" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;6 ;0 ;5 ;53910 ;"       53.91" ;" " ;53960 ;"       53.96" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;0 ;0 ;0 ;0 ;71278690 ;" 19:47:58.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;5 ;0 ;1 ;32080 ;"       32.08" ;" " ;32030 ;"       32.03" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;4 ;0 ;2 ;33040 ;"       33.04" ;" " ;33100 ;"       33.10" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;3 ;0 ;3 ;33620 ;"       33.62" ;" " ;33710 ;"       33.71" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;2 ;0 ;4 ;34030 ;"       34.03" ;" " ;34050 ;"       34.05" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;6 ;0 ;5 ;38070 ;"       38.07" ;" " ;38060 ;"       38.06" ;"A" ;0 ;"" ;"" ;
10 ;0 ;0 ;0 ;0 ;0 ;0 ;71355990 ;" 19:49:15.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
10 ;0 ;0 ;50 ;4 ;0 ;1 ;29070 ;"       29.07" ;" " ;29180 ;"       29.18" ;"A" ;0 ;"" ;"" ;
10 ;0 ;0 ;50 ;5 ;0 ;2 ;30860 ;"       30.86" ;" " ;30960 ;"       30.96" ;"A" ;0 ;"" ;"" ;
10 ;0 ;0 ;50 ;2 ;0 ;3 ;32170 ;"       32.17" ;" " ;32320 ;"       32.32" ;"A" ;0 ;"" ;"" ;
10 ;0 ;0 ;50 ;3 ;0 ;4 ;33150 ;"       33.15" ;" " ;33290 ;"       33.29" ;"A" ;0 ;"" ;"" ;
10 ;0 ;0 ;50 ;6 ;0 ;5 ;33860 ;"       33.86" ;" " ;33850 ;"       33.85" ;"A" ;0 ;"" ;"" ;
11 ;0 ;0 ;0 ;0 ;0 ;0 ;71439960 ;" 19:50:39.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
11 ;0 ;0 ;50 ;5 ;0 ;1 ;45820 ;"       45.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
11 ;0 ;0 ;50 ;2 ;0 ;2 ;45840 ;"       45.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
11 ;0 ;0 ;50 ;6 ;0 ;3 ;47020 ;"       47.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
11 ;0 ;0 ;50 ;4 ;0 ;4 ;50940 ;"       50.94" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
11 ;0 ;0 ;100 ;5 ;0 ;1 ;82880 ;"     1:22.88" ;" " ;82960 ;"     1:22.96" ;"A" ;0 ;"" ;"" ;
11 ;0 ;0 ;100 ;3 ;0 ;2 ;85540 ;"     1:25.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
11 ;0 ;0 ;100 ;2 ;0 ;3 ;87440 ;"     1:27.44" ;" " ;87660 ;"     1:27.66" ;"A" ;0 ;"" ;"" ;
11 ;0 ;0 ;100 ;6 ;0 ;4 ;89020 ;"     1:29.02" ;" " ;89030 ;"     1:29.03" ;"A" ;0 ;"" ;"" ;
11 ;0 ;0 ;100 ;4 ;0 ;5 ;89420 ;"     1:29.42" ;" " ;89380 ;"     1:29.38" ;"A" ;0 ;"" ;"" ;
12 ;0 ;0 ;0 ;0 ;0 ;0 ;71599170 ;" 19:53:19.17" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
12 ;0 ;0 ;50 ;2 ;0 ;1 ;37890 ;"       37.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
12 ;0 ;0 ;50 ;6 ;0 ;2 ;38040 ;"       38.04" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
12 ;0 ;0 ;50 ;3 ;0 ;3 ;39760 ;"       39.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
12 ;0 ;0 ;50 ;5 ;0 ;4 ;42380 ;"       42.38" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
12 ;0 ;0 ;50 ;4 ;0 ;5 ;44810 ;"       44.81" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
12 ;0 ;0 ;100 ;2 ;0 ;1 ;72420 ;"     1:12.42" ;" " ;72550 ;"     1:12.55" ;"A" ;0 ;"" ;"" ;
12 ;0 ;0 ;100 ;3 ;0 ;2 ;73070 ;"     1:13.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
12 ;0 ;0 ;100 ;6 ;0 ;3 ;73870 ;"     1:13.87" ;" " ;73930 ;"     1:13.93" ;"A" ;0 ;"" ;"" ;
12 ;0 ;0 ;100 ;5 ;0 ;4 ;75040 ;"     1:15.04" ;" " ;75170 ;"     1:15.17" ;"A" ;0 ;"" ;"" ;
12 ;0 ;0 ;100 ;4 ;0 ;5 ;77800 ;"     1:17.80" ;" " ;77860 ;"     1:17.86" ;"A" ;0 ;"" ;"" ;
13 ;0 ;0 ;0 ;0 ;0 ;0 ;71733630 ;" 19:55:33.63" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
13 ;0 ;0 ;50 ;2 ;0 ;1 ;34720 ;"       34.72" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
13 ;0 ;0 ;50 ;3 ;0 ;2 ;35700 ;"       35.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
13 ;0 ;0 ;50 ;5 ;0 ;3 ;37080 ;"       37.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
13 ;0 ;0 ;50 ;6 ;0 ;4 ;37200 ;"       37.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
13 ;0 ;0 ;100 ;2 ;0 ;1 ;64230 ;"     1:04.23" ;" " ;64350 ;"     1:04.35" ;"A" ;0 ;"" ;"" ;
