event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;49063580 ;" 13:37:43.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;1 ;43410 ;"       43.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;2 ;45030 ;"       45.03" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;3 ;45970 ;"       45.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;8 ;0 ;4 ;46550 ;"       46.55" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;5 ;47770 ;"       47.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;1 ;77780 ;"     1:17.78" ;" " ;77780 ;"     1:17.78" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;2 ;81450 ;"     1:21.45" ;" " ;2058200 ;"    34:18.20" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;3 ;82130 ;"     1:22.13" ;"E" ;82130 ;"     1:22.13" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;4 ;84280 ;"     1:24.28" ;" " ;84400 ;"     1:24.40" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;6 ;0 ;5 ;85200 ;"     1:25.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;8 ;0 ;6 ;85370 ;"     1:25.37" ;" " ;85590 ;"     1:25.59" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;0 ;0 ;0 ;0 ;49248820 ;" 13:40:48.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;4 ;0 ;1 ;41510 ;"       41.51" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;3 ;0 ;2 ;42810 ;"       42.81" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;5 ;0 ;3 ;43820 ;"       43.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;7 ;0 ;4 ;45560 ;"       45.56" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;2 ;0 ;5 ;45740 ;"       45.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;6 ;0 ;6 ;50480 ;"       50.48" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;4 ;0 ;1 ;73540 ;"     1:13.54" ;" " ;73630 ;"     1:13.63" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;3 ;0 ;2 ;77020 ;"     1:17.02" ;" " ;77110 ;"     1:17.11" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;5 ;0 ;3 ;79620 ;"     1:19.62" ;" " ;79680 ;"     1:19.68" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;6 ;0 ;4 ;85400 ;"     1:25.40" ;" " ;85410 ;"     1:25.41" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;7 ;0 ;5 ;87040 ;"     1:27.04" ;" " ;87050 ;"     1:27.05" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;2 ;0 ;6 ;88080 ;"     1:28.08" ;" " ;88240 ;"     1:28.24" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;49436160 ;" 13:43:56.16" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;1 ;43970 ;"       43.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;2 ;44260 ;"       44.26" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;7 ;0 ;3 ;44590 ;"       44.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;4 ;44620 ;"       44.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;5 ;45660 ;"       45.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;6 ;47520 ;"       47.52" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;3 ;0 ;1 ;80070 ;"     1:20.07" ;" " ;80170 ;"     1:20.17" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;5 ;0 ;2 ;80950 ;"     1:20.95" ;"E" ;80950 ;"     1:20.95" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;6 ;0 ;3 ;83170 ;"     1:23.17" ;" " ;83150 ;"     1:23.15" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;4 ;0 ;4 ;83870 ;"     1:23.87" ;" " ;83790 ;"     1:23.79" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;2 ;0 ;5 ;85530 ;"     1:25.53" ;" " ;85610 ;"     1:25.61" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;1 ;0 ;6 ;85920 ;"     1:25.92" ;"E" ;85920 ;"     1:25.92" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;7 ;0 ;7 ;85940 ;"     1:25.94" ;" " ;86060 ;"     1:26.06" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;0 ;0 ;0 ;0 ;49624680 ;" 13:47:04.68" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
