event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;335850 ;"     5:35.85" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;25 ;1 ;0 ;1 ;27910 ;"       27.91" ;"E" ;27910 ;"       27.91" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;25 ;4 ;0 ;2 ;28500 ;"       28.50" ;" " ;28460 ;"       28.46" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;25 ;3 ;0 ;3 ;29060 ;"       29.06" ;" " ;29190 ;"       29.19" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;25 ;2 ;0 ;4 ;29390 ;"       29.39" ;" " ;29520 ;"       29.52" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;25 ;5 ;0 ;5 ;37520 ;"       37.52" ;" " ;37150 ;"       37.15" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;442770 ;"     7:22.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;25 ;3 ;0 ;1 ;21150 ;"       21.15" ;"E" ;21150 ;"       21.15" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;25 ;5 ;0 ;2 ;21960 ;"       21.96" ;" " ;22000 ;"       22.00" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;25 ;6 ;0 ;3 ;22720 ;"       22.72" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;25 ;1 ;0 ;4 ;22780 ;"       22.78" ;"E" ;22780 ;"       22.78" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;25 ;4 ;0 ;5 ;23490 ;"       23.49" ;" " ;23510 ;"       23.51" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;25 ;2 ;0 ;6 ;28970 ;"       28.97" ;" " ;29150 ;"       29.15" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;0 ;0 ;0 ;0 ;602970 ;"    10:02.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;25 ;2 ;0 ;1 ;19540 ;"       19.54" ;" " ;19650 ;"       19.65" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;25 ;6 ;0 ;2 ;20470 ;"       20.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;25 ;4 ;0 ;3 ;26070 ;"       26.07" ;" " ;26100 ;"       26.10" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;25 ;1 ;0 ;4 ;28520 ;"       28.52" ;" " ;28410 ;"       28.41" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;25 ;5 ;0 ;5 ;29920 ;"       29.92" ;" " ;30140 ;"       30.14" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;0 ;0 ;0 ;675360 ;"    11:15.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;2 ;0 ;1 ;20640 ;"       20.64" ;" " ;20730 ;"       20.73" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;1 ;0 ;2 ;23350 ;"       23.35" ;" " ;23150 ;"       23.15" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;6 ;0 ;3 ;23360 ;"       23.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;5 ;0 ;4 ;24200 ;"       24.20" ;"E" ;24200 ;"       24.20" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;3 ;0 ;5 ;25070 ;"       25.07" ;" " ;25140 ;"       25.14" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;4 ;0 ;6 ;25270 ;"       25.27" ;" " ;25150 ;"       25.15" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;0 ;0 ;0 ;0 ;764720 ;"    12:44.72" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;3 ;0 ;1 ;19940 ;"       19.94" ;" " ;19960 ;"       19.96" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;4 ;0 ;2 ;21130 ;"       21.13" ;" " ;21190 ;"       21.19" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;2 ;0 ;3 ;21140 ;"       21.14" ;" " ;21140 ;"       21.14" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;5 ;0 ;4 ;21710 ;"       21.71" ;" " ;21720 ;"       21.72" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;1 ;0 ;5 ;24190 ;"       24.19" ;" " ;24250 ;"       24.25" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;6 ;0 ;6 ;26240 ;"       26.24" ;" " ;26430 ;"       26.43" ;"A" ;0 ;"" ;"" ;
102 ;0 ;0 ;0 ;0 ;0 ;0 ;842050 ;"    14:02.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
102 ;0 ;0 ;25 ;5 ;0 ;1 ;21060 ;"       21.06" ;" " ;20960 ;"       20.96" ;"A" ;0 ;"" ;"" ;
102 ;0 ;0 ;25 ;1 ;0 ;2 ;21210 ;"       21.21" ;" " ;21340 ;"       21.34" ;"A" ;0 ;"" ;"" ;
102 ;0 ;0 ;25 ;4 ;0 ;3 ;22370 ;"       22.37" ;" " ;22490 ;"       22.49" ;"A" ;0 ;"" ;"" ;
102 ;0 ;0 ;25 ;3 ;0 ;4 ;26320 ;"       26.32" ;" " ;26360 ;"       26.36" ;"A" ;0 ;"" ;"" ;
102 ;0 ;0 ;25 ;2 ;0 ;5 ;32010 ;"       32.01" ;"E" ;32010 ;"       32.01" ;"A" ;0 ;"" ;"" ;
102 ;0 ;1 ;0 ;0 ;0 ;0 ;921710 ;"    15:21.71" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
102 ;0 ;1 ;25 ;3 ;0 ;1 ;19150 ;"       19.15" ;" " ;19150 ;"       19.15" ;"A" ;0 ;"" ;"" ;
102 ;0 ;1 ;25 ;6 ;0 ;2 ;22790 ;"       22.79" ;" " ;23090 ;"       23.09" ;"A" ;0 ;"" ;"" ;
102 ;0 ;1 ;25 ;4 ;0 ;3 ;23080 ;"       23.08" ;" " ;22670 ;"       22.67" ;"A" ;0 ;"" ;"" ;
102 ;0 ;1 ;25 ;2 ;0 ;4 ;24870 ;"       24.87" ;" " ;24940 ;"       24.94" ;"A" ;0 ;"" ;"" ;
102 ;0 ;1 ;25 ;1 ;0 ;5 ;28110 ;"       28.11" ;" " ;28140 ;"       28.14" ;"A" ;0 ;"" ;"" ;
102 ;0 ;1 ;25 ;5 ;0 ;6 ;31300 ;"       31.30" ;"E" ;31300 ;"       31.30" ;"A" ;0 ;"" ;"" ;
103 ;0 ;0 ;0 ;0 ;0 ;0 ;1086890 ;"    18:06.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;0 ;50 ;5 ;0 ;1 ;44160 ;"       44.16" ;" " ;44200 ;"       44.20" ;"A" ;0 ;"" ;"" ;
103 ;0 ;0 ;50 ;2 ;0 ;2 ;46930 ;"       46.93" ;" " ;46980 ;"       46.98" ;"A" ;0 ;"" ;"" ;
103 ;0 ;0 ;50 ;3 ;0 ;3 ;57710 ;"       57.71" ;" " ;55880 ;"       55.88" ;"A" ;0 ;"" ;"" ;
103 ;0 ;1 ;0 ;0 ;0 ;0 ;1185450 ;"    19:45.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;1 ;50 ;2 ;0 ;1 ;40740 ;"       40.74" ;"E" ;40740 ;"       40.74" ;"A" ;0 ;"" ;"" ;
103 ;0 ;1 ;50 ;4 ;0 ;2 ;40860 ;"       40.86" ;" " ;40950 ;"       40.95" ;"A" ;0 ;"" ;"" ;
103 ;0 ;1 ;50 ;3 ;0 ;3 ;42810 ;"       42.81" ;" " ;42890 ;"       42.89" ;"A" ;0 ;"" ;"" ;
103 ;0 ;1 ;50 ;5 ;0 ;4 ;42870 ;"       42.87" ;" " ;42960 ;"       42.96" ;"A" ;0 ;"" ;"" ;
103 ;0 ;1 ;50 ;1 ;0 ;5 ;49260 ;"       49.26" ;" " ;49350 ;"       49.35" ;"A" ;0 ;"" ;"" ;
103 ;0 ;2 ;0 ;0 ;0 ;0 ;1268780 ;"    21:08.78" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
103 ;0 ;2 ;50 ;5 ;0 ;1 ;36340 ;"       36.34" ;" " ;36430 ;"       36.43" ;"A" ;0 ;"" ;"" ;
