event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;1 ;0 ;100 ;
101 ;0 ;0 ;2 ;0 ;40 ;
101 ;0 ;0 ;3 ;0 ;92 ;
101 ;0 ;0 ;4 ;0 ;72 ;
101 ;0 ;0 ;5 ;0 ;46 ;
101 ;0 ;1 ;1 ;0 ;34 ;
101 ;0 ;1 ;2 ;0 ;139 ;
101 ;0 ;1 ;3 ;0 ;19 ;
101 ;0 ;1 ;4 ;0 ;39 ;
101 ;0 ;1 ;5 ;0 ;64 ;
101 ;0 ;1 ;6 ;0 ;47 ;
101 ;0 ;2 ;1 ;0 ;128 ;
101 ;0 ;2 ;2 ;0 ;93 ;
101 ;0 ;2 ;3 ;0 ;134 ;
101 ;0 ;2 ;4 ;0 ;24 ;
101 ;0 ;2 ;5 ;0 ;1 ;
101 ;0 ;2 ;6 ;0 ;91 ;
101 ;0 ;3 ;1 ;0 ;135 ;
101 ;0 ;3 ;2 ;0 ;11 ;
101 ;0 ;3 ;3 ;0 ;26 ;
101 ;0 ;3 ;4 ;0 ;61 ;
101 ;0 ;3 ;5 ;0 ;22 ;
101 ;0 ;3 ;6 ;0 ;45 ;
101 ;0 ;4 ;1 ;0 ;101 ;
101 ;0 ;4 ;2 ;0 ;7 ;
101 ;0 ;4 ;3 ;0 ;30 ;
101 ;0 ;4 ;4 ;0 ;105 ;
101 ;0 ;4 ;5 ;0 ;42 ;
101 ;0 ;4 ;6 ;0 ;99 ;
102 ;0 ;0 ;1 ;0 ;2 ;
102 ;0 ;0 ;2 ;0 ;27 ;
102 ;0 ;0 ;3 ;0 ;5 ;
102 ;0 ;0 ;4 ;0 ;68 ;
102 ;0 ;0 ;5 ;0 ;44 ;
102 ;0 ;1 ;1 ;0 ;143 ;
102 ;0 ;1 ;2 ;0 ;70 ;
102 ;0 ;1 ;3 ;0 ;113 ;
102 ;0 ;1 ;4 ;0 ;16 ;
102 ;0 ;1 ;5 ;0 ;138 ;
102 ;0 ;1 ;6 ;0 ;37 ;
103 ;0 ;0 ;2 ;0 ;33 ;
103 ;0 ;0 ;3 ;0 ;140 ;
103 ;0 ;0 ;4 ;0 ;31 ;
103 ;0 ;0 ;5 ;0 ;71 ;
103 ;0 ;1 ;1 ;0 ;14 ;
103 ;0 ;1 ;2 ;0 ;75 ;
103 ;0 ;1 ;3 ;0 ;59 ;
103 ;0 ;1 ;4 ;0 ;78 ;
