id;event;round ;heat
1 ;101 ;0 ;0 ;
2 ;101 ;0 ;1 ;
3 ;101 ;0 ;1 ;
4 ;101 ;0 ;1 ;
5 ;101 ;0 ;1 ;
6 ;101 ;0 ;1 ;
7 ;101 ;0 ;1 ;
8 ;101 ;0 ;1 ;
9 ;101 ;0 ;2 ;
10 ;101 ;0 ;3 ;
11 ;101 ;0 ;4 ;
12 ;102 ;0 ;0 ;
13 ;102 ;0 ;1 ;
14 ;103 ;0 ;0 ;
15 ;103 ;0 ;1 ;
16 ;103 ;0 ;2 ;
17 ;103 ;0 ;3 ;
18 ;103 ;0 ;4 ;
19 ;104 ;0 ;0 ;
20 ;104 ;0 ;1 ;
21 ;104 ;0 ;2 ;
22 ;105 ;0 ;0 ;
23 ;105 ;0 ;0 ;
24 ;105 ;0 ;1 ;
25 ;105 ;0 ;2 ;
26 ;106 ;0 ;0 ;
27 ;106 ;0 ;1 ;
28 ;107 ;0 ;0 ;
29 ;107 ;0 ;1 ;
30 ;108 ;0 ;0 ;
31 ;108 ;0 ;1 ;
32 ;108 ;0 ;2 ;
33 ;109 ;0 ;0 ;
34 ;109 ;0 ;1 ;
35 ;110 ;0 ;0 ;
36 ;111 ;0 ;0 ;
37 ;111 ;0 ;1 ;
38 ;111 ;0 ;2 ;
39 ;111 ;0 ;3 ;
40 ;111 ;0 ;4 ;
41 ;112 ;0 ;0 ;
42 ;112 ;0 ;1 ;
43 ;113 ;0 ;0 ;
44 ;113 ;0 ;1 ;
45 ;113 ;0 ;2 ;
46 ;113 ;0 ;3 ;
47 ;114 ;0 ;0 ;
48 ;114 ;0 ;1 ;
49 ;201 ;0 ;0 ;
50 ;201 ;0 ;1 ;
51 ;202 ;0 ;0 ;
52 ;203 ;0 ;0 ;
53 ;203 ;0 ;1 ;
54 ;203 ;0 ;2 ;
55 ;203 ;0 ;3 ;
56 ;203 ;0 ;4 ;
57 ;204 ;0 ;0 ;
58 ;204 ;0 ;1 ;
59 ;205 ;0 ;0 ;
60 ;205 ;0 ;1 ;
61 ;205 ;0 ;2 ;
62 ;206 ;0 ;0 ;
63 ;206 ;0 ;1 ;
64 ;206 ;0 ;2 ;
65 ;207 ;0 ;0 ;
66 ;207 ;0 ;1 ;
67 ;207 ;0 ;2 ;
68 ;208 ;0 ;0 ;
69 ;208 ;0 ;1 ;
70 ;209 ;0 ;0 ;
71 ;209 ;0 ;1 ;
72 ;210 ;0 ;0 ;
73 ;211 ;0 ;0 ;
74 ;211 ;0 ;1 ;
75 ;211 ;0 ;2 ;
76 ;212 ;0 ;0 ;
77 ;212 ;0 ;1 ;
78 ;213 ;0 ;0 ;
79 ;213 ;0 ;1 ;
80 ;214 ;0 ;0 ;
81 ;301 ;0 ;0 ;
82 ;301 ;0 ;1 ;
83 ;301 ;0 ;2 ;
84 ;301 ;0 ;3 ;
85 ;302 ;0 ;0 ;
86 ;302 ;0 ;1 ;
87 ;302 ;0 ;2 ;
88 ;303 ;0 ;0 ;
89 ;303 ;0 ;1 ;
90 ;304 ;0 ;0 ;
91 ;304 ;0 ;1 ;
92 ;305 ;0 ;0 ;
93 ;305 ;0 ;1 ;
94 ;305 ;0 ;2 ;
95 ;306 ;0 ;0 ;
96 ;306 ;0 ;1 ;
97 ;307 ;0 ;0 ;
98 ;308 ;0 ;0 ;
99 ;309 ;0 ;0 ;
100 ;310 ;0 ;0 ;
101 ;310 ;0 ;1 ;
102 ;311 ;0 ;0 ;
103 ;311 ;0 ;1 ;
104 ;311 ;0 ;2 ;
105 ;311 ;0 ;3 ;
106 ;312 ;0 ;0 ;
107 ;312 ;0 ;1 ;
108 ;312 ;0 ;2 ;
109 ;313 ;0 ;0 ;
110 ;313 ;0 ;1 ;
111 ;314 ;0 ;0 ;
112 ;314 ;0 ;1 ;
