event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;39486440 ;" 10:58:06.44" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;0 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;25 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;4 ;0 ;1 ;53630 ;"       53.63" ;" " ;53750 ;"       53.75" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;39613990 ;" 11:00:13.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;5 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;25 ;5 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;6 ;0 ;1 ;40700 ;"       40.70" ;" " ;40770 ;"       40.77" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;3 ;0 ;2 ;45870 ;"       45.87" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;4 ;0 ;3 ;48390 ;"       48.39" ;" " ;48520 ;"       48.52" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;2 ;0 ;4 ;58820 ;"       58.82" ;"E" ;58820 ;"       58.82" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;5 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;0 ;0 ;0 ;0 ;39728360 ;" 11:02:08.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;2 ;0 ;1 ;42210 ;"       42.21" ;" " ;42250 ;"       42.25" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;1 ;0 ;2 ;47680 ;"       47.68" ;" " ;47650 ;"       47.65" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;5 ;0 ;3 ;54910 ;"       54.91" ;" " ;55160 ;"       55.16" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;6 ;0 ;4 ;59240 ;"       59.24" ;" " ;59340 ;"       59.34" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;4 ;0 ;5 ;66180 ;"     1:06.18" ;" " ;66320 ;"     1:06.32" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;3 ;0 ;6 ;94120 ;"     1:34.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;0 ;0 ;0 ;39876720 ;" 11:04:36.72" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;5 ;0 ;1 ;52420 ;"       52.42" ;" " ;52590 ;"       52.59" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;1 ;0 ;2 ;53640 ;"       53.64" ;" " ;53820 ;"       53.82" ;"A" ;0 ;"" ;"" ;
