event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;54430120 ;" 15:07:10.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;1 ;28700 ;"       28.70" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;50 ;2 ;0 ;2 ;33630 ;"       33.63" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;50 ;6 ;0 ;3 ;35310 ;"       35.31" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;50 ;5 ;0 ;4 ;35560 ;"       35.56" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;50 ;3 ;0 ;5 ;38450 ;"       38.45" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;50 ;1 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;100 ;4 ;0 ;1 ;58660 ;"       58.66" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;100 ;6 ;0 ;2 ;70220 ;"     1:10.22" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;100 ;2 ;0 ;3 ;70670 ;"     1:10.67" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;100 ;5 ;0 ;4 ;74950 ;"     1:14.95" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;100 ;3 ;0 ;5 ;76050 ;"     1:16.05" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
1 ;0 ;0 ;150 ;4 ;0 ;1 ;87300 ;"     1:27.30" ;" " ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
