event; round;heat;lane;relais;idBib;
1 ;0 ;0 ;2 ;0 ;1 ;
1 ;0 ;0 ;3 ;0 ;3 ;
1 ;0 ;0 ;4 ;0 ;4 ;
1 ;0 ;0 ;5 ;0 ;8 ;
1 ;0 ;0 ;6 ;0 ;9 ;
1 ;0 ;1 ;2 ;0 ;12 ;
1 ;0 ;1 ;3 ;0 ;25 ;
1 ;0 ;1 ;4 ;0 ;39 ;
1 ;0 ;1 ;5 ;0 ;35 ;
1 ;0 ;1 ;6 ;0 ;20 ;
2 ;0 ;0 ;3 ;0 ;2 ;
2 ;0 ;0 ;4 ;0 ;10 ;
2 ;0 ;0 ;5 ;0 ;16 ;
2 ;0 ;0 ;6 ;0 ;19 ;
2 ;0 ;1 ;3 ;0 ;24 ;
2 ;0 ;1 ;4 ;0 ;36 ;
2 ;0 ;1 ;5 ;0 ;26 ;
2 ;0 ;1 ;6 ;0 ;22 ;
4 ;0 ;0 ;2 ;0 ;5 ;
4 ;0 ;0 ;3 ;0 ;7 ;
4 ;0 ;0 ;4 ;0 ;13 ;
4 ;0 ;0 ;5 ;0 ;17 ;
4 ;0 ;0 ;6 ;0 ;18 ;
4 ;0 ;1 ;2 ;0 ;23 ;
4 ;0 ;1 ;3 ;0 ;42 ;
4 ;0 ;1 ;4 ;0 ;44 ;
4 ;0 ;1 ;5 ;0 ;43 ;
4 ;0 ;1 ;6 ;0 ;27 ;
9 ;0 ;0 ;3 ;0 ;30 ;
9 ;0 ;0 ;4 ;0 ;41 ;
9 ;0 ;0 ;5 ;0 ;38 ;
9 ;0 ;0 ;6 ;0 ;21 ;
11 ;0 ;0 ;2 ;0 ;14 ;
11 ;0 ;0 ;3 ;0 ;31 ;
11 ;0 ;0 ;4 ;0 ;37 ;
11 ;0 ;0 ;5 ;0 ;33 ;
11 ;0 ;0 ;6 ;0 ;28 ;
11 ;0 ;0 ;7 ;0 ;11 ;
12 ;0 ;0 ;3 ;0 ;29 ;
12 ;0 ;0 ;4 ;0 ;34 ;
12 ;0 ;0 ;5 ;0 ;32 ;
12 ;0 ;0 ;6 ;0 ;15 ;
13 ;0 ;0 ;2 ;0 ;1 ;
13 ;0 ;0 ;3 ;0 ;3 ;
13 ;0 ;0 ;4 ;0 ;4 ;
13 ;0 ;0 ;5 ;0 ;8 ;
13 ;0 ;0 ;6 ;0 ;9 ;
13 ;0 ;1 ;2 ;0 ;12 ;
13 ;0 ;1 ;3 ;0 ;25 ;
13 ;0 ;1 ;4 ;0 ;39 ;
13 ;0 ;1 ;5 ;0 ;35 ;
13 ;0 ;1 ;6 ;0 ;20 ;
14 ;0 ;0 ;3 ;0 ;2 ;
14 ;0 ;0 ;4 ;0 ;10 ;
14 ;0 ;0 ;5 ;0 ;16 ;
14 ;0 ;0 ;6 ;0 ;19 ;
14 ;0 ;1 ;3 ;0 ;24 ;
14 ;0 ;1 ;4 ;0 ;36 ;
14 ;0 ;1 ;5 ;0 ;26 ;
14 ;0 ;1 ;6 ;0 ;22 ;
16 ;0 ;0 ;2 ;0 ;5 ;
16 ;0 ;0 ;3 ;0 ;7 ;
16 ;0 ;0 ;4 ;0 ;13 ;
16 ;0 ;0 ;5 ;0 ;17 ;
16 ;0 ;0 ;6 ;0 ;18 ;
16 ;0 ;1 ;2 ;0 ;23 ;
16 ;0 ;1 ;3 ;0 ;42 ;
16 ;0 ;1 ;4 ;0 ;44 ;
16 ;0 ;1 ;5 ;0 ;43 ;
16 ;0 ;1 ;6 ;0 ;27 ;
21 ;0 ;0 ;3 ;0 ;30 ;
21 ;0 ;0 ;4 ;0 ;41 ;
21 ;0 ;0 ;5 ;0 ;38 ;
21 ;0 ;0 ;6 ;0 ;21 ;
23 ;0 ;0 ;2 ;0 ;14 ;
23 ;0 ;0 ;3 ;0 ;31 ;
23 ;0 ;0 ;4 ;0 ;37 ;
23 ;0 ;0 ;5 ;0 ;33 ;
23 ;0 ;0 ;6 ;0 ;28 ;
23 ;0 ;0 ;7 ;0 ;11 ;
24 ;0 ;0 ;3 ;0 ;29 ;
24 ;0 ;0 ;4 ;0 ;34 ;
24 ;0 ;0 ;5 ;0 ;32 ;
24 ;0 ;0 ;6 ;0 ;15 ;
