event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
201 ;0 ;0 ;0 ;0 ;0 ;0 ;46942380 ;" 13:02:22.38" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
201 ;0 ;0 ;50 ;4 ;0 ;0 ;0 ;"" ;"" ;8140 ;"        8.14" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;50 ;1 ;0 ;0 ;0 ;"" ;"" ;8780 ;"        8.78" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;100 ;5 ;0 ;1 ;45240 ;"       45.24" ;" " ;45350 ;"       45.35" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;100 ;3 ;0 ;2 ;47260 ;"       47.26" ;" " ;47410 ;"       47.41" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;100 ;2 ;0 ;3 ;55450 ;"       55.45" ;" " ;55620 ;"       55.62" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;100 ;4 ;0 ;4 ;60220 ;"     1:00.22" ;" " ;60300 ;"     1:00.30" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;100 ;1 ;0 ;5 ;63540 ;"     1:03.54" ;" " ;63620 ;"     1:03.62" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;150 ;5 ;0 ;1 ;92420 ;"     1:32.42" ;" " ;92770 ;"     1:32.77" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;150 ;3 ;0 ;2 ;96270 ;"     1:36.27" ;" " ;96430 ;"     1:36.43" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;150 ;2 ;0 ;3 ;108420 ;"     1:48.42" ;" " ;108600 ;"     1:48.60" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;150 ;4 ;0 ;4 ;116100 ;"     1:56.10" ;" " ;116140 ;"     1:56.14" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;150 ;1 ;0 ;5 ;120760 ;"     2:00.76" ;" " ;120920 ;"     2:00.92" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;200 ;5 ;0 ;1 ;139660 ;"     2:19.66" ;" " ;139700 ;"     2:19.70" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;200 ;3 ;0 ;2 ;144720 ;"     2:24.72" ;" " ;144750 ;"     2:24.75" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;200 ;2 ;0 ;3 ;160870 ;"     2:40.87" ;" " ;161000 ;"     2:41.00" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;200 ;4 ;0 ;4 ;175320 ;"     2:55.32" ;" " ;173810 ;"     2:53.81" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;200 ;1 ;0 ;5 ;179060 ;"     2:59.06" ;" " ;178880 ;"     2:58.88" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;250 ;5 ;0 ;1 ;186170 ;"     3:06.17" ;" " ;186120 ;"     3:06.12" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;250 ;3 ;0 ;2 ;193230 ;"     3:13.23" ;" " ;193550 ;"     3:13.55" ;"A" ;0 ;"" ;"" ;
201 ;0 ;0 ;250 ;2 ;0 ;3 ;213040 ;"     3:33.04" ;" " ;213110 ;"     3:33.11" ;"A" ;0 ;"" ;"" ;
