event; round;heat;lane;relais;idBib;
401 ;0 ;0 ;2 ;0 ;141 ;
401 ;0 ;0 ;3 ;0 ;122 ;
401 ;0 ;0 ;4 ;0 ;1 ;
401 ;0 ;0 ;5 ;0 ;142 ;
401 ;0 ;1 ;2 ;0 ;18 ;
401 ;0 ;1 ;3 ;0 ;120 ;
401 ;0 ;1 ;4 ;0 ;136 ;
401 ;0 ;1 ;5 ;0 ;20 ;
402 ;0 ;0 ;2 ;0 ;150 ;
402 ;0 ;0 ;3 ;0 ;75 ;
402 ;0 ;0 ;4 ;0 ;67 ;
402 ;0 ;0 ;5 ;0 ;60 ;
402 ;0 ;1 ;1 ;0 ;23 ;
402 ;0 ;1 ;2 ;0 ;71 ;
402 ;0 ;1 ;3 ;0 ;119 ;
402 ;0 ;1 ;4 ;0 ;62 ;
402 ;0 ;1 ;5 ;0 ;2 ;
402 ;0 ;2 ;1 ;0 ;68 ;
402 ;0 ;2 ;2 ;0 ;36 ;
402 ;0 ;2 ;3 ;0 ;97 ;
402 ;0 ;2 ;4 ;0 ;131 ;
402 ;0 ;2 ;5 ;0 ;127 ;
402 ;0 ;2 ;6 ;0 ;78 ;
402 ;0 ;3 ;1 ;0 ;69 ;
402 ;0 ;3 ;2 ;0 ;81 ;
402 ;0 ;3 ;3 ;0 ;35 ;
402 ;0 ;3 ;4 ;0 ;83 ;
402 ;0 ;3 ;5 ;0 ;72 ;
402 ;0 ;3 ;6 ;0 ;74 ;
403 ;0 ;0 ;2 ;0 ;137 ;
403 ;0 ;0 ;3 ;0 ;84 ;
403 ;0 ;0 ;4 ;0 ;86 ;
403 ;0 ;1 ;2 ;0 ;110 ;
403 ;0 ;1 ;3 ;0 ;111 ;
403 ;0 ;1 ;4 ;0 ;37 ;
403 ;0 ;1 ;5 ;0 ;80 ;
403 ;0 ;2 ;1 ;0 ;28 ;
403 ;0 ;2 ;2 ;0 ;56 ;
403 ;0 ;2 ;3 ;0 ;52 ;
403 ;0 ;2 ;4 ;0 ;61 ;
403 ;0 ;2 ;5 ;0 ;41 ;
403 ;0 ;2 ;6 ;0 ;151 ;
404 ;0 ;0 ;1 ;0 ;144 ;
404 ;0 ;0 ;2 ;0 ;53 ;
