id;event;round ;heat
1 ;307 ;0 ;3 ;
2 ;307 ;0 ;4 ;
3 ;307 ;0 ;5 ;
4 ;307 ;0 ;6 ;
5 ;308 ;0 ;0 ;
6 ;308 ;0 ;0 ;
7 ;308 ;0 ;1 ;
8 ;308 ;0 ;2 ;
9 ;308 ;0 ;3 ;
10 ;309 ;0 ;0 ;
11 ;309 ;0 ;1 ;
12 ;309 ;0 ;2 ;
13 ;309 ;0 ;3 ;
14 ;310 ;0 ;0 ;
15 ;310 ;0 ;1 ;
16 ;310 ;0 ;2 ;
17 ;310 ;0 ;3 ;
18 ;310 ;0 ;3 ;
19 ;311 ;0 ;0 ;
20 ;311 ;0 ;0 ;
21 ;311 ;0 ;0 ;
22 ;313 ;0 ;0 ;
23 ;313 ;0 ;1 ;
24 ;313 ;0 ;2 ;
25 ;313 ;0 ;3 ;
26 ;313 ;0 ;3 ;
27 ;313 ;0 ;4 ;
28 ;314 ;0 ;0 ;
29 ;314 ;0 ;1 ;
30 ;314 ;0 ;2 ;
31 ;314 ;0 ;3 ;
32 ;315 ;0 ;0 ;
33 ;315 ;0 ;1 ;
34 ;316 ;0 ;0 ;
35 ;316 ;0 ;0 ;
36 ;316 ;0 ;1 ;
37 ;316 ;0 ;2 ;
38 ;401 ;0 ;0 ;
39 ;401 ;0 ;1 ;
40 ;402 ;0 ;0 ;
41 ;402 ;0 ;1 ;
42 ;402 ;0 ;2 ;
43 ;402 ;0 ;3 ;
44 ;403 ;0 ;0 ;
45 ;403 ;0 ;1 ;
46 ;403 ;0 ;2 ;
47 ;404 ;0 ;0 ;
48 ;404 ;0 ;1 ;
49 ;404 ;0 ;2 ;
50 ;404 ;0 ;3 ;
51 ;405 ;0 ;0 ;
52 ;405 ;0 ;1 ;
53 ;405 ;0 ;2 ;
54 ;405 ;0 ;3 ;
55 ;501 ;0 ;0 ;
56 ;501 ;0 ;1 ;
57 ;503 ;0 ;0 ;
58 ;503 ;0 ;1 ;
59 ;503 ;0 ;2 ;
60 ;503 ;0 ;3 ;
61 ;503 ;0 ;4 ;
62 ;503 ;0 ;5 ;
63 ;504 ;0 ;0 ;
64 ;504 ;0 ;1 ;
65 ;504 ;0 ;2 ;
66 ;505 ;0 ;0 ;
67 ;505 ;0 ;1 ;
68 ;505 ;0 ;2 ;
69 ;506 ;0 ;0 ;
70 ;506 ;0 ;1 ;
71 ;506 ;0 ;2 ;
72 ;507 ;0 ;0 ;
73 ;507 ;0 ;1 ;
74 ;507 ;0 ;2 ;
75 ;507 ;0 ;3 ;
76 ;507 ;0 ;4 ;
77 ;508 ;0 ;0 ;
78 ;508 ;0 ;1 ;
79 ;508 ;0 ;2 ;
80 ;509 ;0 ;0 ;
81 ;509 ;0 ;1 ;
82 ;509 ;0 ;2 ;
83 ;510 ;0 ;0 ;
84 ;510 ;0 ;1 ;
85 ;510 ;0 ;2 ;
86 ;510 ;0 ;3 ;
87 ;511 ;0 ;0 ;
88 ;513 ;0 ;0 ;
89 ;513 ;0 ;0 ;
90 ;513 ;0 ;0 ;
91 ;513 ;0 ;0 ;
92 ;513 ;0 ;1 ;
93 ;513 ;0 ;2 ;
94 ;513 ;0 ;3 ;
95 ;514 ;0 ;0 ;
96 ;514 ;0 ;0 ;
97 ;514 ;0 ;1 ;
98 ;514 ;0 ;2 ;
99 ;514 ;0 ;3 ;
100 ;515 ;0 ;0 ;
101 ;515 ;0 ;1 ;
102 ;515 ;0 ;2 ;
103 ;515 ;0 ;3 ;
104 ;516 ;0 ;0 ;
105 ;516 ;0 ;1 ;
106 ;516 ;0 ;2 ;
107 ;516 ;0 ;3 ;
