event;round;nbHeat;idLen;idStyle;abCat;date;time
601 ;0 ;1 ;3 ;0 ;"X" ;"10/23/11" ;"00:00" ;
602 ;0 ;1 ;3 ;0 ;"B" ;"10/23/11" ;"00:00" ;
603 ;0 ;5 ;1 ;4 ;"G" ;"10/23/11" ;"00:00" ;
604 ;0 ;4 ;1 ;4 ;"B" ;"10/23/11" ;"00:00" ;
605 ;0 ;4 ;2 ;4 ;"G" ;"10/23/11" ;"00:00" ;
606 ;0 ;3 ;2 ;4 ;"B" ;"10/23/11" ;"00:00" ;
701 ;0 ;2 ;0 ;2 ;"X" ;"10/23/11" ;"00:00" ;
702 ;0 ;1 ;0 ;2 ;"B" ;"10/23/11" ;"00:00" ;
703 ;0 ;3 ;1 ;3 ;"G" ;"10/23/11" ;"00:00" ;
704 ;0 ;2 ;1 ;3 ;"B" ;"10/23/11" ;"00:00" ;
705 ;0 ;4 ;1 ;1 ;"G" ;"10/23/11" ;"00:00" ;
706 ;0 ;3 ;1 ;1 ;"B" ;"10/23/11" ;"00:00" ;
707 ;0 ;6 ;0 ;0 ;"G" ;"10/23/11" ;"00:00" ;
708 ;0 ;4 ;0 ;0 ;"B" ;"10/23/11" ;"00:00" ;
709 ;0 ;4 ;0 ;2 ;"G" ;"10/23/11" ;"00:00" ;
710 ;0 ;4 ;0 ;2 ;"B" ;"10/23/11" ;"00:00" ;
711 ;0 ;1 ;2 ;3 ;"X" ;"10/23/11" ;"00:00" ;
713 ;0 ;4 ;2 ;2 ;"G" ;"10/23/11" ;"00:00" ;
714 ;0 ;3 ;2 ;2 ;"B" ;"10/23/11" ;"00:00" ;
715 ;0 ;2 ;2 ;3 ;"G" ;"10/23/11" ;"00:00" ;
716 ;0 ;3 ;2 ;3 ;"B" ;"10/23/11" ;"00:00" ;
801 ;0 ;2 ;0 ;0 ;"X" ;"10/23/11" ;"00:00" ;
803 ;0 ;4 ;1 ;1 ;"G" ;"10/23/11" ;"00:00" ;
804 ;0 ;3 ;1 ;1 ;"B" ;"10/23/11" ;"00:00" ;
805 ;0 ;3 ;1 ;3 ;"G" ;"10/23/11" ;"00:00" ;
806 ;0 ;4 ;1 ;3 ;"B" ;"10/23/11" ;"00:00" ;
807 ;0 ;5 ;0 ;2 ;"G" ;"10/23/11" ;"00:00" ;
808 ;0 ;4 ;0 ;2 ;"B" ;"10/23/11" ;"00:00" ;
809 ;0 ;4 ;0 ;0 ;"G" ;"10/23/11" ;"00:00" ;
810 ;0 ;1 ;0 ;0 ;"B" ;"10/23/11" ;"00:00" ;
810 ;0 ;0 ;0 ;0 ;"B" ;"10/23/11" ;"00:00" ;
811 ;0 ;1 ;2 ;1 ;"X" ;"10/23/11" ;"00:00" ;
813 ;0 ;2 ;2 ;3 ;"G" ;"10/23/11" ;"00:00" ;
814 ;0 ;2 ;2 ;3 ;"B" ;"10/23/11" ;"00:00" ;
815 ;0 ;3 ;2 ;1 ;"G" ;"10/23/11" ;"00:00" ;
816 ;0 ;3 ;2 ;1 ;"B" ;"10/23/11" ;"00:00" ;
901 ;0 ;2 ;3 ;4 ;"G" ;"10/23/11" ;"00:00" ;
902 ;0 ;2 ;3 ;4 ;"B" ;"10/23/11" ;"00:00" ;
903 ;0 ;3 ;3 ;4 ;"G" ;"10/23/11" ;"00:00" ;
904 ;0 ;3 ;3 ;4 ;"B" ;"10/23/11" ;"00:00" ;
999 ;0 ;1 ;0 ;0 ;"M" ;"10/23/11" ;"00:00" ;
