id;event;round ;heat
1 ;999 ;4 ;0 ;
2 ;999 ;4 ;0 ;
3 ;101 ;0 ;0 ;
4 ;101 ;0 ;0 ;
5 ;101 ;0 ;1 ;
6 ;101 ;0 ;2 ;
7 ;101 ;0 ;3 ;
8 ;101 ;0 ;4 ;
9 ;101 ;0 ;5 ;
10 ;101 ;0 ;6 ;
11 ;101 ;0 ;7 ;
12 ;101 ;0 ;8 ;
13 ;101 ;0 ;9 ;
14 ;101 ;0 ;10 ;
15 ;101 ;0 ;11 ;
16 ;101 ;0 ;12 ;
17 ;102 ;0 ;0 ;
18 ;102 ;0 ;1 ;
19 ;103 ;0 ;0 ;
20 ;103 ;0 ;1 ;
21 ;103 ;0 ;0 ;
22 ;103 ;0 ;2 ;
23 ;103 ;0 ;3 ;
24 ;103 ;0 ;4 ;
25 ;103 ;0 ;5 ;
26 ;103 ;0 ;6 ;
27 ;103 ;0 ;7 ;
28 ;103 ;0 ;8 ;
29 ;103 ;0 ;9 ;
30 ;103 ;0 ;10 ;
31 ;103 ;0 ;11 ;
32 ;103 ;0 ;12 ;
33 ;104 ;0 ;0 ;
34 ;104 ;0 ;1 ;
35 ;104 ;0 ;2 ;
36 ;104 ;0 ;3 ;
37 ;104 ;0 ;4 ;
38 ;104 ;0 ;5 ;
39 ;104 ;0 ;6 ;
40 ;104 ;0 ;7 ;
41 ;104 ;0 ;8 ;
42 ;104 ;0 ;9 ;
43 ;104 ;0 ;9 ;
44 ;104 ;0 ;10 ;
45 ;104 ;0 ;11 ;
46 ;104 ;0 ;12 ;
47 ;104 ;0 ;13 ;
48 ;104 ;0 ;14 ;
49 ;104 ;0 ;15 ;
50 ;104 ;0 ;16 ;
51 ;104 ;0 ;17 ;
52 ;104 ;0 ;18 ;
53 ;104 ;0 ;19 ;
54 ;105 ;0 ;0 ;
55 ;105 ;0 ;1 ;
56 ;105 ;0 ;2 ;
57 ;105 ;0 ;3 ;
58 ;105 ;0 ;4 ;
59 ;106 ;0 ;0 ;
60 ;106 ;0 ;1 ;
61 ;106 ;0 ;2 ;
62 ;106 ;0 ;3 ;
63 ;106 ;0 ;4 ;
64 ;106 ;0 ;5 ;
65 ;106 ;0 ;6 ;
66 ;106 ;0 ;7 ;
67 ;106 ;0 ;8 ;
68 ;106 ;0 ;9 ;
69 ;107 ;0 ;0 ;
70 ;107 ;0 ;1 ;
71 ;107 ;0 ;2 ;
72 ;107 ;0 ;3 ;
73 ;107 ;0 ;4 ;
74 ;107 ;0 ;5 ;
75 ;107 ;0 ;6 ;
76 ;107 ;0 ;7 ;
77 ;107 ;0 ;8 ;
78 ;107 ;0 ;9 ;
79 ;107 ;0 ;10 ;
80 ;107 ;0 ;10 ;
81 ;107 ;0 ;11 ;
82 ;107 ;0 ;12 ;
83 ;203 ;0 ;5 ;
84 ;203 ;0 ;6 ;
85 ;203 ;0 ;7 ;
86 ;203 ;0 ;8 ;
87 ;203 ;0 ;9 ;
88 ;204 ;0 ;0 ;
89 ;204 ;0 ;1 ;
90 ;204 ;0 ;2 ;
91 ;204 ;0 ;3 ;
92 ;204 ;0 ;4 ;
93 ;204 ;0 ;5 ;
94 ;204 ;0 ;6 ;
95 ;204 ;0 ;6 ;
96 ;204 ;0 ;7 ;
97 ;204 ;0 ;8 ;
98 ;204 ;0 ;9 ;
99 ;204 ;0 ;10 ;
100 ;204 ;0 ;11 ;
101 ;204 ;0 ;12 ;
102 ;204 ;0 ;13 ;
103 ;204 ;0 ;14 ;
104 ;204 ;0 ;17 ;
105 ;204 ;0 ;15 ;
106 ;204 ;0 ;16 ;
107 ;205 ;0 ;0 ;
108 ;205 ;0 ;1 ;
109 ;205 ;0 ;2 ;
110 ;205 ;0 ;3 ;
111 ;205 ;0 ;4 ;
112 ;205 ;0 ;5 ;
113 ;205 ;0 ;6 ;
114 ;206 ;0 ;0 ;
115 ;206 ;0 ;1 ;
116 ;206 ;0 ;2 ;
117 ;206 ;0 ;3 ;
118 ;207 ;0 ;0 ;
119 ;207 ;0 ;1 ;
120 ;207 ;0 ;2 ;
121 ;207 ;0 ;3 ;
122 ;207 ;0 ;3 ;
123 ;207 ;0 ;4 ;
124 ;207 ;0 ;5 ;
125 ;207 ;0 ;6 ;
