event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
301 ;0 ;0 ;0 ;0 ;0 ;0 ;39618720 ;" 11:00:18.72" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;0 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;25 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;6 ;0 ;1 ;42770 ;"       42.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;4 ;0 ;2 ;44620 ;"       44.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;1 ;0 ;3 ;45050 ;"       45.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;5 ;0 ;4 ;46450 ;"       46.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;2 ;0 ;5 ;47060 ;"       47.06" ;" " ;275290 ;"     4:35.29" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;75 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;6 ;0 ;1 ;95860 ;"     1:35.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;4 ;0 ;2 ;96360 ;"     1:36.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;5 ;0 ;3 ;97780 ;"     1:37.78" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;1 ;0 ;4 ;100580 ;"     1:40.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;2 ;0 ;5 ;102290 ;"     1:42.29" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;125 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;150 ;4 ;0 ;1 ;148310 ;"     2:28.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;150 ;6 ;0 ;2 ;149640 ;"     2:29.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;150 ;5 ;0 ;3 ;151600 ;"     2:31.60" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;150 ;1 ;0 ;4 ;155710 ;"     2:35.71" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;150 ;2 ;0 ;5 ;159310 ;"     2:39.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;150 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;175 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;4 ;0 ;1 ;194880 ;"     3:14.88" ;" " ;194820 ;"     3:14.82" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;6 ;0 ;2 ;199580 ;"     3:19.58" ;" " ;199490 ;"     3:19.49" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;5 ;0 ;3 ;199730 ;"     3:19.73" ;" " ;199850 ;"     3:19.85" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;1 ;0 ;4 ;207680 ;"     3:27.68" ;" " ;207710 ;"     3:27.71" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;2 ;0 ;5 ;210780 ;"     3:30.78" ;" " ;210950 ;"     3:30.95" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;200 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;0 ;0 ;0 ;0 ;39862670 ;" 11:04:22.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;4 ;0 ;1 ;40690 ;"       40.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;6 ;0 ;2 ;44230 ;"       44.23" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;3 ;0 ;3 ;44270 ;"       44.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;5 ;0 ;4 ;44750 ;"       44.75" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;2 ;0 ;5 ;48000 ;"       48.00" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;1 ;0 ;6 ;48890 ;"       48.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;4 ;0 ;1 ;92190 ;"     1:32.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;6 ;0 ;2 ;95050 ;"     1:35.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;3 ;0 ;3 ;97020 ;"     1:37.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;5 ;0 ;4 ;97790 ;"     1:37.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
