event; round;heat;lane;relais;idBib;
301 ;0 ;0 ;1 ;0 ;436 ;
301 ;0 ;0 ;2 ;0 ;369 ;
301 ;0 ;0 ;3 ;0 ;129 ;
301 ;0 ;0 ;4 ;0 ;184 ;
301 ;0 ;0 ;5 ;0 ;288 ;
301 ;0 ;0 ;6 ;0 ;408 ;
301 ;0 ;1 ;1 ;0 ;161 ;
301 ;0 ;1 ;2 ;0 ;282 ;
301 ;0 ;1 ;3 ;0 ;342 ;
301 ;0 ;1 ;4 ;0 ;338 ;
301 ;0 ;1 ;5 ;0 ;366 ;
301 ;0 ;1 ;6 ;0 ;84 ;
301 ;0 ;2 ;1 ;0 ;273 ;
301 ;0 ;2 ;2 ;0 ;182 ;
301 ;0 ;2 ;3 ;0 ;20 ;
301 ;0 ;2 ;4 ;0 ;383 ;
301 ;0 ;2 ;5 ;0 ;435 ;
301 ;0 ;2 ;6 ;0 ;254 ;
301 ;0 ;3 ;1 ;0 ;93 ;
301 ;0 ;3 ;2 ;0 ;221 ;
301 ;0 ;3 ;3 ;0 ;259 ;
301 ;0 ;3 ;4 ;0 ;261 ;
301 ;0 ;3 ;5 ;0 ;214 ;
301 ;0 ;3 ;6 ;0 ;290 ;
301 ;0 ;4 ;1 ;0 ;87 ;
301 ;0 ;4 ;2 ;0 ;86 ;
301 ;0 ;4 ;3 ;0 ;35 ;
301 ;0 ;4 ;4 ;0 ;157 ;
301 ;0 ;4 ;5 ;0 ;401 ;
301 ;0 ;4 ;6 ;0 ;407 ;
301 ;0 ;5 ;1 ;0 ;373 ;
301 ;0 ;5 ;2 ;0 ;233 ;
301 ;0 ;5 ;3 ;0 ;174 ;
301 ;0 ;5 ;4 ;0 ;181 ;
301 ;0 ;5 ;5 ;0 ;313 ;
301 ;0 ;5 ;6 ;0 ;316 ;
301 ;0 ;6 ;1 ;0 ;356 ;
301 ;0 ;6 ;2 ;0 ;232 ;
301 ;0 ;6 ;3 ;0 ;409 ;
301 ;0 ;6 ;4 ;0 ;355 ;
301 ;0 ;6 ;5 ;0 ;235 ;
301 ;0 ;6 ;6 ;0 ;85 ;
301 ;0 ;7 ;1 ;0 ;209 ;
301 ;0 ;7 ;2 ;0 ;283 ;
301 ;0 ;7 ;3 ;0 ;41 ;
301 ;0 ;7 ;4 ;0 ;2 ;
301 ;0 ;7 ;5 ;0 ;115 ;
301 ;0 ;7 ;6 ;0 ;47 ;
301 ;0 ;8 ;1 ;0 ;382 ;
301 ;0 ;8 ;2 ;0 ;400 ;
301 ;0 ;8 ;3 ;0 ;365 ;
301 ;0 ;8 ;4 ;0 ;77 ;
301 ;0 ;8 ;5 ;0 ;368 ;
301 ;0 ;8 ;6 ;0 ;24 ;
301 ;0 ;9 ;1 ;0 ;286 ;
301 ;0 ;9 ;2 ;0 ;152 ;
301 ;0 ;9 ;3 ;0 ;79 ;
301 ;0 ;9 ;4 ;0 ;70 ;
301 ;0 ;9 ;5 ;0 ;317 ;
301 ;0 ;9 ;6 ;0 ;199 ;
301 ;0 ;10 ;1 ;0 ;80 ;
301 ;0 ;10 ;2 ;0 ;225 ;
301 ;0 ;10 ;3 ;0 ;229 ;
301 ;0 ;10 ;4 ;0 ;78 ;
301 ;0 ;10 ;5 ;0 ;136 ;
301 ;0 ;10 ;6 ;0 ;3 ;
301 ;0 ;11 ;1 ;0 ;5 ;
301 ;0 ;11 ;2 ;0 ;212 ;
301 ;0 ;11 ;3 ;0 ;73 ;
301 ;0 ;11 ;4 ;0 ;201 ;
301 ;0 ;11 ;5 ;0 ;276 ;
301 ;0 ;11 ;6 ;0 ;172 ;
301 ;0 ;12 ;1 ;0 ;387 ;
301 ;0 ;12 ;2 ;0 ;396 ;
301 ;0 ;12 ;3 ;0 ;155 ;
301 ;0 ;12 ;4 ;0 ;377 ;
301 ;0 ;12 ;5 ;0 ;117 ;
301 ;0 ;12 ;6 ;0 ;195 ;
301 ;0 ;13 ;1 ;0 ;148 ;
301 ;0 ;13 ;2 ;0 ;100 ;
301 ;0 ;13 ;3 ;0 ;153 ;
301 ;0 ;13 ;4 ;0 ;327 ;
301 ;0 ;13 ;5 ;0 ;364 ;
301 ;0 ;13 ;6 ;0 ;376 ;
301 ;0 ;14 ;1 ;0 ;137 ;
301 ;0 ;14 ;2 ;0 ;217 ;
301 ;0 ;14 ;3 ;0 ;63 ;
301 ;0 ;14 ;4 ;0 ;250 ;
301 ;0 ;14 ;5 ;0 ;287 ;
