event; round;heat;lane;relais;idBib;
1 ;0 ;0 ;2 ;0 ;1 ;
1 ;0 ;0 ;3 ;0 ;3 ;
1 ;0 ;0 ;4 ;0 ;7 ;
1 ;0 ;0 ;5 ;0 ;9 ;
1 ;0 ;0 ;6 ;0 ;11 ;
1 ;0 ;0 ;7 ;0 ;13 ;
1 ;0 ;1 ;2 ;0 ;15 ;
1 ;0 ;1 ;3 ;0 ;17 ;
1 ;0 ;1 ;4 ;0 ;5 ;
1 ;0 ;1 ;5 ;0 ;19 ;
1 ;0 ;1 ;6 ;0 ;21 ;
1 ;0 ;1 ;7 ;0 ;25 ;
2 ;0 ;0 ;3 ;0 ;2 ;
2 ;0 ;0 ;4 ;0 ;22 ;
2 ;0 ;0 ;5 ;0 ;26 ;
2 ;0 ;0 ;6 ;0 ;4 ;
2 ;0 ;0 ;7 ;0 ;14 ;
2 ;0 ;1 ;2 ;0 ;10 ;
2 ;0 ;1 ;3 ;0 ;12 ;
2 ;0 ;1 ;4 ;0 ;8 ;
2 ;0 ;1 ;5 ;0 ;28 ;
2 ;0 ;1 ;6 ;0 ;20 ;
2 ;0 ;2 ;3 ;0 ;18 ;
2 ;0 ;2 ;4 ;0 ;27 ;
2 ;0 ;2 ;5 ;0 ;6 ;
2 ;0 ;2 ;6 ;0 ;24 ;
2 ;0 ;2 ;7 ;0 ;16 ;
3 ;0 ;0 ;3 ;0 ;33 ;
3 ;0 ;0 ;4 ;0 ;32 ;
3 ;0 ;0 ;5 ;0 ;38 ;
3 ;0 ;0 ;6 ;0 ;34 ;
3 ;0 ;1 ;3 ;0 ;36 ;
3 ;0 ;1 ;4 ;0 ;30 ;
3 ;0 ;1 ;5 ;0 ;37 ;
3 ;0 ;1 ;6 ;0 ;31 ;
3 ;0 ;2 ;2 ;0 ;39 ;
3 ;0 ;2 ;3 ;0 ;35 ;
3 ;0 ;2 ;4 ;0 ;29 ;
3 ;0 ;2 ;5 ;0 ;40 ;
3 ;0 ;2 ;6 ;0 ;41 ;
4 ;0 ;0 ;2 ;0 ;13 ;
4 ;0 ;0 ;3 ;0 ;7 ;
4 ;0 ;0 ;4 ;0 ;11 ;
4 ;0 ;0 ;5 ;0 ;3 ;
4 ;0 ;0 ;6 ;0 ;1 ;
4 ;0 ;0 ;7 ;0 ;9 ;
4 ;0 ;1 ;2 ;0 ;5 ;
4 ;0 ;1 ;3 ;0 ;19 ;
4 ;0 ;1 ;4 ;0 ;15 ;
4 ;0 ;1 ;5 ;0 ;25 ;
4 ;0 ;1 ;6 ;0 ;21 ;
4 ;0 ;1 ;7 ;0 ;17 ;
5 ;0 ;0 ;3 ;0 ;2 ;
5 ;0 ;0 ;4 ;0 ;10 ;
5 ;0 ;0 ;5 ;0 ;4 ;
5 ;0 ;0 ;6 ;0 ;26 ;
5 ;0 ;1 ;3 ;0 ;28 ;
5 ;0 ;1 ;4 ;0 ;16 ;
5 ;0 ;1 ;5 ;0 ;23 ;
5 ;0 ;1 ;6 ;0 ;12 ;
5 ;0 ;1 ;7 ;0 ;14 ;
5 ;0 ;2 ;2 ;0 ;8 ;
5 ;0 ;2 ;3 ;0 ;20 ;
5 ;0 ;2 ;4 ;0 ;27 ;
5 ;0 ;2 ;5 ;0 ;18 ;
5 ;0 ;2 ;6 ;0 ;6 ;
6 ;0 ;0 ;3 ;0 ;34 ;
6 ;0 ;0 ;4 ;0 ;38 ;
6 ;0 ;0 ;5 ;0 ;32 ;
6 ;0 ;0 ;6 ;0 ;33 ;
6 ;0 ;1 ;3 ;0 ;31 ;
6 ;0 ;1 ;4 ;0 ;37 ;
6 ;0 ;1 ;5 ;0 ;30 ;
6 ;0 ;1 ;6 ;0 ;36 ;
6 ;0 ;2 ;2 ;0 ;39 ;
6 ;0 ;2 ;3 ;0 ;29 ;
6 ;0 ;2 ;4 ;0 ;35 ;
6 ;0 ;2 ;5 ;0 ;40 ;
6 ;0 ;2 ;6 ;0 ;41 ;
