event;round;nbHeat;idLen;idStyle;abCat;date;time
401 ;0 ;6 ;2 ;4 ;"G" ;"03/11/12" ;"00:00" ;
404 ;0 ;4 ;2 ;4 ;"B" ;"03/11/12" ;"00:00" ;
407 ;0 ;6 ;2 ;0 ;"G" ;"03/11/12" ;"00:00" ;
409 ;0 ;8 ;2 ;0 ;"B" ;"03/11/12" ;"00:00" ;
412 ;0 ;5 ;2 ;1 ;"G" ;"03/11/12" ;"00:00" ;
415 ;0 ;4 ;2 ;1 ;"B" ;"03/11/12" ;"00:00" ;
418 ;0 ;9 ;0 ;2 ;"G" ;"03/11/12" ;"00:00" ;
423 ;0 ;7 ;0 ;2 ;"B" ;"03/11/12" ;"00:00" ;
429 ;0 ;3 ;1 ;3 ;"G" ;"03/11/12" ;"00:00" ;
432 ;0 ;3 ;1 ;3 ;"B" ;"03/11/12" ;"00:00" ;
440 ;0 ;1 ;2 ;4 ;"G" ;"03/11/12" ;"00:00" ;
441 ;0 ;1 ;2 ;4 ;"G" ;"03/11/12" ;"00:00" ;
442 ;0 ;1 ;2 ;4 ;"G" ;"03/11/12" ;"00:00" ;
443 ;0 ;1 ;2 ;4 ;"B" ;"03/11/12" ;"00:00" ;
444 ;0 ;1 ;2 ;4 ;"B" ;"03/11/12" ;"00:00" ;
445 ;0 ;1 ;2 ;4 ;"B" ;"03/11/12" ;"00:00" ;
446 ;0 ;1 ;2 ;0 ;"G" ;"03/11/12" ;"00:00" ;
447 ;0 ;1 ;2 ;0 ;"G" ;"03/11/12" ;"00:00" ;
448 ;0 ;1 ;2 ;0 ;"B" ;"03/11/12" ;"00:00" ;
449 ;0 ;1 ;2 ;0 ;"B" ;"03/11/12" ;"00:00" ;
450 ;0 ;1 ;2 ;0 ;"B" ;"03/11/12" ;"00:00" ;
451 ;0 ;14 ;1 ;4 ;"G" ;"03/11/12" ;"00:00" ;
456 ;0 ;12 ;1 ;4 ;"B" ;"03/11/12" ;"00:00" ;
462 ;0 ;3 ;2 ;2 ;"G" ;"03/11/12" ;"00:00" ;
464 ;0 ;4 ;2 ;2 ;"B" ;"03/11/12" ;"00:00" ;
467 ;0 ;16 ;0 ;0 ;"G" ;"03/11/12" ;"00:00" ;
472 ;0 ;14 ;0 ;0 ;"B" ;"03/11/12" ;"00:00" ;
478 ;0 ;5 ;1 ;1 ;"G" ;"03/11/12" ;"00:00" ;
481 ;0 ;6 ;1 ;1 ;"B" ;"03/11/12" ;"00:00" ;
