event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
401 ;0 ;0 ;0 ;0 ;0 ;0 ;34600600 ;"  9:36:40.60" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;6 ;0 ;1 ;44410 ;"       44.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;7 ;0 ;2 ;47430 ;"       47.43" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;5 ;0 ;3 ;49550 ;"       49.55" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;4 ;0 ;4 ;51860 ;"       51.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;3 ;0 ;5 ;53860 ;"       53.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;6 ;0 ;1 ;95270 ;"     1:35.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;7 ;0 ;2 ;96470 ;"     1:36.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;4 ;0 ;3 ;100590 ;"     1:40.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;5 ;0 ;4 ;102280 ;"     1:42.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;3 ;0 ;5 ;106800 ;"     1:46.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;150 ;7 ;0 ;1 ;152390 ;"     2:32.39" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;7 ;0 ;1 ;194400 ;"     3:14.40" ;" " ;194470 ;"     3:14.47" ;"A" ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;6 ;0 ;2 ;203900 ;"     3:23.90" ;"E" ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;4 ;0 ;3 ;207160 ;"     3:27.16" ;"E" ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;5 ;0 ;4 ;213400 ;"     3:33.40" ;"E" ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;3 ;0 ;5 ;215110 ;"     3:35.11" ;"E" ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;0 ;0 ;0 ;0 ;35042910 ;"  9:44:02.91" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;50 ;2 ;0 ;1 ;41680 ;"       41.68" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;50 ;4 ;0 ;2 ;42790 ;"       42.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;50 ;5 ;0 ;3 ;42890 ;"       42.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;50 ;7 ;0 ;4 ;43470 ;"       43.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;50 ;3 ;0 ;5 ;43500 ;"       43.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;50 ;6 ;0 ;6 ;45020 ;"       45.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;100 ;2 ;0 ;1 ;87830 ;"     1:27.83" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;100 ;5 ;0 ;2 ;89360 ;"     1:29.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;100 ;7 ;0 ;3 ;89860 ;"     1:29.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;100 ;6 ;0 ;4 ;90240 ;"     1:30.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;100 ;4 ;0 ;5 ;91860 ;"     1:31.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;100 ;3 ;0 ;6 ;98050 ;"     1:38.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;150 ;7 ;0 ;1 ;146870 ;"     2:26.87" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;150 ;4 ;0 ;2 ;147350 ;"     2:27.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;150 ;2 ;0 ;3 ;147790 ;"     2:27.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;150 ;5 ;0 ;4 ;149310 ;"     2:29.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;150 ;6 ;0 ;5 ;153210 ;"     2:33.21" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;150 ;3 ;0 ;6 ;158680 ;"     2:38.68" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;1 ;200 ;5 ;0 ;1 ;189050 ;"     3:09.05" ;" " ;189210 ;"     3:09.21" ;"A" ;0 ;"" ;"" ;
401 ;0 ;1 ;200 ;7 ;0 ;2 ;189490 ;"     3:09.49" ;" " ;189640 ;"     3:09.64" ;"A" ;0 ;"" ;"" ;
401 ;0 ;1 ;200 ;4 ;0 ;3 ;189820 ;"     3:09.82" ;" " ;189980 ;"     3:09.98" ;"A" ;0 ;"" ;"" ;
401 ;0 ;1 ;200 ;2 ;0 ;4 ;190430 ;"     3:10.43" ;" " ;190540 ;"     3:10.54" ;"A" ;0 ;"" ;"" ;
