event; round;heat;lane;relais;idBib;
401 ;0 ;0 ;3 ;0 ;211 ;
401 ;0 ;0 ;4 ;0 ;308 ;
401 ;0 ;0 ;5 ;0 ;295 ;
401 ;0 ;0 ;6 ;0 ;181 ;
401 ;0 ;0 ;7 ;0 ;298 ;
401 ;0 ;1 ;2 ;0 ;274 ;
401 ;0 ;1 ;3 ;0 ;271 ;
401 ;0 ;1 ;4 ;0 ;6 ;
401 ;0 ;1 ;5 ;0 ;102 ;
401 ;0 ;1 ;6 ;0 ;724 ;
401 ;0 ;1 ;7 ;0 ;83 ;
401 ;0 ;2 ;1 ;0 ;294 ;
401 ;0 ;2 ;2 ;0 ;187 ;
401 ;0 ;2 ;3 ;0 ;316 ;
401 ;0 ;2 ;4 ;0 ;136 ;
401 ;0 ;2 ;5 ;0 ;64 ;
401 ;0 ;2 ;6 ;0 ;32 ;
401 ;0 ;2 ;7 ;0 ;62 ;
401 ;0 ;2 ;8 ;0 ;223 ;
401 ;0 ;3 ;1 ;0 ;238 ;
401 ;0 ;3 ;2 ;0 ;273 ;
401 ;0 ;3 ;3 ;0 ;224 ;
401 ;0 ;3 ;4 ;0 ;212 ;
401 ;0 ;3 ;5 ;0 ;48 ;
401 ;0 ;3 ;6 ;0 ;267 ;
401 ;0 ;3 ;7 ;0 ;163 ;
401 ;0 ;3 ;8 ;0 ;41 ;
401 ;0 ;4 ;1 ;0 ;179 ;
401 ;0 ;4 ;2 ;0 ;284 ;
401 ;0 ;4 ;3 ;0 ;264 ;
401 ;0 ;4 ;4 ;0 ;8 ;
401 ;0 ;4 ;5 ;0 ;189 ;
401 ;0 ;4 ;6 ;0 ;193 ;
401 ;0 ;4 ;7 ;0 ;176 ;
401 ;0 ;4 ;8 ;0 ;2 ;
401 ;0 ;5 ;1 ;0 ;162 ;
401 ;0 ;5 ;2 ;0 ;190 ;
401 ;0 ;5 ;3 ;0 ;101 ;
401 ;0 ;5 ;4 ;0 ;38 ;
401 ;0 ;5 ;5 ;0 ;5 ;
401 ;0 ;5 ;6 ;0 ;27 ;
401 ;0 ;5 ;7 ;0 ;230 ;
401 ;0 ;5 ;8 ;0 ;22 ;
404 ;0 ;0 ;3 ;0 ;296 ;
404 ;0 ;0 ;4 ;0 ;103 ;
404 ;0 ;0 ;5 ;0 ;329 ;
404 ;0 ;0 ;6 ;0 ;214 ;
404 ;0 ;0 ;7 ;0 ;94 ;
404 ;0 ;1 ;2 ;0 ;245 ;
404 ;0 ;1 ;3 ;0 ;173 ;
404 ;0 ;1 ;4 ;0 ;1 ;
404 ;0 ;1 ;5 ;0 ;321 ;
404 ;0 ;1 ;6 ;0 ;111 ;
404 ;0 ;1 ;7 ;0 ;268 ;
404 ;0 ;2 ;1 ;0 ;255 ;
404 ;0 ;2 ;2 ;0 ;168 ;
404 ;0 ;2 ;3 ;0 ;722 ;
404 ;0 ;2 ;4 ;0 ;263 ;
404 ;0 ;2 ;5 ;0 ;174 ;
404 ;0 ;2 ;6 ;0 ;288 ;
404 ;0 ;2 ;7 ;0 ;203 ;
404 ;0 ;2 ;8 ;0 ;133 ;
404 ;0 ;3 ;1 ;0 ;210 ;
404 ;0 ;3 ;2 ;0 ;108 ;
404 ;0 ;3 ;3 ;0 ;196 ;
404 ;0 ;3 ;4 ;0 ;157 ;
404 ;0 ;3 ;5 ;0 ;63 ;
404 ;0 ;3 ;6 ;0 ;72 ;
404 ;0 ;3 ;7 ;0 ;17 ;
404 ;0 ;3 ;8 ;0 ;165 ;
407 ;0 ;0 ;3 ;0 ;60 ;
407 ;0 ;0 ;4 ;0 ;186 ;
407 ;0 ;0 ;5 ;0 ;270 ;
407 ;0 ;0 ;6 ;0 ;228 ;
407 ;0 ;0 ;7 ;0 ;161 ;
407 ;0 ;1 ;2 ;0 ;292 ;
407 ;0 ;1 ;3 ;0 ;66 ;
407 ;0 ;1 ;4 ;0 ;287 ;
407 ;0 ;1 ;5 ;0 ;217 ;
407 ;0 ;1 ;6 ;0 ;283 ;
407 ;0 ;1 ;7 ;0 ;191 ;
407 ;0 ;2 ;1 ;0 ;314 ;
407 ;0 ;2 ;2 ;0 ;257 ;
407 ;0 ;2 ;3 ;0 ;272 ;
407 ;0 ;2 ;4 ;0 ;160 ;
407 ;0 ;2 ;5 ;0 ;58 ;
407 ;0 ;2 ;6 ;0 ;220 ;
407 ;0 ;2 ;7 ;0 ;129 ;
407 ;0 ;2 ;8 ;0 ;145 ;
407 ;0 ;3 ;1 ;0 ;18 ;
407 ;0 ;3 ;2 ;0 ;175 ;
407 ;0 ;3 ;3 ;0 ;301 ;
407 ;0 ;3 ;4 ;0 ;192 ;
407 ;0 ;3 ;5 ;0 ;11 ;
407 ;0 ;3 ;6 ;0 ;159 ;
407 ;0 ;3 ;7 ;0 ;306 ;
407 ;0 ;3 ;8 ;0 ;262 ;
407 ;0 ;4 ;1 ;0 ;84 ;
407 ;0 ;4 ;2 ;0 ;39 ;
407 ;0 ;4 ;3 ;0 ;297 ;
407 ;0 ;4 ;4 ;0 ;122 ;
407 ;0 ;4 ;5 ;0 ;128 ;
407 ;0 ;4 ;6 ;0 ;276 ;
407 ;0 ;4 ;7 ;0 ;125 ;
407 ;0 ;4 ;8 ;0 ;13 ;
407 ;0 ;5 ;1 ;0 ;184 ;
407 ;0 ;5 ;2 ;0 ;166 ;
407 ;0 ;5 ;3 ;0 ;34 ;
407 ;0 ;5 ;4 ;0 ;85 ;
407 ;0 ;5 ;5 ;0 ;16 ;
407 ;0 ;5 ;6 ;0 ;36 ;
407 ;0 ;5 ;7 ;0 ;285 ;
407 ;0 ;5 ;8 ;0 ;71 ;
409 ;0 ;0 ;2 ;0 ;170 ;
409 ;0 ;0 ;3 ;0 ;150 ;
409 ;0 ;0 ;4 ;0 ;115 ;
409 ;0 ;0 ;5 ;0 ;77 ;
409 ;0 ;0 ;6 ;0 ;75 ;
409 ;0 ;0 ;7 ;0 ;49 ;
409 ;0 ;1 ;1 ;0 ;97 ;
409 ;0 ;1 ;2 ;0 ;331 ;
409 ;0 ;1 ;3 ;0 ;290 ;
409 ;0 ;1 ;4 ;0 ;253 ;
409 ;0 ;1 ;5 ;0 ;46 ;
409 ;0 ;1 ;6 ;0 ;137 ;
409 ;0 ;1 ;7 ;0 ;93 ;
409 ;0 ;2 ;1 ;0 ;200 ;
409 ;0 ;2 ;2 ;0 ;154 ;
409 ;0 ;2 ;3 ;0 ;110 ;
409 ;0 ;2 ;4 ;0 ;250 ;
409 ;0 ;2 ;5 ;0 ;143 ;
409 ;0 ;2 ;6 ;0 ;235 ;
409 ;0 ;2 ;7 ;0 ;107 ;
409 ;0 ;2 ;8 ;0 ;57 ;
409 ;0 ;3 ;1 ;0 ;81 ;
409 ;0 ;3 ;2 ;0 ;204 ;
409 ;0 ;3 ;3 ;0 ;4 ;
409 ;0 ;3 ;4 ;0 ;155 ;
