event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;49554780 ;" 13:45:54.78" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;4 ;0 ;1 ;49030 ;"       49.03" ;"E" ;49030 ;"       49.03" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;2 ;0 ;2 ;56640 ;"       56.64" ;" " ;56740 ;"       56.74" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;3 ;0 ;3 ;57910 ;"       57.91" ;" " ;57930 ;"       57.93" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;49670890 ;" 13:47:50.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;6 ;0 ;1 ;33770 ;"       33.77" ;" " ;33820 ;"       33.82" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;5 ;0 ;2 ;41270 ;"       41.27" ;" " ;41420 ;"       41.42" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;3 ;0 ;3 ;45070 ;"       45.07" ;" " ;45190 ;"       45.19" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;4 ;0 ;4 ;46700 ;"       46.70" ;" " ;46840 ;"       46.84" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;2 ;0 ;5 ;47930 ;"       47.93" ;" " ;47970 ;"       47.97" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;0 ;0 ;0 ;0 ;49907050 ;" 13:51:47.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;0 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;25 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;1 ;0 ;1 ;37330 ;"       37.33" ;" " ;37480 ;"       37.48" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;4 ;0 ;2 ;38400 ;"       38.40" ;" " ;38440 ;"       38.44" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;6 ;0 ;3 ;42320 ;"       42.32" ;"E" ;42320 ;"       42.32" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;2 ;0 ;4 ;52730 ;"       52.73" ;" " ;52770 ;"       52.77" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;5 ;0 ;5 ;52890 ;"       52.89" ;" " ;53080 ;"       53.08" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;0 ;0 ;0 ;50004500 ;" 13:53:24.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;6 ;0 ;1 ;39680 ;"       39.68" ;" " ;39670 ;"       39.67" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;3 ;0 ;2 ;39990 ;"       39.99" ;" " ;40160 ;"       40.16" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;2 ;0 ;3 ;40200 ;"       40.20" ;" " ;40320 ;"       40.32" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;4 ;0 ;4 ;41280 ;"       41.28" ;" " ;41370 ;"       41.37" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;1 ;0 ;5 ;44380 ;"       44.38" ;" " ;44400 ;"       44.40" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;5 ;0 ;6 ;56960 ;"       56.96" ;"E" ;56960 ;"       56.96" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;0 ;0 ;0 ;0 ;50123080 ;" 13:55:23.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;0 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;4 ;0 ;1 ;38440 ;"       38.44" ;" " ;38510 ;"       38.51" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;1 ;0 ;2 ;42630 ;"       42.63" ;" " ;42750 ;"       42.75" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;3 ;0 ;3 ;43620 ;"       43.62" ;" " ;43720 ;"       43.72" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;2 ;0 ;4 ;44610 ;"       44.61" ;"E" ;44610 ;"       44.61" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;5 ;0 ;5 ;52080 ;"       52.08" ;"E" ;52080 ;"       52.08" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;5 ;0 ;0 ;0 ;0 ;50287880 ;" 13:58:07.88" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;5 ;0 ;1 ;40910 ;"       40.91" ;" " ;41040 ;"       41.04" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;2 ;0 ;2 ;41720 ;"       41.72" ;" " ;41820 ;"       41.82" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;1 ;0 ;3 ;43750 ;"       43.75" ;" " ;43890 ;"       43.89" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;3 ;0 ;4 ;45110 ;"       45.11" ;" " ;45240 ;"       45.24" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;4 ;0 ;5 ;45520 ;"       45.52" ;" " ;45650 ;"       45.65" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;6 ;0 ;6 ;45910 ;"       45.91" ;" " ;45930 ;"       45.93" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;0 ;0 ;0 ;0 ;50372760 ;" 13:59:32.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;4 ;0 ;1 ;41570 ;"       41.57" ;" " ;41580 ;"       41.58" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;1 ;0 ;2 ;42050 ;"       42.05" ;" " ;42190 ;"       42.19" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;5 ;0 ;3 ;46600 ;"       46.60" ;"E" ;46600 ;"       46.60" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;2 ;0 ;4 ;47780 ;"       47.78" ;" " ;47950 ;"       47.95" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;6 ;0 ;5 ;48210 ;"       48.21" ;" " ;48350 ;"       48.35" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;3 ;0 ;6 ;48520 ;"       48.52" ;" " ;48440 ;"       48.44" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;0 ;0 ;0 ;0 ;50453710 ;" 14:00:53.71" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;7 ;0 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;7 ;25 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;4 ;0 ;1 ;39660 ;"       39.66" ;" " ;39710 ;"       39.71" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;5 ;0 ;2 ;39710 ;"       39.71" ;" " ;39830 ;"       39.83" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;3 ;0 ;3 ;45990 ;"       45.99" ;" " ;46120 ;"       46.12" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;1 ;0 ;4 ;46230 ;"       46.23" ;"E" ;46230 ;"       46.23" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;2 ;0 ;5 ;47840 ;"       47.84" ;" " ;48010 ;"       48.01" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;8 ;0 ;0 ;0 ;0 ;50530120 ;" 14:02:10.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;5 ;0 ;1 ;39660 ;"       39.66" ;" " ;39750 ;"       39.75" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;2 ;0 ;2 ;39840 ;"       39.84" ;" " ;39850 ;"       39.85" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;1 ;0 ;3 ;40620 ;"       40.62" ;" " ;40710 ;"       40.71" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;3 ;0 ;4 ;42070 ;"       42.07" ;" " ;42220 ;"       42.22" ;"A" ;0 ;"" ;"" ;
