event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;2 ;0 ;193 ;
101 ;0 ;0 ;3 ;0 ;211 ;
101 ;0 ;0 ;4 ;0 ;96 ;
101 ;0 ;1 ;2 ;0 ;105 ;
101 ;0 ;1 ;3 ;0 ;208 ;
101 ;0 ;1 ;4 ;0 ;146 ;
101 ;0 ;1 ;5 ;0 ;104 ;
101 ;0 ;1 ;6 ;0 ;239 ;
101 ;0 ;2 ;1 ;0 ;52 ;
101 ;0 ;2 ;2 ;0 ;125 ;
101 ;0 ;2 ;3 ;0 ;204 ;
101 ;0 ;2 ;4 ;0 ;56 ;
101 ;0 ;2 ;5 ;0 ;235 ;
101 ;0 ;2 ;6 ;0 ;181 ;
101 ;0 ;3 ;1 ;0 ;191 ;
101 ;0 ;3 ;2 ;0 ;128 ;
101 ;0 ;3 ;3 ;0 ;15 ;
101 ;0 ;3 ;4 ;0 ;222 ;
101 ;0 ;3 ;5 ;0 ;155 ;
101 ;0 ;3 ;6 ;0 ;47 ;
101 ;0 ;4 ;1 ;0 ;219 ;
101 ;0 ;4 ;2 ;0 ;215 ;
101 ;0 ;4 ;3 ;0 ;142 ;
101 ;0 ;4 ;4 ;0 ;61 ;
101 ;0 ;4 ;5 ;0 ;26 ;
101 ;0 ;4 ;6 ;0 ;25 ;
101 ;0 ;5 ;1 ;0 ;173 ;
101 ;0 ;5 ;2 ;0 ;109 ;
101 ;0 ;5 ;3 ;0 ;161 ;
101 ;0 ;5 ;4 ;0 ;17 ;
101 ;0 ;5 ;5 ;0 ;33 ;
101 ;0 ;5 ;6 ;0 ;133 ;
101 ;0 ;6 ;1 ;0 ;39 ;
101 ;0 ;6 ;2 ;0 ;110 ;
101 ;0 ;6 ;3 ;0 ;176 ;
101 ;0 ;6 ;4 ;0 ;119 ;
101 ;0 ;6 ;5 ;0 ;123 ;
101 ;0 ;6 ;6 ;0 ;205 ;
101 ;0 ;7 ;1 ;0 ;116 ;
101 ;0 ;7 ;2 ;0 ;136 ;
101 ;0 ;7 ;3 ;0 ;158 ;
101 ;0 ;7 ;4 ;0 ;118 ;
101 ;0 ;7 ;5 ;0 ;174 ;
101 ;0 ;8 ;1 ;0 ;23 ;
101 ;0 ;8 ;2 ;0 ;45 ;
101 ;0 ;8 ;3 ;0 ;152 ;
101 ;0 ;8 ;4 ;0 ;159 ;
101 ;0 ;8 ;5 ;0 ;186 ;
101 ;0 ;8 ;6 ;0 ;66 ;
101 ;0 ;9 ;1 ;0 ;196 ;
101 ;0 ;9 ;2 ;0 ;28 ;
101 ;0 ;9 ;3 ;0 ;107 ;
