id;event;round ;heat
1 ;101 ;0 ;0 ;
2 ;101 ;0 ;1 ;
3 ;101 ;0 ;2 ;
4 ;101 ;0 ;3 ;
5 ;101 ;0 ;4 ;
6 ;101 ;0 ;5 ;
7 ;101 ;0 ;6 ;
8 ;101 ;0 ;7 ;
9 ;101 ;0 ;8 ;
10 ;101 ;0 ;9 ;
11 ;101 ;0 ;10 ;
12 ;101 ;0 ;11 ;
13 ;101 ;0 ;12 ;
14 ;101 ;0 ;13 ;
15 ;101 ;0 ;14 ;
16 ;101 ;0 ;15 ;
17 ;103 ;0 ;0 ;
18 ;103 ;0 ;1 ;
19 ;103 ;0 ;2 ;
20 ;103 ;0 ;3 ;
21 ;103 ;0 ;4 ;
22 ;103 ;0 ;5 ;
23 ;103 ;0 ;6 ;
24 ;103 ;0 ;7 ;
25 ;103 ;0 ;8 ;
26 ;103 ;0 ;9 ;
27 ;105 ;0 ;0 ;
28 ;105 ;0 ;1 ;
29 ;105 ;0 ;2 ;
30 ;105 ;0 ;3 ;
31 ;105 ;0 ;4 ;
32 ;105 ;0 ;5 ;
33 ;105 ;0 ;6 ;
34 ;105 ;0 ;7 ;
35 ;105 ;0 ;8 ;
36 ;105 ;0 ;9 ;
37 ;105 ;0 ;10 ;
38 ;105 ;0 ;11 ;
39 ;105 ;0 ;12 ;
40 ;105 ;0 ;13 ;
41 ;105 ;0 ;14 ;
42 ;107 ;0 ;0 ;
43 ;107 ;0 ;1 ;
44 ;107 ;0 ;2 ;
45 ;107 ;0 ;3 ;
46 ;107 ;0 ;4 ;
47 ;107 ;0 ;5 ;
48 ;107 ;0 ;6 ;
49 ;107 ;0 ;7 ;
50 ;109 ;0 ;0 ;
51 ;109 ;0 ;1 ;
52 ;109 ;0 ;2 ;
53 ;109 ;0 ;3 ;
54 ;109 ;0 ;4 ;
55 ;109 ;0 ;5 ;
56 ;109 ;0 ;6 ;
57 ;109 ;0 ;7 ;
58 ;109 ;0 ;8 ;
59 ;109 ;0 ;9 ;
60 ;109 ;0 ;10 ;
61 ;109 ;0 ;11 ;
62 ;109 ;0 ;12 ;
63 ;109 ;0 ;13 ;
64 ;109 ;0 ;14 ;
65 ;109 ;0 ;15 ;
66 ;109 ;0 ;15 ;
67 ;111 ;0 ;0 ;
68 ;111 ;0 ;1 ;
69 ;111 ;0 ;2 ;
70 ;111 ;0 ;3 ;
71 ;111 ;0 ;4 ;
72 ;111 ;0 ;5 ;
73 ;111 ;0 ;6 ;
74 ;111 ;0 ;7 ;
75 ;111 ;0 ;8 ;
76 ;111 ;0 ;9 ;
77 ;113 ;0 ;0 ;
78 ;113 ;0 ;1 ;
79 ;113 ;0 ;2 ;
80 ;113 ;0 ;3 ;
81 ;113 ;0 ;4 ;
82 ;113 ;0 ;5 ;
83 ;113 ;0 ;6 ;
84 ;113 ;0 ;7 ;
85 ;113 ;0 ;8 ;
86 ;113 ;0 ;9 ;
87 ;113 ;0 ;10 ;
88 ;113 ;0 ;11 ;
89 ;115 ;0 ;0 ;
90 ;115 ;0 ;1 ;
91 ;115 ;0 ;2 ;
92 ;115 ;0 ;3 ;
93 ;115 ;0 ;4 ;
94 ;115 ;0 ;5 ;
95 ;115 ;0 ;6 ;
96 ;115 ;0 ;7 ;
97 ;115 ;0 ;8 ;
98 ;201 ;0 ;0 ;
99 ;201 ;0 ;1 ;
100 ;201 ;0 ;2 ;
101 ;201 ;0 ;3 ;
102 ;201 ;0 ;4 ;
103 ;201 ;0 ;5 ;
104 ;201 ;0 ;6 ;
105 ;201 ;0 ;7 ;
106 ;204 ;0 ;0 ;
107 ;204 ;0 ;1 ;
108 ;204 ;0 ;2 ;
109 ;204 ;0 ;2 ;
110 ;204 ;0 ;3 ;
111 ;204 ;0 ;4 ;
112 ;207 ;0 ;0 ;
113 ;207 ;0 ;1 ;
114 ;207 ;0 ;2 ;
115 ;207 ;0 ;3 ;
116 ;207 ;0 ;4 ;
117 ;207 ;0 ;5 ;
118 ;207 ;0 ;6 ;
119 ;207 ;0 ;7 ;
120 ;210 ;0 ;0 ;
121 ;210 ;0 ;1 ;
122 ;210 ;0 ;2 ;
123 ;210 ;0 ;3 ;
124 ;210 ;0 ;4 ;
125 ;213 ;0 ;0 ;
126 ;213 ;0 ;1 ;
127 ;213 ;0 ;2 ;
128 ;213 ;0 ;3 ;
129 ;213 ;0 ;4 ;
130 ;213 ;0 ;5 ;
131 ;213 ;0 ;6 ;
132 ;213 ;0 ;7 ;
133 ;216 ;0 ;0 ;
134 ;216 ;0 ;0 ;
135 ;216 ;0 ;1 ;
136 ;216 ;0 ;2 ;
137 ;216 ;0 ;3 ;
138 ;216 ;0 ;4 ;
139 ;219 ;0 ;0 ;
140 ;219 ;0 ;1 ;
141 ;219 ;0 ;2 ;
142 ;219 ;0 ;3 ;
143 ;219 ;0 ;4 ;
144 ;219 ;0 ;5 ;
145 ;219 ;0 ;6 ;
146 ;222 ;0 ;0 ;
147 ;222 ;0 ;1 ;
148 ;222 ;0 ;2 ;
149 ;222 ;0 ;2 ;
150 ;222 ;0 ;3 ;
151 ;222 ;0 ;4 ;
152 ;999 ;4 ;0 ;
