event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
999 ;4 ;0 ;0 ;0 ;0 ;0 ;49506280 ;" 13:45:06.28" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;3 ;0 ;2 ;21800 ;"       21.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;4 ;0 ;4 ;26520 ;"       26.52" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;5 ;0 ;6 ;35690 ;"       35.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;0 ;0 ;0 ;50806700 ;" 14:06:46.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;8 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;25 ;8 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;1 ;40960 ;"       40.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;2 ;41780 ;"       41.78" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;3 ;42330 ;"       42.33" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;4 ;44340 ;"       44.34" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;5 ;47470 ;"       47.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;6 ;50020 ;"       50.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;8 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;75 ;8 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;1 ;72150 ;"     1:12.15" ;" " ;72220 ;"     1:12.22" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;2 ;72380 ;"     1:12.38" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;3 ;73970 ;"     1:13.97" ;" " ;74030 ;"     1:14.03" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;6 ;0 ;4 ;82500 ;"     1:22.50" ;" " ;82610 ;"     1:22.61" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;7 ;0 ;5 ;85740 ;"     1:25.74" ;"E" ;85740 ;"     1:25.74" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;6 ;89280 ;"     1:29.28" ;"E" ;89280 ;"     1:29.28" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;1 ;0 ;7 ;93170 ;"     1:33.17" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;8 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;0 ;0 ;0 ;0 ;50950370 ;" 14:09:10.37" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;0 ;5 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;25 ;5 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;4 ;0 ;1 ;40320 ;"       40.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;3 ;0 ;2 ;42370 ;"       42.37" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;2 ;0 ;3 ;45540 ;"       45.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;7 ;0 ;4 ;47440 ;"       47.44" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;1 ;0 ;5 ;48720 ;"       48.72" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;8 ;0 ;6 ;57920 ;"       57.92" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;5 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;75 ;5 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;4 ;0 ;1 ;73320 ;"     1:13.32" ;" " ;73420 ;"     1:13.42" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;7 ;0 ;2 ;76560 ;"     1:16.56" ;" " ;76530 ;"     1:16.53" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;3 ;0 ;3 ;77000 ;"     1:17.00" ;" " ;77050 ;"     1:17.05" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;2 ;0 ;4 ;80770 ;"     1:20.77" ;" " ;80800 ;"     1:20.80" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;6 ;0 ;5 ;81840 ;"     1:21.84" ;" " ;82030 ;"     1:22.03" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;1 ;0 ;6 ;85120 ;"     1:25.12" ;" " ;85330 ;"     1:25.33" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;8 ;0 ;7 ;96850 ;"     1:36.85" ;" " ;96570 ;"     1:36.57" ;"A" ;0 ;"" ;"" ;
