event; round;heat;lane;relais;idBib;
1 ;0 ;0 ;1 ;0 ;1 ;
1 ;0 ;0 ;2 ;0 ;20 ;
1 ;0 ;0 ;3 ;0 ;32 ;
1 ;0 ;0 ;4 ;0 ;43 ;
1 ;0 ;0 ;5 ;0 ;21 ;
1 ;0 ;0 ;6 ;0 ;65 ;
1 ;0 ;0 ;7 ;0 ;33 ;
1 ;0 ;0 ;8 ;0 ;2 ;
1 ;0 ;1 ;1 ;0 ;66 ;
1 ;0 ;1 ;2 ;0 ;3 ;
1 ;0 ;1 ;3 ;0 ;81 ;
1 ;0 ;1 ;4 ;0 ;87 ;
1 ;0 ;1 ;5 ;0 ;88 ;
1 ;0 ;1 ;6 ;0 ;67 ;
1 ;0 ;1 ;7 ;0 ;34 ;
1 ;0 ;1 ;8 ;0 ;68 ;
1 ;0 ;2 ;1 ;0 ;22 ;
1 ;0 ;2 ;2 ;0 ;46 ;
1 ;0 ;2 ;3 ;0 ;23 ;
1 ;0 ;2 ;4 ;0 ;4 ;
1 ;0 ;2 ;5 ;0 ;47 ;
1 ;0 ;2 ;6 ;0 ;48 ;
1 ;0 ;2 ;7 ;0 ;82 ;
1 ;0 ;2 ;8 ;0 ;35 ;
2 ;0 ;0 ;1 ;0 ;5 ;
2 ;0 ;0 ;2 ;0 ;69 ;
2 ;0 ;0 ;3 ;0 ;49 ;
2 ;0 ;0 ;4 ;0 ;83 ;
2 ;0 ;0 ;5 ;0 ;24 ;
2 ;0 ;0 ;6 ;0 ;25 ;
2 ;0 ;0 ;7 ;0 ;50 ;
2 ;0 ;0 ;8 ;0 ;70 ;
2 ;0 ;1 ;1 ;0 ;51 ;
2 ;0 ;1 ;2 ;0 ;6 ;
2 ;0 ;1 ;3 ;0 ;36 ;
2 ;0 ;1 ;4 ;0 ;52 ;
2 ;0 ;1 ;5 ;0 ;53 ;
2 ;0 ;1 ;6 ;0 ;7 ;
2 ;0 ;1 ;7 ;0 ;54 ;
2 ;0 ;1 ;8 ;0 ;37 ;
2 ;0 ;2 ;1 ;0 ;26 ;
2 ;0 ;2 ;2 ;0 ;27 ;
2 ;0 ;2 ;3 ;0 ;55 ;
2 ;0 ;2 ;4 ;0 ;84 ;
2 ;0 ;2 ;5 ;0 ;56 ;
