event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;46309430 ;" 12:51:49.43" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;1 ;50850 ;"       50.85" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;2 ;54870 ;"       54.87" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;1 ;122770 ;"     2:02.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;2 ;123040 ;"     2:03.04" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;150 ;3 ;0 ;1 ;183060 ;"     3:03.06" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;150 ;2 ;0 ;2 ;189540 ;"     3:09.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;150 ;4 ;0 ;3 ;195720 ;"     3:15.72" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;3 ;0 ;1 ;247310 ;"     4:07.31" ;"E" ;247310 ;"     4:07.31" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;2 ;0 ;2 ;259360 ;"     4:19.36" ;" " ;259530 ;"     4:19.53" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;4 ;0 ;3 ;262610 ;"     4:22.61" ;" " ;262640 ;"     4:22.64" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;0 ;0 ;0 ;0 ;46646690 ;" 12:57:26.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;3 ;0 ;1 ;47350 ;"       47.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;5 ;0 ;2 ;47380 ;"       47.38" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;4 ;0 ;3 ;54260 ;"       54.26" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;2 ;0 ;4 ;57400 ;"       57.40" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;5 ;0 ;1 ;102670 ;"     1:42.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;3 ;0 ;2 ;104420 ;"     1:44.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;4 ;0 ;3 ;123590 ;"     2:03.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;2 ;0 ;4 ;124580 ;"     2:04.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;150 ;5 ;0 ;1 ;165360 ;"     2:45.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;150 ;3 ;0 ;2 ;166600 ;"     2:46.60" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;150 ;4 ;0 ;3 ;193080 ;"     3:13.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;150 ;2 ;0 ;4 ;195050 ;"     3:15.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;200 ;3 ;0 ;1 ;223860 ;"     3:43.86" ;"E" ;223860 ;"     3:43.86" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;200 ;5 ;0 ;2 ;226340 ;"     3:46.34" ;" " ;226530 ;"     3:46.53" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;200 ;4 ;0 ;3 ;261810 ;"     4:21.81" ;" " ;261940 ;"     4:21.94" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;200 ;2 ;0 ;4 ;262680 ;"     4:22.68" ;" " ;262660 ;"     4:22.66" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;0 ;0 ;0 ;0 ;46961190 ;" 13:02:41.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;6 ;0 ;1 ;38140 ;"       38.14" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
