event; round;heat;lane;relais;idBib;
1 ;0 ;0 ;2 ;0 ;18 ;
1 ;0 ;0 ;3 ;0 ;2 ;
1 ;0 ;0 ;4 ;0 ;50 ;
1 ;0 ;1 ;2 ;0 ;37 ;
1 ;0 ;1 ;3 ;0 ;14 ;
1 ;0 ;1 ;4 ;0 ;51 ;
1 ;0 ;1 ;5 ;0 ;48 ;
1 ;0 ;2 ;1 ;0 ;17 ;
1 ;0 ;2 ;2 ;0 ;16 ;
1 ;0 ;2 ;3 ;0 ;19 ;
1 ;0 ;2 ;4 ;0 ;49 ;
1 ;0 ;2 ;5 ;0 ;43 ;
1 ;0 ;2 ;6 ;0 ;54 ;
1 ;0 ;3 ;1 ;0 ;47 ;
1 ;0 ;3 ;2 ;0 ;42 ;
1 ;0 ;3 ;3 ;0 ;39 ;
1 ;0 ;3 ;4 ;0 ;13 ;
1 ;0 ;3 ;5 ;0 ;46 ;
1 ;0 ;3 ;6 ;0 ;59 ;
1 ;0 ;4 ;1 ;0 ;69 ;
1 ;0 ;4 ;2 ;0 ;45 ;
1 ;0 ;4 ;3 ;0 ;32 ;
1 ;0 ;4 ;4 ;0 ;34 ;
1 ;0 ;4 ;5 ;0 ;27 ;
1 ;0 ;4 ;6 ;0 ;67 ;
1 ;0 ;5 ;1 ;0 ;3 ;
1 ;0 ;5 ;2 ;0 ;36 ;
1 ;0 ;5 ;3 ;0 ;55 ;
1 ;0 ;5 ;4 ;0 ;35 ;
1 ;0 ;5 ;5 ;0 ;24 ;
1 ;0 ;5 ;6 ;0 ;25 ;
1 ;0 ;6 ;1 ;0 ;12 ;
1 ;0 ;6 ;2 ;0 ;58 ;
1 ;0 ;6 ;3 ;0 ;30 ;
1 ;0 ;6 ;4 ;0 ;11 ;
1 ;0 ;6 ;5 ;0 ;33 ;
1 ;0 ;6 ;6 ;0 ;5 ;
1 ;0 ;7 ;1 ;0 ;4 ;
1 ;0 ;7 ;2 ;0 ;68 ;
1 ;0 ;7 ;3 ;0 ;6 ;
1 ;0 ;7 ;4 ;0 ;41 ;
1 ;0 ;7 ;5 ;0 ;20 ;
1 ;0 ;7 ;6 ;0 ;56 ;
3 ;0 ;0 ;2 ;0 ;52 ;
3 ;0 ;0 ;3 ;0 ;22 ;
3 ;0 ;0 ;4 ;0 ;23 ;
3 ;0 ;0 ;5 ;0 ;9 ;
3 ;0 ;1 ;2 ;0 ;29 ;
3 ;0 ;1 ;3 ;0 ;15 ;
3 ;0 ;1 ;4 ;0 ;1 ;
3 ;0 ;1 ;5 ;0 ;60 ;
3 ;0 ;2 ;1 ;0 ;21 ;
3 ;0 ;2 ;2 ;0 ;53 ;
3 ;0 ;2 ;3 ;0 ;57 ;
3 ;0 ;2 ;4 ;0 ;26 ;
3 ;0 ;2 ;5 ;0 ;64 ;
3 ;0 ;2 ;6 ;0 ;38 ;
3 ;0 ;3 ;1 ;0 ;65 ;
3 ;0 ;3 ;2 ;0 ;8 ;
3 ;0 ;3 ;3 ;0 ;28 ;
3 ;0 ;3 ;4 ;0 ;10 ;
3 ;0 ;3 ;5 ;0 ;66 ;
3 ;0 ;3 ;6 ;0 ;63 ;
5 ;0 ;0 ;2 ;0 ;18 ;
5 ;0 ;0 ;3 ;0 ;2 ;
5 ;0 ;0 ;4 ;0 ;50 ;
5 ;0 ;0 ;5 ;0 ;37 ;
5 ;0 ;1 ;2 ;0 ;14 ;
5 ;0 ;1 ;3 ;0 ;51 ;
5 ;0 ;1 ;4 ;0 ;48 ;
5 ;0 ;1 ;5 ;0 ;52 ;
5 ;0 ;2 ;1 ;0 ;36 ;
5 ;0 ;2 ;2 ;0 ;45 ;
5 ;0 ;2 ;3 ;0 ;34 ;
5 ;0 ;2 ;4 ;0 ;3 ;
5 ;0 ;2 ;5 ;0 ;17 ;
5 ;0 ;2 ;6 ;0 ;69 ;
7 ;0 ;0 ;1 ;0 ;16 ;
7 ;0 ;0 ;2 ;0 ;59 ;
7 ;0 ;0 ;3 ;0 ;32 ;
7 ;0 ;0 ;4 ;0 ;19 ;
7 ;0 ;0 ;5 ;0 ;49 ;
7 ;0 ;0 ;6 ;0 ;43 ;
7 ;0 ;1 ;1 ;0 ;54 ;
7 ;0 ;1 ;2 ;0 ;46 ;
7 ;0 ;1 ;3 ;0 ;47 ;
7 ;0 ;1 ;4 ;0 ;12 ;
7 ;0 ;1 ;5 ;0 ;13 ;
7 ;0 ;1 ;6 ;0 ;27 ;
7 ;0 ;2 ;1 ;0 ;67 ;
7 ;0 ;2 ;2 ;0 ;55 ;
7 ;0 ;2 ;3 ;0 ;35 ;
7 ;0 ;2 ;4 ;0 ;33 ;
7 ;0 ;2 ;5 ;0 ;58 ;
7 ;0 ;2 ;6 ;0 ;25 ;
7 ;0 ;3 ;1 ;0 ;42 ;
7 ;0 ;3 ;2 ;0 ;30 ;
7 ;0 ;3 ;3 ;0 ;11 ;
7 ;0 ;3 ;4 ;0 ;20 ;
7 ;0 ;3 ;5 ;0 ;31 ;
7 ;0 ;3 ;6 ;0 ;62 ;
7 ;0 ;4 ;1 ;0 ;61 ;
7 ;0 ;4 ;2 ;0 ;68 ;
7 ;0 ;4 ;3 ;0 ;44 ;
7 ;0 ;4 ;4 ;0 ;4 ;
7 ;0 ;4 ;5 ;0 ;7 ;
7 ;0 ;4 ;6 ;0 ;56 ;
8 ;0 ;0 ;1 ;0 ;21 ;
8 ;0 ;0 ;2 ;0 ;60 ;
8 ;0 ;0 ;3 ;0 ;53 ;
8 ;0 ;0 ;4 ;0 ;23 ;
8 ;0 ;0 ;5 ;0 ;9 ;
8 ;0 ;1 ;1 ;0 ;57 ;
8 ;0 ;1 ;2 ;0 ;29 ;
8 ;0 ;1 ;3 ;0 ;64 ;
8 ;0 ;1 ;4 ;0 ;15 ;
8 ;0 ;1 ;5 ;0 ;28 ;
8 ;0 ;1 ;6 ;0 ;38 ;
8 ;0 ;2 ;1 ;0 ;26 ;
8 ;0 ;2 ;2 ;0 ;65 ;
8 ;0 ;2 ;3 ;0 ;40 ;
8 ;0 ;2 ;4 ;0 ;66 ;
8 ;0 ;2 ;5 ;0 ;1 ;
8 ;0 ;2 ;6 ;0 ;63 ;
9 ;0 ;0 ;1 ;0 ;18 ;
9 ;0 ;0 ;2 ;0 ;2 ;
9 ;0 ;0 ;3 ;0 ;14 ;
9 ;0 ;0 ;4 ;0 ;51 ;
9 ;0 ;0 ;5 ;0 ;17 ;
9 ;0 ;1 ;1 ;0 ;19 ;
9 ;0 ;1 ;2 ;0 ;24 ;
9 ;0 ;1 ;3 ;0 ;16 ;
9 ;0 ;1 ;4 ;0 ;37 ;
9 ;0 ;1 ;5 ;0 ;43 ;
9 ;0 ;1 ;6 ;0 ;50 ;
9 ;0 ;2 ;1 ;0 ;48 ;
9 ;0 ;2 ;2 ;0 ;13 ;
9 ;0 ;2 ;3 ;0 ;46 ;
9 ;0 ;2 ;4 ;0 ;49 ;
9 ;0 ;2 ;5 ;0 ;32 ;
9 ;0 ;2 ;6 ;0 ;55 ;
9 ;0 ;3 ;1 ;0 ;25 ;
9 ;0 ;3 ;2 ;0 ;42 ;
9 ;0 ;3 ;3 ;0 ;3 ;
9 ;0 ;3 ;4 ;0 ;59 ;
9 ;0 ;3 ;5 ;0 ;36 ;
9 ;0 ;3 ;6 ;0 ;54 ;
9 ;0 ;4 ;1 ;0 ;35 ;
9 ;0 ;4 ;2 ;0 ;12 ;
9 ;0 ;4 ;3 ;0 ;11 ;
9 ;0 ;4 ;4 ;0 ;5 ;
9 ;0 ;4 ;5 ;0 ;30 ;
9 ;0 ;4 ;6 ;0 ;58 ;
9 ;0 ;5 ;1 ;0 ;33 ;
9 ;0 ;5 ;2 ;0 ;6 ;
9 ;0 ;5 ;3 ;0 ;41 ;
9 ;0 ;5 ;4 ;0 ;61 ;
9 ;0 ;5 ;5 ;0 ;68 ;
9 ;0 ;5 ;6 ;0 ;56 ;
11 ;0 ;0 ;1 ;0 ;23 ;
11 ;0 ;0 ;2 ;0 ;29 ;
11 ;0 ;0 ;3 ;0 ;60 ;
11 ;0 ;0 ;4 ;0 ;21 ;
11 ;0 ;0 ;5 ;0 ;9 ;
11 ;0 ;1 ;1 ;0 ;38 ;
11 ;0 ;1 ;2 ;0 ;53 ;
11 ;0 ;1 ;3 ;0 ;57 ;
11 ;0 ;1 ;4 ;0 ;1 ;
11 ;0 ;1 ;5 ;0 ;64 ;
11 ;0 ;2 ;1 ;0 ;15 ;
11 ;0 ;2 ;2 ;0 ;63 ;
11 ;0 ;2 ;3 ;0 ;10 ;
11 ;0 ;2 ;4 ;0 ;8 ;
11 ;0 ;2 ;5 ;0 ;65 ;
11 ;0 ;2 ;6 ;0 ;66 ;
