event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;68814700 ;" 19:06:54.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;5 ;0 ;1 ;44310 ;"       44.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;2 ;0 ;1 ;87210 ;"     1:27.21" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;4 ;0 ;2 ;90010 ;"     1:30.01" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;1 ;0 ;3 ;90920 ;"     1:30.92" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;5 ;0 ;4 ;94410 ;"     1:34.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;3 ;0 ;5 ;98030 ;"     1:38.03" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;2 ;0 ;1 ;133820 ;"     2:13.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;4 ;0 ;2 ;140890 ;"     2:20.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;1 ;0 ;3 ;142560 ;"     2:22.56" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;5 ;0 ;4 ;147270 ;"     2:27.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;200 ;2 ;0 ;1 ;181180 ;"     3:01.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;200 ;1 ;0 ;2 ;195510 ;"     3:15.51" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;200 ;5 ;0 ;3 ;201020 ;"     3:21.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;250 ;2 ;0 ;1 ;228380 ;"     3:48.38" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;250 ;1 ;0 ;2 ;247730 ;"     4:07.73" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;250 ;5 ;0 ;3 ;253800 ;"     4:13.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;300 ;2 ;0 ;1 ;277580 ;"     4:37.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;300 ;4 ;0 ;2 ;299160 ;"     4:59.16" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;300 ;1 ;0 ;3 ;299970 ;"     4:59.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;300 ;5 ;0 ;4 ;307770 ;"     5:07.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;350 ;2 ;0 ;1 ;325140 ;"     5:25.14" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;350 ;4 ;0 ;2 ;349240 ;"     5:49.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;350 ;1 ;0 ;3 ;350200 ;"     5:50.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;350 ;5 ;0 ;4 ;362270 ;"     6:02.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;350 ;3 ;0 ;5 ;399570 ;"     6:39.57" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;400 ;2 ;0 ;1 ;372790 ;"     6:12.79" ;"E" ;372790 ;"     6:12.79" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;400 ;4 ;0 ;2 ;398100 ;"     6:38.10" ;" " ;398230 ;"     6:38.23" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;400 ;1 ;0 ;3 ;403110 ;"     6:43.11" ;" " ;403130 ;"     6:43.13" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;400 ;5 ;0 ;4 ;412950 ;"     6:52.95" ;"E" ;412950 ;"     6:52.95" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;400 ;3 ;0 ;5 ;453150 ;"     7:33.15" ;" " ;453230 ;"     7:33.23" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;69369960 ;" 19:16:09.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;1 ;0 ;1 ;39070 ;"       39.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;4 ;0 ;2 ;40850 ;"       40.85" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;2 ;0 ;3 ;43180 ;"       43.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;5 ;0 ;4 ;43390 ;"       43.39" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;3 ;0 ;5 ;44070 ;"       44.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;1 ;0 ;1 ;83460 ;"     1:23.46" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;4 ;0 ;2 ;84960 ;"     1:24.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;2 ;0 ;3 ;90620 ;"     1:30.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;3 ;0 ;4 ;93330 ;"     1:33.33" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;5 ;0 ;5 ;94310 ;"     1:34.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;150 ;1 ;0 ;1 ;129890 ;"     2:09.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;150 ;4 ;0 ;2 ;132960 ;"     2:12.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;150 ;2 ;0 ;3 ;141520 ;"     2:21.52" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;150 ;3 ;0 ;4 ;145180 ;"     2:25.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;150 ;5 ;0 ;5 ;148350 ;"     2:28.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;200 ;1 ;0 ;1 ;177990 ;"     2:57.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;200 ;4 ;0 ;2 ;181140 ;"     3:01.14" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
