id;event;round ;heat
1 ;201 ;0 ;0 ;
2 ;203 ;0 ;0 ;
3 ;203 ;0 ;1 ;
4 ;203 ;0 ;2 ;
5 ;203 ;0 ;3 ;
6 ;203 ;0 ;4 ;
7 ;203 ;0 ;5 ;
8 ;203 ;0 ;6 ;
9 ;204 ;0 ;0 ;
10 ;204 ;0 ;1 ;
11 ;204 ;0 ;1 ;
12 ;204 ;0 ;2 ;
13 ;204 ;0 ;2 ;
14 ;204 ;0 ;2 ;
15 ;204 ;0 ;2 ;
16 ;204 ;0 ;2 ;
17 ;204 ;0 ;2 ;
18 ;205 ;0 ;0 ;
19 ;205 ;0 ;1 ;
20 ;205 ;0 ;2 ;
21 ;205 ;0 ;3 ;
22 ;205 ;0 ;3 ;
23 ;206 ;0 ;0 ;
24 ;206 ;0 ;1 ;
25 ;206 ;0 ;2 ;
26 ;206 ;0 ;3 ;
27 ;207 ;0 ;0 ;
28 ;207 ;0 ;0 ;
29 ;207 ;0 ;1 ;
30 ;207 ;0 ;2 ;
31 ;207 ;0 ;3 ;
32 ;207 ;0 ;4 ;
33 ;207 ;0 ;5 ;
34 ;207 ;0 ;6 ;
35 ;207 ;0 ;7 ;
36 ;208 ;0 ;0 ;
37 ;208 ;0 ;1 ;
38 ;208 ;0 ;2 ;
39 ;208 ;0 ;3 ;
40 ;209 ;0 ;0 ;
41 ;209 ;0 ;1 ;
42 ;209 ;0 ;2 ;
43 ;209 ;0 ;3 ;
44 ;210 ;0 ;0 ;
45 ;210 ;0 ;1 ;
46 ;210 ;0 ;2 ;
47 ;210 ;0 ;3 ;
48 ;211 ;0 ;0 ;
49 ;213 ;0 ;0 ;
50 ;213 ;0 ;1 ;
51 ;213 ;0 ;2 ;
52 ;213 ;0 ;3 ;
53 ;213 ;0 ;4 ;
54 ;213 ;0 ;5 ;
55 ;214 ;0 ;0 ;
56 ;214 ;0 ;1 ;
57 ;214 ;0 ;2 ;
58 ;215 ;0 ;0 ;
59 ;215 ;0 ;1 ;
60 ;216 ;0 ;0 ;
61 ;216 ;0 ;1 ;
62 ;301 ;0 ;0 ;
63 ;301 ;0 ;1 ;
64 ;303 ;0 ;0 ;
65 ;303 ;0 ;1 ;
66 ;303 ;0 ;2 ;
67 ;303 ;0 ;3 ;
68 ;304 ;0 ;0 ;
69 ;304 ;0 ;1 ;
70 ;304 ;0 ;2 ;
71 ;305 ;0 ;0 ;
72 ;305 ;0 ;1 ;
73 ;305 ;0 ;2 ;
74 ;305 ;0 ;3 ;
75 ;306 ;0 ;0 ;
76 ;306 ;0 ;1 ;
77 ;306 ;0 ;2 ;
78 ;306 ;0 ;3 ;
79 ;401 ;0 ;0 ;
80 ;401 ;0 ;1 ;
81 ;403 ;0 ;0 ;
82 ;403 ;0 ;1 ;
83 ;403 ;0 ;2 ;
84 ;403 ;0 ;3 ;
85 ;403 ;0 ;4 ;
86 ;403 ;0 ;5 ;
87 ;403 ;0 ;6 ;
88 ;404 ;0 ;0 ;
89 ;404 ;0 ;1 ;
90 ;404 ;0 ;2 ;
91 ;404 ;0 ;2 ;
92 ;405 ;0 ;0 ;
93 ;405 ;0 ;1 ;
94 ;406 ;0 ;0 ;
95 ;406 ;0 ;1 ;
96 ;406 ;0 ;2 ;
97 ;406 ;0 ;2 ;
98 ;406 ;0 ;2 ;
99 ;407 ;0 ;0 ;
100 ;407 ;0 ;1 ;
101 ;407 ;0 ;2 ;
102 ;407 ;0 ;3 ;
103 ;407 ;0 ;4 ;
104 ;407 ;0 ;5 ;
105 ;408 ;0 ;0 ;
106 ;408 ;0 ;1 ;
107 ;408 ;0 ;2 ;
108 ;409 ;0 ;0 ;
109 ;409 ;0 ;1 ;
110 ;409 ;0 ;2 ;
111 ;410 ;0 ;0 ;
112 ;410 ;0 ;1 ;
113 ;410 ;0 ;2 ;
114 ;411 ;0 ;0 ;
115 ;413 ;0 ;0 ;
116 ;413 ;0 ;1 ;
117 ;413 ;0 ;2 ;
118 ;413 ;0 ;3 ;
119 ;414 ;0 ;0 ;
120 ;414 ;0 ;1 ;
121 ;414 ;0 ;2 ;
122 ;415 ;0 ;0 ;
123 ;415 ;0 ;1 ;
124 ;415 ;0 ;2 ;
125 ;416 ;0 ;0 ;
126 ;416 ;0 ;1 ;
127 ;416 ;0 ;2 ;
