event;round;nbHeat;idLen;idStyle;abCat;date;time
501 ;0 ;1 ;3 ;0 ;"X" ;"09/30/12" ;"00:00" ;
503 ;0 ;8 ;1 ;4 ;"G" ;"09/30/12" ;"00:00" ;
504 ;0 ;4 ;1 ;4 ;"B" ;"09/30/12" ;"00:00" ;
505 ;0 ;3 ;2 ;4 ;"G" ;"09/30/12" ;"00:00" ;
506 ;0 ;3 ;2 ;4 ;"B" ;"09/30/12" ;"00:00" ;
601 ;0 ;2 ;0 ;2 ;"X" ;"09/30/12" ;"00:00" ;
603 ;0 ;3 ;1 ;3 ;"G" ;"09/30/12" ;"00:00" ;
604 ;0 ;2 ;1 ;3 ;"B" ;"09/30/12" ;"00:00" ;
605 ;0 ;3 ;1 ;1 ;"G" ;"09/30/12" ;"00:00" ;
606 ;0 ;3 ;1 ;1 ;"B" ;"09/30/12" ;"00:00" ;
607 ;0 ;8 ;0 ;0 ;"G" ;"09/30/12" ;"00:00" ;
608 ;0 ;4 ;0 ;0 ;"B" ;"09/30/12" ;"00:00" ;
609 ;0 ;3 ;0 ;2 ;"G" ;"09/30/12" ;"00:00" ;
610 ;0 ;3 ;0 ;2 ;"B" ;"09/30/12" ;"00:00" ;
611 ;0 ;1 ;2 ;3 ;"X" ;"09/30/12" ;"00:00" ;
613 ;0 ;5 ;2 ;2 ;"G" ;"09/30/12" ;"00:00" ;
614 ;0 ;3 ;2 ;2 ;"B" ;"09/30/12" ;"00:00" ;
615 ;0 ;2 ;2 ;3 ;"G" ;"09/30/12" ;"00:00" ;
616 ;0 ;1 ;2 ;3 ;"B" ;"09/30/12" ;"00:00" ;
701 ;0 ;2 ;0 ;0 ;"X" ;"09/30/12" ;"00:00" ;
703 ;0 ;5 ;1 ;1 ;"G" ;"09/30/12" ;"00:00" ;
704 ;0 ;3 ;1 ;1 ;"B" ;"09/30/12" ;"00:00" ;
705 ;0 ;3 ;1 ;3 ;"G" ;"09/30/12" ;"00:00" ;
706 ;0 ;2 ;1 ;3 ;"B" ;"09/30/12" ;"00:00" ;
707 ;0 ;8 ;0 ;2 ;"G" ;"09/30/12" ;"00:00" ;
708 ;0 ;4 ;0 ;2 ;"B" ;"09/30/12" ;"00:00" ;
709 ;0 ;4 ;0 ;0 ;"G" ;"09/30/12" ;"00:00" ;
710 ;0 ;4 ;0 ;0 ;"B" ;"09/30/12" ;"00:00" ;
711 ;0 ;1 ;2 ;1 ;"X" ;"09/30/12" ;"00:00" ;
713 ;0 ;2 ;2 ;3 ;"G" ;"09/30/12" ;"00:00" ;
714 ;0 ;2 ;2 ;3 ;"B" ;"09/30/12" ;"00:00" ;
715 ;0 ;3 ;2 ;1 ;"G" ;"09/30/12" ;"00:00" ;
716 ;0 ;2 ;2 ;1 ;"B" ;"09/30/12" ;"00:00" ;
