event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;2 ;0 ;187 ;
101 ;0 ;0 ;3 ;0 ;121 ;
101 ;0 ;0 ;4 ;0 ;98 ;
101 ;0 ;0 ;5 ;0 ;17 ;
101 ;0 ;1 ;2 ;0 ;7 ;
101 ;0 ;1 ;3 ;0 ;161 ;
101 ;0 ;1 ;4 ;0 ;107 ;
101 ;0 ;1 ;5 ;0 ;69 ;
101 ;0 ;2 ;1 ;0 ;76 ;
101 ;0 ;2 ;2 ;0 ;20 ;
101 ;0 ;2 ;3 ;0 ;90 ;
101 ;0 ;2 ;4 ;0 ;11 ;
101 ;0 ;2 ;5 ;0 ;167 ;
101 ;0 ;2 ;6 ;0 ;63 ;
101 ;0 ;3 ;1 ;0 ;178 ;
101 ;0 ;3 ;2 ;0 ;97 ;
101 ;0 ;3 ;3 ;0 ;66 ;
101 ;0 ;3 ;4 ;0 ;101 ;
101 ;0 ;3 ;5 ;0 ;77 ;
101 ;0 ;3 ;6 ;0 ;109 ;
101 ;0 ;4 ;1 ;0 ;103 ;
101 ;0 ;4 ;2 ;0 ;165 ;
101 ;0 ;4 ;3 ;0 ;115 ;
101 ;0 ;4 ;4 ;0 ;14 ;
101 ;0 ;4 ;5 ;0 ;36 ;
101 ;0 ;4 ;6 ;0 ;183 ;
101 ;0 ;5 ;1 ;0 ;116 ;
101 ;0 ;5 ;2 ;0 ;159 ;
101 ;0 ;5 ;3 ;0 ;158 ;
101 ;0 ;5 ;4 ;0 ;93 ;
101 ;0 ;5 ;5 ;0 ;21 ;
101 ;0 ;5 ;6 ;0 ;82 ;
101 ;0 ;6 ;1 ;0 ;169 ;
101 ;0 ;6 ;2 ;0 ;180 ;
101 ;0 ;6 ;3 ;0 ;157 ;
101 ;0 ;6 ;4 ;0 ;50 ;
101 ;0 ;6 ;5 ;0 ;61 ;
101 ;0 ;6 ;6 ;0 ;151 ;
101 ;0 ;7 ;1 ;0 ;48 ;
101 ;0 ;7 ;2 ;0 ;68 ;
101 ;0 ;7 ;3 ;0 ;81 ;
101 ;0 ;7 ;4 ;0 ;79 ;
101 ;0 ;7 ;5 ;0 ;31 ;
101 ;0 ;7 ;6 ;0 ;35 ;
101 ;0 ;8 ;1 ;0 ;111 ;
101 ;0 ;8 ;2 ;0 ;34 ;
101 ;0 ;8 ;3 ;0 ;88 ;
101 ;0 ;8 ;4 ;0 ;72 ;
101 ;0 ;8 ;5 ;0 ;85 ;
101 ;0 ;8 ;6 ;0 ;25 ;
101 ;0 ;9 ;1 ;0 ;145 ;
101 ;0 ;9 ;2 ;0 ;175 ;
101 ;0 ;9 ;3 ;0 ;67 ;
101 ;0 ;9 ;4 ;0 ;74 ;
101 ;0 ;9 ;5 ;0 ;89 ;
101 ;0 ;9 ;6 ;0 ;163 ;
101 ;0 ;10 ;1 ;0 ;170 ;
101 ;0 ;10 ;2 ;0 ;96 ;
101 ;0 ;10 ;3 ;0 ;26 ;
101 ;0 ;10 ;4 ;0 ;160 ;
101 ;0 ;10 ;5 ;0 ;80 ;
101 ;0 ;10 ;6 ;0 ;84 ;
101 ;0 ;11 ;1 ;0 ;56 ;
101 ;0 ;11 ;2 ;0 ;164 ;
101 ;0 ;11 ;3 ;0 ;110 ;
101 ;0 ;11 ;4 ;0 ;153 ;
101 ;0 ;11 ;5 ;0 ;33 ;
101 ;0 ;11 ;6 ;0 ;94 ;
101 ;0 ;12 ;1 ;0 ;55 ;
101 ;0 ;12 ;2 ;0 ;29 ;
101 ;0 ;12 ;3 ;0 ;154 ;
101 ;0 ;12 ;4 ;0 ;78 ;
101 ;0 ;12 ;5 ;0 ;114 ;
101 ;0 ;12 ;6 ;0 ;65 ;
101 ;0 ;13 ;1 ;0 ;105 ;
101 ;0 ;13 ;2 ;0 ;166 ;
101 ;0 ;13 ;3 ;0 ;117 ;
101 ;0 ;13 ;4 ;0 ;23 ;
101 ;0 ;13 ;5 ;0 ;152 ;
101 ;0 ;13 ;6 ;0 ;168 ;
101 ;0 ;14 ;1 ;0 ;173 ;
101 ;0 ;14 ;2 ;0 ;125 ;
101 ;0 ;14 ;3 ;0 ;128 ;
101 ;0 ;14 ;4 ;0 ;127 ;
101 ;0 ;14 ;5 ;0 ;122 ;
101 ;0 ;14 ;6 ;0 ;6 ;
101 ;0 ;15 ;1 ;0 ;146 ;
101 ;0 ;15 ;2 ;0 ;47 ;
101 ;0 ;15 ;3 ;0 ;54 ;
101 ;0 ;15 ;4 ;0 ;8 ;
101 ;0 ;15 ;5 ;0 ;156 ;
101 ;0 ;15 ;6 ;0 ;46 ;
101 ;0 ;16 ;1 ;0 ;129 ;
101 ;0 ;16 ;2 ;0 ;134 ;
101 ;0 ;16 ;3 ;0 ;104 ;
101 ;0 ;16 ;4 ;0 ;49 ;
101 ;0 ;16 ;5 ;0 ;144 ;
101 ;0 ;16 ;6 ;0 ;148 ;
101 ;0 ;17 ;1 ;0 ;22 ;
101 ;0 ;17 ;2 ;0 ;60 ;
101 ;0 ;17 ;3 ;0 ;131 ;
101 ;0 ;17 ;4 ;0 ;186 ;
101 ;0 ;17 ;5 ;0 ;112 ;
101 ;0 ;17 ;6 ;0 ;70 ;
101 ;0 ;18 ;1 ;0 ;141 ;
101 ;0 ;18 ;2 ;0 ;28 ;
101 ;0 ;18 ;3 ;0 ;132 ;
101 ;0 ;18 ;4 ;0 ;150 ;
101 ;0 ;18 ;5 ;0 ;147 ;
101 ;0 ;18 ;6 ;0 ;12 ;
101 ;0 ;19 ;1 ;0 ;58 ;
101 ;0 ;19 ;2 ;0 ;16 ;
101 ;0 ;19 ;3 ;0 ;118 ;
101 ;0 ;19 ;4 ;0 ;30 ;
101 ;0 ;19 ;5 ;0 ;24 ;
101 ;0 ;19 ;6 ;0 ;59 ;
101 ;0 ;20 ;1 ;0 ;179 ;
101 ;0 ;20 ;2 ;0 ;176 ;
101 ;0 ;20 ;3 ;0 ;126 ;
101 ;0 ;20 ;4 ;0 ;27 ;
101 ;0 ;20 ;5 ;0 ;172 ;
101 ;0 ;20 ;6 ;0 ;108 ;
102 ;0 ;0 ;2 ;0 ;182 ;
102 ;0 ;0 ;3 ;0 ;106 ;
102 ;0 ;0 ;4 ;0 ;71 ;
102 ;0 ;0 ;5 ;0 ;41 ;
102 ;0 ;1 ;1 ;0 ;43 ;
102 ;0 ;1 ;2 ;0 ;38 ;
102 ;0 ;1 ;3 ;0 ;42 ;
102 ;0 ;1 ;4 ;0 ;75 ;
102 ;0 ;1 ;5 ;0 ;83 ;
102 ;0 ;2 ;1 ;0 ;44 ;
102 ;0 ;2 ;2 ;0 ;87 ;
102 ;0 ;2 ;3 ;0 ;162 ;
102 ;0 ;2 ;4 ;0 ;139 ;
102 ;0 ;2 ;5 ;0 ;95 ;
102 ;0 ;2 ;6 ;0 ;19 ;
102 ;0 ;3 ;1 ;0 ;45 ;
102 ;0 ;3 ;2 ;0 ;100 ;
102 ;0 ;3 ;3 ;0 ;138 ;
102 ;0 ;3 ;4 ;0 ;143 ;
102 ;0 ;3 ;5 ;0 ;91 ;
102 ;0 ;3 ;6 ;0 ;18 ;
102 ;0 ;4 ;1 ;0 ;124 ;
102 ;0 ;4 ;2 ;0 ;37 ;
102 ;0 ;4 ;3 ;0 ;4 ;
102 ;0 ;4 ;4 ;0 ;137 ;
102 ;0 ;4 ;5 ;0 ;53 ;
102 ;0 ;4 ;6 ;0 ;140 ;
102 ;0 ;5 ;1 ;0 ;92 ;
102 ;0 ;5 ;2 ;0 ;120 ;
102 ;0 ;5 ;3 ;0 ;149 ;
102 ;0 ;5 ;4 ;0 ;113 ;
102 ;0 ;5 ;5 ;0 ;155 ;
102 ;0 ;5 ;6 ;0 ;177 ;
102 ;0 ;6 ;1 ;0 ;2 ;
102 ;0 ;6 ;2 ;0 ;181 ;
102 ;0 ;6 ;3 ;0 ;5 ;
102 ;0 ;6 ;4 ;0 ;52 ;
102 ;0 ;6 ;5 ;0 ;57 ;
102 ;0 ;6 ;6 ;0 ;62 ;
102 ;0 ;7 ;1 ;0 ;64 ;
102 ;0 ;7 ;2 ;0 ;10 ;
102 ;0 ;7 ;3 ;0 ;136 ;
102 ;0 ;7 ;4 ;0 ;13 ;
102 ;0 ;7 ;5 ;0 ;119 ;
102 ;0 ;7 ;6 ;0 ;102 ;
102 ;0 ;8 ;1 ;0 ;142 ;
102 ;0 ;8 ;2 ;0 ;171 ;
102 ;0 ;8 ;3 ;0 ;135 ;
102 ;0 ;8 ;4 ;0 ;39 ;
102 ;0 ;8 ;5 ;0 ;86 ;
102 ;0 ;8 ;6 ;0 ;40 ;
103 ;0 ;0 ;2 ;0 ;178 ;
103 ;0 ;0 ;3 ;0 ;17 ;
103 ;0 ;0 ;4 ;0 ;36 ;
103 ;0 ;0 ;5 ;0 ;134 ;
103 ;0 ;1 ;2 ;0 ;63 ;
103 ;0 ;1 ;3 ;0 ;121 ;
103 ;0 ;1 ;4 ;0 ;107 ;
103 ;0 ;1 ;5 ;0 ;76 ;
103 ;0 ;2 ;1 ;0 ;167 ;
103 ;0 ;2 ;2 ;0 ;69 ;
103 ;0 ;2 ;3 ;0 ;20 ;
103 ;0 ;2 ;4 ;0 ;66 ;
103 ;0 ;2 ;5 ;0 ;101 ;
103 ;0 ;2 ;6 ;0 ;109 ;
103 ;0 ;3 ;1 ;0 ;97 ;
103 ;0 ;3 ;2 ;0 ;157 ;
103 ;0 ;3 ;3 ;0 ;21 ;
103 ;0 ;3 ;4 ;0 ;11 ;
103 ;0 ;3 ;5 ;0 ;98 ;
103 ;0 ;3 ;6 ;0 ;116 ;
103 ;0 ;4 ;1 ;0 ;90 ;
103 ;0 ;4 ;2 ;0 ;161 ;
103 ;0 ;4 ;3 ;0 ;187 ;
103 ;0 ;4 ;4 ;0 ;115 ;
103 ;0 ;4 ;5 ;0 ;103 ;
103 ;0 ;4 ;6 ;0 ;158 ;
103 ;0 ;5 ;1 ;0 ;46 ;
103 ;0 ;5 ;2 ;0 ;93 ;
103 ;0 ;5 ;3 ;0 ;183 ;
103 ;0 ;5 ;4 ;0 ;7 ;
103 ;0 ;5 ;5 ;0 ;165 ;
103 ;0 ;5 ;6 ;0 ;82 ;
103 ;0 ;6 ;1 ;0 ;61 ;
103 ;0 ;6 ;2 ;0 ;50 ;
103 ;0 ;6 ;3 ;0 ;79 ;
103 ;0 ;6 ;4 ;0 ;81 ;
103 ;0 ;6 ;5 ;0 ;169 ;
103 ;0 ;6 ;6 ;0 ;31 ;
103 ;0 ;7 ;1 ;0 ;180 ;
103 ;0 ;7 ;2 ;0 ;34 ;
103 ;0 ;7 ;3 ;0 ;14 ;
103 ;0 ;7 ;4 ;0 ;35 ;
103 ;0 ;7 ;5 ;0 ;48 ;
103 ;0 ;7 ;6 ;0 ;145 ;
103 ;0 ;8 ;1 ;0 ;96 ;
103 ;0 ;8 ;2 ;0 ;111 ;
103 ;0 ;8 ;3 ;0 ;160 ;
103 ;0 ;8 ;4 ;0 ;88 ;
103 ;0 ;8 ;5 ;0 ;68 ;
103 ;0 ;8 ;6 ;0 ;151 ;
103 ;0 ;9 ;1 ;0 ;163 ;
103 ;0 ;9 ;2 ;0 ;85 ;
103 ;0 ;9 ;3 ;0 ;170 ;
103 ;0 ;9 ;4 ;0 ;67 ;
103 ;0 ;9 ;5 ;0 ;26 ;
103 ;0 ;9 ;6 ;0 ;89 ;
103 ;0 ;10 ;1 ;0 ;80 ;
103 ;0 ;10 ;2 ;0 ;148 ;
103 ;0 ;10 ;3 ;0 ;72 ;
103 ;0 ;10 ;4 ;0 ;110 ;
103 ;0 ;10 ;5 ;0 ;152 ;
103 ;0 ;10 ;6 ;0 ;25 ;
103 ;0 ;11 ;1 ;0 ;127 ;
103 ;0 ;11 ;2 ;0 ;33 ;
103 ;0 ;11 ;3 ;0 ;117 ;
103 ;0 ;11 ;4 ;0 ;84 ;
103 ;0 ;11 ;5 ;0 ;114 ;
103 ;0 ;11 ;6 ;0 ;65 ;
103 ;0 ;12 ;1 ;0 ;125 ;
103 ;0 ;12 ;2 ;0 ;56 ;
103 ;0 ;12 ;3 ;0 ;166 ;
103 ;0 ;12 ;4 ;0 ;128 ;
103 ;0 ;12 ;5 ;0 ;94 ;
103 ;0 ;12 ;6 ;0 ;122 ;
103 ;0 ;13 ;1 ;0 ;173 ;
103 ;0 ;13 ;2 ;0 ;55 ;
103 ;0 ;13 ;3 ;0 ;29 ;
103 ;0 ;13 ;4 ;0 ;168 ;
103 ;0 ;13 ;5 ;0 ;154 ;
103 ;0 ;13 ;6 ;0 ;179 ;
103 ;0 ;14 ;1 ;0 ;156 ;
103 ;0 ;14 ;2 ;0 ;8 ;
103 ;0 ;14 ;3 ;0 ;54 ;
103 ;0 ;14 ;4 ;0 ;146 ;
103 ;0 ;14 ;5 ;0 ;47 ;
103 ;0 ;14 ;6 ;0 ;77 ;
103 ;0 ;15 ;1 ;0 ;129 ;
103 ;0 ;15 ;2 ;0 ;104 ;
103 ;0 ;15 ;3 ;0 ;23 ;
103 ;0 ;15 ;4 ;0 ;49 ;
103 ;0 ;15 ;5 ;0 ;144 ;
103 ;0 ;15 ;6 ;0 ;105 ;
103 ;0 ;16 ;1 ;0 ;112 ;
103 ;0 ;16 ;2 ;0 ;22 ;
103 ;0 ;16 ;3 ;0 ;131 ;
103 ;0 ;16 ;4 ;0 ;186 ;
103 ;0 ;16 ;5 ;0 ;70 ;
103 ;0 ;16 ;6 ;0 ;175 ;
103 ;0 ;17 ;1 ;0 ;141 ;
103 ;0 ;17 ;2 ;0 ;28 ;
103 ;0 ;17 ;3 ;0 ;150 ;
103 ;0 ;17 ;4 ;0 ;132 ;
103 ;0 ;17 ;5 ;0 ;147 ;
103 ;0 ;17 ;6 ;0 ;12 ;
103 ;0 ;18 ;1 ;0 ;24 ;
