id;event;round ;heat
1 ;105 ;0 ;0 ;
2 ;105 ;0 ;1 ;
3 ;105 ;0 ;2 ;
4 ;105 ;0 ;3 ;
5 ;105 ;0 ;4 ;
6 ;105 ;0 ;5 ;
7 ;105 ;0 ;6 ;
8 ;105 ;0 ;7 ;
9 ;105 ;0 ;8 ;
10 ;105 ;0 ;9 ;
11 ;105 ;0 ;10 ;
12 ;105 ;0 ;11 ;
13 ;105 ;0 ;12 ;
14 ;105 ;0 ;13 ;
15 ;105 ;0 ;14 ;
16 ;105 ;0 ;15 ;
17 ;105 ;0 ;16 ;
18 ;105 ;0 ;17 ;
19 ;105 ;0 ;18 ;
20 ;105 ;0 ;19 ;
21 ;106 ;0 ;0 ;
22 ;106 ;0 ;1 ;
23 ;106 ;0 ;2 ;
24 ;106 ;0 ;3 ;
25 ;106 ;0 ;4 ;
26 ;106 ;0 ;5 ;
27 ;106 ;0 ;6 ;
28 ;106 ;0 ;7 ;
29 ;107 ;0 ;0 ;
30 ;107 ;0 ;1 ;
31 ;107 ;0 ;2 ;
32 ;107 ;0 ;3 ;
33 ;108 ;0 ;0 ;
34 ;108 ;0 ;1 ;
35 ;108 ;0 ;2 ;
36 ;108 ;0 ;3 ;
37 ;108 ;0 ;4 ;
38 ;109 ;0 ;0 ;
39 ;109 ;0 ;1 ;
40 ;109 ;0 ;2 ;
41 ;109 ;0 ;3 ;
42 ;109 ;0 ;4 ;
43 ;110 ;0 ;0 ;
44 ;110 ;0 ;1 ;
45 ;110 ;0 ;2 ;
46 ;111 ;0 ;0 ;
47 ;111 ;0 ;1 ;
48 ;111 ;0 ;2 ;
49 ;112 ;0 ;0 ;
50 ;112 ;0 ;1 ;
51 ;113 ;0 ;0 ;
52 ;113 ;0 ;1 ;
53 ;113 ;0 ;2 ;
54 ;114 ;0 ;0 ;
55 ;114 ;0 ;1 ;
56 ;115 ;0 ;0 ;
57 ;115 ;0 ;1 ;
58 ;115 ;0 ;2 ;
59 ;116 ;0 ;0 ;
60 ;117 ;0 ;0 ;
61 ;118 ;0 ;0 ;
