event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;1 ;0 ;154 ;
101 ;0 ;0 ;2 ;0 ;279 ;
101 ;0 ;0 ;3 ;0 ;181 ;
101 ;0 ;0 ;4 ;0 ;217 ;
101 ;0 ;0 ;5 ;0 ;225 ;
101 ;0 ;0 ;6 ;0 ;155 ;
101 ;0 ;0 ;7 ;0 ;258 ;
101 ;0 ;0 ;8 ;0 ;22 ;
101 ;0 ;1 ;1 ;0 ;9 ;
101 ;0 ;1 ;2 ;0 ;145 ;
101 ;0 ;1 ;3 ;0 ;96 ;
101 ;0 ;1 ;4 ;0 ;194 ;
101 ;0 ;1 ;5 ;0 ;123 ;
101 ;0 ;1 ;6 ;0 ;153 ;
101 ;0 ;1 ;7 ;0 ;44 ;
101 ;0 ;1 ;8 ;0 ;33 ;
101 ;0 ;2 ;1 ;0 ;275 ;
101 ;0 ;2 ;2 ;0 ;211 ;
101 ;0 ;2 ;3 ;0 ;48 ;
101 ;0 ;2 ;4 ;0 ;52 ;
101 ;0 ;2 ;5 ;0 ;162 ;
101 ;0 ;2 ;6 ;0 ;272 ;
101 ;0 ;2 ;7 ;0 ;130 ;
101 ;0 ;2 ;8 ;0 ;10 ;
101 ;0 ;3 ;1 ;0 ;274 ;
101 ;0 ;3 ;2 ;0 ;222 ;
101 ;0 ;3 ;3 ;0 ;276 ;
101 ;0 ;3 ;4 ;0 ;187 ;
101 ;0 ;3 ;5 ;0 ;34 ;
101 ;0 ;3 ;6 ;0 ;36 ;
101 ;0 ;3 ;7 ;0 ;177 ;
101 ;0 ;3 ;8 ;0 ;108 ;
102 ;0 ;0 ;1 ;0 ;221 ;
102 ;0 ;0 ;2 ;0 ;137 ;
102 ;0 ;0 ;3 ;0 ;185 ;
102 ;0 ;0 ;4 ;0 ;186 ;
102 ;0 ;0 ;5 ;0 ;105 ;
102 ;0 ;0 ;6 ;0 ;11 ;
102 ;0 ;0 ;7 ;0 ;8 ;
102 ;0 ;0 ;8 ;0 ;94 ;
102 ;0 ;1 ;1 ;0 ;49 ;
102 ;0 ;1 ;2 ;0 ;172 ;
102 ;0 ;1 ;3 ;0 ;51 ;
102 ;0 ;1 ;4 ;0 ;63 ;
102 ;0 ;1 ;5 ;0 ;74 ;
102 ;0 ;1 ;6 ;0 ;192 ;
102 ;0 ;1 ;7 ;0 ;86 ;
102 ;0 ;1 ;8 ;0 ;254 ;
103 ;0 ;0 ;1 ;0 ;47 ;
103 ;0 ;0 ;2 ;0 ;184 ;
103 ;0 ;0 ;3 ;0 ;152 ;
103 ;0 ;0 ;4 ;0 ;113 ;
103 ;0 ;0 ;5 ;0 ;253 ;
103 ;0 ;0 ;6 ;0 ;157 ;
103 ;0 ;0 ;7 ;0 ;88 ;
103 ;0 ;1 ;1 ;0 ;156 ;
103 ;0 ;1 ;2 ;0 ;30 ;
103 ;0 ;1 ;3 ;0 ;15 ;
103 ;0 ;1 ;4 ;0 ;39 ;
103 ;0 ;1 ;5 ;0 ;128 ;
103 ;0 ;1 ;6 ;0 ;206 ;
103 ;0 ;1 ;7 ;0 ;71 ;
103 ;0 ;1 ;8 ;0 ;231 ;
103 ;0 ;2 ;1 ;0 ;216 ;
103 ;0 ;2 ;2 ;0 ;28 ;
