event;round;nbHeat;idLen;idStyle;abCat;date;time
101 ;0 ;6 ;1 ;0 ;"M" ;"12/01/12" ;"00:00" ;
102 ;0 ;6 ;2 ;0 ;"W" ;"12/01/12" ;"00:00" ;
103 ;0 ;5 ;0 ;2 ;"M" ;"12/01/12" ;"00:00" ;
104 ;0 ;6 ;1 ;2 ;"W" ;"12/01/12" ;"00:00" ;
105 ;0 ;3 ;3 ;4 ;"M" ;"12/01/12" ;"00:00" ;
106 ;0 ;6 ;1 ;3 ;"W" ;"12/01/12" ;"00:00" ;
107 ;0 ;7 ;1 ;1 ;"M" ;"12/01/12" ;"00:00" ;
108 ;0 ;6 ;0 ;1 ;"W" ;"12/01/12" ;"00:00" ;
109 ;0 ;3 ;1 ;4 ;"M" ;"12/01/12" ;"00:00" ;
110 ;0 ;1 ;0 ;4 ;"M" ;"12/01/12" ;"00:00" ;
121 ;0 ;1 ;2 ;0 ;"W" ;"12/01/12" ;"00:00" ;
122 ;0 ;2 ;1 ;0 ;"M" ;"12/01/12" ;"00:00" ;
123 ;0 ;1 ;1 ;2 ;"W" ;"12/01/12" ;"00:00" ;
124 ;0 ;1 ;0 ;2 ;"M" ;"12/01/12" ;"00:00" ;
125 ;0 ;1 ;1 ;3 ;"W" ;"12/01/12" ;"00:00" ;
126 ;0 ;1 ;1 ;1 ;"M" ;"12/01/12" ;"00:00" ;
127 ;0 ;1 ;0 ;1 ;"W" ;"12/01/12" ;"00:00" ;
128 ;0 ;1 ;1 ;4 ;"M" ;"12/01/12" ;"00:00" ;
131 ;0 ;2 ;11 ;0 ;"M" ;"12/01/12" ;"00:00" ;
132 ;0 ;2 ;11 ;4 ;"W" ;"12/01/12" ;"00:00" ;
201 ;0 ;5 ;2 ;3 ;"M" ;"12/01/12" ;"00:00" ;
202 ;0 ;4 ;2 ;4 ;"W" ;"12/01/12" ;"00:00" ;
203 ;0 ;1 ;7 ;4 ;"W" ;"12/01/12" ;"00:00" ;
204 ;0 ;4 ;3 ;0 ;"M" ;"12/01/12" ;"00:00" ;
205 ;0 ;7 ;0 ;0 ;"W" ;"12/01/12" ;"00:00" ;
206 ;0 ;6 ;2 ;2 ;"M" ;"12/01/12" ;"00:00" ;
207 ;0 ;3 ;4 ;0 ;"W" ;"12/01/12" ;"00:00" ;
208 ;0 ;4 ;0 ;3 ;"M" ;"12/01/12" ;"00:00" ;
209 ;0 ;4 ;2 ;1 ;"W" ;"12/01/12" ;"00:00" ;
221 ;0 ;1 ;2 ;3 ;"M" ;"12/01/12" ;"00:00" ;
222 ;0 ;1 ;2 ;4 ;"W" ;"12/01/12" ;"00:00" ;
223 ;0 ;2 ;0 ;3 ;"M" ;"12/01/12" ;"00:00" ;
224 ;0 ;1 ;0 ;0 ;"W" ;"12/01/12" ;"00:00" ;
225 ;0 ;1 ;2 ;2 ;"M" ;"12/01/12" ;"00:00" ;
226 ;0 ;1 ;2 ;1 ;"W" ;"12/01/12" ;"00:00" ;
999 ;4 ;1 ;0 ;0 ;"M" ;"12/01/12" ;"00:00" ;
