event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
999 ;4 ;0 ;0 ;0 ;0 ;0 ;31160060 ;"  8:39:20.06" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;2 ;0 ;2 ;27870 ;"       27.87" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;4 ;0 ;4 ;28340 ;"       28.34" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;6 ;0 ;6 ;28880 ;"       28.88" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;34397480 ;"  9:33:17.48" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;5 ;0 ;1 ;25860 ;"       25.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;7 ;0 ;2 ;26300 ;"       26.30" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;4 ;0 ;3 ;26350 ;"       26.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;1 ;0 ;4 ;26960 ;"       26.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;3 ;0 ;5 ;27070 ;"       27.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;2 ;0 ;6 ;27080 ;"       27.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;6 ;0 ;7 ;27340 ;"       27.34" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;8 ;0 ;8 ;27810 ;"       27.81" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;5 ;0 ;1 ;54530 ;"       54.53" ;" " ;54610 ;"       54.61" ;" " ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;7 ;0 ;2 ;55500 ;"       55.50" ;" " ;55700 ;"       55.70" ;" " ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;6 ;0 ;3 ;55840 ;"       55.84" ;" " ;55980 ;"       55.98" ;" " ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;1 ;0 ;4 ;56180 ;"       56.18" ;" " ;56320 ;"       56.32" ;" " ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;4 ;0 ;5 ;56270 ;"       56.27" ;" " ;56470 ;"       56.47" ;" " ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;3 ;0 ;6 ;56490 ;"       56.49" ;" " ;56580 ;"       56.58" ;" " ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;2 ;0 ;7 ;56840 ;"       56.84" ;" " ;56930 ;"       56.93" ;" " ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;8 ;0 ;8 ;57310 ;"       57.31" ;" " ;57520 ;"       57.52" ;" " ;0 ;"" ;"" ;
101 ;0 ;2 ;0 ;0 ;0 ;0 ;34488360 ;"  9:34:48.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;3 ;0 ;1 ;25120 ;"       25.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;6 ;0 ;2 ;26210 ;"       26.21" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;2 ;0 ;3 ;26510 ;"       26.51" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;4 ;0 ;4 ;26670 ;"       26.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;5 ;0 ;4 ;26670 ;"       26.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;8 ;0 ;6 ;26700 ;"       26.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;1 ;0 ;7 ;26940 ;"       26.94" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;7 ;0 ;8 ;26970 ;"       26.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;100 ;3 ;0 ;1 ;52890 ;"       52.89" ;" " ;53050 ;"       53.05" ;" " ;0 ;"" ;"" ;
101 ;0 ;2 ;100 ;6 ;0 ;2 ;54290 ;"       54.29" ;" " ;54430 ;"       54.43" ;" " ;0 ;"" ;"" ;
101 ;0 ;2 ;100 ;2 ;0 ;3 ;54950 ;"       54.95" ;" " ;55070 ;"       55.07" ;" " ;0 ;"" ;"" ;
101 ;0 ;2 ;100 ;8 ;0 ;4 ;55360 ;"       55.36" ;" " ;55460 ;"       55.46" ;" " ;0 ;"" ;"" ;
101 ;0 ;2 ;100 ;4 ;0 ;5 ;56080 ;"       56.08" ;" " ;56160 ;"       56.16" ;" " ;0 ;"" ;"" ;
101 ;0 ;2 ;100 ;7 ;0 ;6 ;56260 ;"       56.26" ;" " ;56460 ;"       56.46" ;" " ;0 ;"" ;"" ;
101 ;0 ;2 ;100 ;5 ;0 ;7 ;56320 ;"       56.32" ;" " ;56330 ;"       56.33" ;" " ;0 ;"" ;"" ;
101 ;0 ;2 ;100 ;1 ;0 ;8 ;56880 ;"       56.88" ;" " ;57150 ;"       57.15" ;" " ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;0 ;0 ;0 ;34587740 ;"  9:36:27.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;3 ;0 ;1 ;25180 ;"       25.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;6 ;0 ;2 ;25790 ;"       25.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;4 ;0 ;3 ;26140 ;"       26.14" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;5 ;0 ;4 ;26210 ;"       26.21" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;8 ;0 ;5 ;26220 ;"       26.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;1 ;0 ;6 ;26460 ;"       26.46" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;7 ;0 ;7 ;26480 ;"       26.48" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;2 ;0 ;8 ;26500 ;"       26.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;100 ;3 ;0 ;1 ;53420 ;"       53.42" ;" " ;53500 ;"       53.50" ;" " ;0 ;"" ;"" ;
101 ;0 ;3 ;100 ;6 ;0 ;2 ;53920 ;"       53.92" ;" " ;54050 ;"       54.05" ;" " ;0 ;"" ;"" ;
101 ;0 ;3 ;100 ;8 ;0 ;3 ;54780 ;"       54.78" ;" " ;54940 ;"       54.94" ;" " ;0 ;"" ;"" ;
101 ;0 ;3 ;100 ;7 ;0 ;4 ;54810 ;"       54.81" ;" " ;54920 ;"       54.92" ;" " ;0 ;"" ;"" ;
101 ;0 ;3 ;100 ;2 ;0 ;5 ;54970 ;"       54.97" ;" " ;55060 ;"       55.06" ;" " ;0 ;"" ;"" ;
101 ;0 ;3 ;100 ;5 ;0 ;6 ;55020 ;"       55.02" ;" " ;55080 ;"       55.08" ;" " ;0 ;"" ;"" ;
101 ;0 ;3 ;100 ;1 ;0 ;7 ;55450 ;"       55.45" ;" " ;55690 ;"       55.69" ;" " ;0 ;"" ;"" ;
101 ;0 ;3 ;100 ;4 ;0 ;8 ;55830 ;"       55.83" ;" " ;55940 ;"       55.94" ;" " ;0 ;"" ;"" ;
