event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;1 ;0 ;111 ;
101 ;0 ;0 ;2 ;0 ;353 ;
101 ;0 ;0 ;3 ;0 ;253 ;
101 ;0 ;0 ;4 ;0 ;389 ;
101 ;0 ;0 ;5 ;0 ;237 ;
101 ;0 ;0 ;6 ;0 ;294 ;
101 ;0 ;0 ;7 ;0 ;302 ;
101 ;0 ;1 ;1 ;0 ;287 ;
101 ;0 ;1 ;2 ;0 ;384 ;
101 ;0 ;1 ;3 ;0 ;336 ;
101 ;0 ;1 ;4 ;0 ;324 ;
101 ;0 ;1 ;5 ;0 ;40 ;
101 ;0 ;1 ;6 ;0 ;348 ;
101 ;0 ;1 ;7 ;0 ;103 ;
101 ;0 ;1 ;8 ;0 ;124 ;
101 ;0 ;2 ;1 ;0 ;152 ;
101 ;0 ;2 ;2 ;0 ;250 ;
101 ;0 ;2 ;3 ;0 ;149 ;
101 ;0 ;2 ;4 ;0 ;157 ;
101 ;0 ;2 ;5 ;0 ;318 ;
101 ;0 ;2 ;6 ;0 ;45 ;
101 ;0 ;2 ;7 ;0 ;182 ;
101 ;0 ;2 ;8 ;0 ;313 ;
101 ;0 ;3 ;1 ;0 ;386 ;
101 ;0 ;3 ;2 ;0 ;382 ;
101 ;0 ;3 ;3 ;0 ;240 ;
101 ;0 ;3 ;4 ;0 ;71 ;
101 ;0 ;3 ;5 ;0 ;401 ;
101 ;0 ;3 ;6 ;0 ;340 ;
101 ;0 ;3 ;7 ;0 ;201 ;
101 ;0 ;3 ;8 ;0 ;125 ;
101 ;0 ;4 ;1 ;0 ;290 ;
101 ;0 ;4 ;2 ;0 ;188 ;
101 ;0 ;4 ;3 ;0 ;104 ;
101 ;0 ;4 ;4 ;0 ;279 ;
101 ;0 ;4 ;5 ;0 ;299 ;
101 ;0 ;4 ;6 ;0 ;217 ;
101 ;0 ;4 ;7 ;0 ;286 ;
101 ;0 ;4 ;8 ;0 ;169 ;
101 ;0 ;5 ;1 ;0 ;128 ;
101 ;0 ;5 ;2 ;0 ;156 ;
101 ;0 ;5 ;3 ;0 ;110 ;
101 ;0 ;5 ;4 ;0 ;236 ;
101 ;0 ;5 ;5 ;0 ;233 ;
101 ;0 ;5 ;6 ;0 ;377 ;
101 ;0 ;5 ;7 ;0 ;267 ;
101 ;0 ;5 ;8 ;0 ;31 ;
102 ;0 ;0 ;1 ;0 ;61 ;
102 ;0 ;0 ;2 ;0 ;360 ;
102 ;0 ;0 ;3 ;0 ;405 ;
102 ;0 ;0 ;4 ;0 ;162 ;
102 ;0 ;0 ;5 ;0 ;213 ;
102 ;0 ;0 ;6 ;0 ;398 ;
102 ;0 ;0 ;7 ;0 ;133 ;
102 ;0 ;1 ;1 ;0 ;397 ;
102 ;0 ;1 ;2 ;0 ;376 ;
102 ;0 ;1 ;3 ;0 ;312 ;
102 ;0 ;1 ;4 ;0 ;379 ;
102 ;0 ;1 ;5 ;0 ;119 ;
102 ;0 ;1 ;6 ;0 ;260 ;
102 ;0 ;1 ;7 ;0 ;354 ;
102 ;0 ;2 ;1 ;0 ;307 ;
102 ;0 ;2 ;2 ;0 ;139 ;
102 ;0 ;2 ;3 ;0 ;88 ;
102 ;0 ;2 ;4 ;0 ;81 ;
102 ;0 ;2 ;5 ;0 ;358 ;
102 ;0 ;2 ;6 ;0 ;309 ;
102 ;0 ;2 ;7 ;0 ;187 ;
102 ;0 ;2 ;8 ;0 ;355 ;
102 ;0 ;3 ;1 ;0 ;314 ;
102 ;0 ;3 ;2 ;0 ;195 ;
102 ;0 ;3 ;3 ;0 ;308 ;
102 ;0 ;3 ;4 ;0 ;212 ;
102 ;0 ;3 ;5 ;0 ;84 ;
102 ;0 ;3 ;6 ;0 ;135 ;
102 ;0 ;3 ;7 ;0 ;238 ;
102 ;0 ;3 ;8 ;0 ;373 ;
102 ;0 ;4 ;1 ;0 ;305 ;
102 ;0 ;4 ;2 ;0 ;60 ;
102 ;0 ;4 ;3 ;0 ;37 ;
102 ;0 ;4 ;4 ;0 ;72 ;
102 ;0 ;4 ;5 ;0 ;58 ;
102 ;0 ;4 ;6 ;0 ;197 ;
102 ;0 ;4 ;7 ;0 ;167 ;
102 ;0 ;4 ;8 ;0 ;357 ;
102 ;0 ;5 ;1 ;0 ;315 ;
102 ;0 ;5 ;2 ;0 ;231 ;
102 ;0 ;5 ;3 ;0 ;234 ;
102 ;0 ;5 ;4 ;0 ;99 ;
102 ;0 ;5 ;5 ;0 ;214 ;
102 ;0 ;5 ;6 ;0 ;166 ;
102 ;0 ;5 ;7 ;0 ;85 ;
102 ;0 ;5 ;8 ;0 ;80 ;
103 ;0 ;0 ;3 ;0 ;30 ;
103 ;0 ;0 ;4 ;0 ;158 ;
103 ;0 ;0 ;5 ;0 ;189 ;
103 ;0 ;0 ;6 ;0 ;265 ;
103 ;0 ;0 ;7 ;0 ;331 ;
103 ;0 ;1 ;2 ;0 ;297 ;
103 ;0 ;1 ;3 ;0 ;303 ;
103 ;0 ;1 ;4 ;0 ;52 ;
103 ;0 ;1 ;5 ;0 ;216 ;
103 ;0 ;1 ;6 ;0 ;365 ;
103 ;0 ;1 ;7 ;0 ;382 ;
103 ;0 ;2 ;1 ;0 ;114 ;
103 ;0 ;2 ;2 ;0 ;132 ;
103 ;0 ;2 ;3 ;0 ;177 ;
103 ;0 ;2 ;4 ;0 ;381 ;
103 ;0 ;2 ;5 ;0 ;383 ;
103 ;0 ;2 ;6 ;0 ;253 ;
103 ;0 ;2 ;7 ;0 ;291 ;
103 ;0 ;2 ;8 ;0 ;271 ;
103 ;0 ;3 ;1 ;0 ;272 ;
103 ;0 ;3 ;2 ;0 ;185 ;
103 ;0 ;3 ;3 ;0 ;219 ;
103 ;0 ;3 ;4 ;0 ;256 ;
103 ;0 ;3 ;5 ;0 ;396 ;
103 ;0 ;3 ;6 ;0 ;124 ;
103 ;0 ;3 ;7 ;0 ;74 ;
103 ;0 ;3 ;8 ;0 ;318 ;
103 ;0 ;4 ;1 ;0 ;348 ;
103 ;0 ;4 ;2 ;0 ;147 ;
103 ;0 ;4 ;3 ;0 ;107 ;
103 ;0 ;4 ;4 ;0 ;296 ;
103 ;0 ;4 ;5 ;0 ;121 ;
103 ;0 ;4 ;6 ;0 ;406 ;
103 ;0 ;4 ;7 ;0 ;150 ;
103 ;0 ;4 ;8 ;0 ;293 ;
104 ;0 ;0 ;1 ;0 ;261 ;
104 ;0 ;0 ;2 ;0 ;394 ;
104 ;0 ;0 ;3 ;0 ;28 ;
104 ;0 ;0 ;4 ;0 ;163 ;
104 ;0 ;0 ;5 ;0 ;266 ;
104 ;0 ;0 ;6 ;0 ;301 ;
104 ;0 ;0 ;7 ;0 ;376 ;
104 ;0 ;1 ;1 ;0 ;244 ;
104 ;0 ;1 ;2 ;0 ;312 ;
104 ;0 ;1 ;3 ;0 ;375 ;
104 ;0 ;1 ;4 ;0 ;355 ;
104 ;0 ;1 ;5 ;0 ;343 ;
104 ;0 ;1 ;6 ;0 ;224 ;
104 ;0 ;1 ;7 ;0 ;206 ;
104 ;0 ;1 ;8 ;0 ;327 ;
104 ;0 ;2 ;1 ;0 ;277 ;
104 ;0 ;2 ;2 ;0 ;66 ;
104 ;0 ;2 ;3 ;0 ;276 ;
104 ;0 ;2 ;4 ;0 ;358 ;
104 ;0 ;2 ;5 ;0 ;63 ;
104 ;0 ;2 ;6 ;0 ;310 ;
104 ;0 ;2 ;7 ;0 ;239 ;
104 ;0 ;2 ;8 ;0 ;154 ;
104 ;0 ;3 ;1 ;0 ;119 ;
104 ;0 ;3 ;2 ;0 ;320 ;
104 ;0 ;3 ;3 ;0 ;211 ;
104 ;0 ;3 ;4 ;0 ;342 ;
104 ;0 ;3 ;5 ;0 ;83 ;
104 ;0 ;3 ;6 ;0 ;88 ;
104 ;0 ;3 ;7 ;0 ;95 ;
104 ;0 ;3 ;8 ;0 ;178 ;
104 ;0 ;4 ;1 ;0 ;55 ;
104 ;0 ;4 ;2 ;0 ;141 ;
104 ;0 ;4 ;3 ;0 ;87 ;
104 ;0 ;4 ;4 ;0 ;56 ;
104 ;0 ;4 ;5 ;0 ;398 ;
104 ;0 ;4 ;6 ;0 ;226 ;
104 ;0 ;4 ;7 ;0 ;175 ;
104 ;0 ;4 ;8 ;0 ;134 ;
104 ;0 ;5 ;1 ;0 ;101 ;
104 ;0 ;5 ;2 ;0 ;81 ;
104 ;0 ;5 ;3 ;0 ;305 ;
104 ;0 ;5 ;4 ;0 ;80 ;
104 ;0 ;5 ;5 ;0 ;162 ;
104 ;0 ;5 ;6 ;0 ;123 ;
104 ;0 ;5 ;7 ;0 ;414 ;
104 ;0 ;5 ;8 ;0 ;235 ;
105 ;0 ;0 ;1 ;0 ;362 ;
105 ;0 ;0 ;2 ;0 ;43 ;
105 ;0 ;0 ;3 ;0 ;69 ;
105 ;0 ;0 ;4 ;0 ;76 ;
105 ;0 ;0 ;5 ;0 ;62 ;
105 ;0 ;0 ;6 ;0 ;285 ;
105 ;0 ;0 ;7 ;0 ;35 ;
105 ;0 ;0 ;8 ;0 ;269 ;
105 ;0 ;1 ;1 ;0 ;131 ;
105 ;0 ;1 ;2 ;0 ;200 ;
105 ;0 ;1 ;3 ;0 ;158 ;
105 ;0 ;1 ;4 ;0 ;216 ;
105 ;0 ;1 ;5 ;0 ;126 ;
105 ;0 ;1 ;6 ;0 ;248 ;
105 ;0 ;1 ;7 ;0 ;250 ;
105 ;0 ;1 ;8 ;0 ;182 ;
105 ;0 ;2 ;1 ;0 ;334 ;
105 ;0 ;2 ;2 ;0 ;259 ;
105 ;0 ;2 ;3 ;0 ;129 ;
105 ;0 ;2 ;4 ;0 ;404 ;
105 ;0 ;2 ;5 ;0 ;108 ;
105 ;0 ;2 ;6 ;0 ;249 ;
105 ;0 ;2 ;7 ;0 ;247 ;
105 ;0 ;2 ;8 ;0 ;198 ;
106 ;0 ;0 ;1 ;0 ;97 ;
106 ;0 ;0 ;2 ;0 ;312 ;
106 ;0 ;0 ;3 ;0 ;347 ;
106 ;0 ;0 ;4 ;0 ;251 ;
106 ;0 ;0 ;5 ;0 ;314 ;
106 ;0 ;0 ;6 ;0 ;266 ;
106 ;0 ;0 ;7 ;0 ;242 ;
106 ;0 ;1 ;1 ;0 ;133 ;
106 ;0 ;1 ;2 ;0 ;159 ;
106 ;0 ;1 ;3 ;0 ;367 ;
106 ;0 ;1 ;4 ;0 ;68 ;
106 ;0 ;1 ;5 ;0 ;366 ;
106 ;0 ;1 ;6 ;0 ;73 ;
106 ;0 ;1 ;7 ;0 ;84 ;
106 ;0 ;2 ;1 ;0 ;168 ;
106 ;0 ;2 ;2 ;0 ;218 ;
106 ;0 ;2 ;3 ;0 ;252 ;
106 ;0 ;2 ;4 ;0 ;172 ;
106 ;0 ;2 ;5 ;0 ;61 ;
106 ;0 ;2 ;6 ;0 ;373 ;
106 ;0 ;2 ;7 ;0 ;89 ;
106 ;0 ;2 ;8 ;0 ;310 ;
106 ;0 ;3 ;1 ;0 ;197 ;
106 ;0 ;3 ;2 ;0 ;360 ;
106 ;0 ;3 ;3 ;0 ;58 ;
106 ;0 ;3 ;4 ;0 ;238 ;
106 ;0 ;3 ;5 ;0 ;88 ;
106 ;0 ;3 ;6 ;0 ;397 ;
106 ;0 ;3 ;7 ;0 ;274 ;
106 ;0 ;3 ;8 ;0 ;325 ;
106 ;0 ;4 ;1 ;0 ;139 ;
106 ;0 ;4 ;2 ;0 ;308 ;
106 ;0 ;4 ;3 ;0 ;134 ;
106 ;0 ;4 ;4 ;0 ;166 ;
106 ;0 ;4 ;5 ;0 ;54 ;
106 ;0 ;4 ;6 ;0 ;379 ;
106 ;0 ;4 ;7 ;0 ;229 ;
106 ;0 ;4 ;8 ;0 ;37 ;
