id;event;round ;heat
1 ;999 ;4 ;0 ;
2 ;101 ;0 ;1 ;
3 ;101 ;0 ;2 ;
4 ;101 ;0 ;3 ;
5 ;101 ;0 ;4 ;
6 ;101 ;0 ;5 ;
7 ;102 ;0 ;0 ;
8 ;102 ;0 ;1 ;
9 ;102 ;0 ;2 ;
10 ;102 ;0 ;3 ;
11 ;102 ;0 ;4 ;
12 ;102 ;0 ;5 ;
13 ;103 ;0 ;0 ;
14 ;103 ;0 ;1 ;
15 ;103 ;0 ;2 ;
16 ;103 ;0 ;3 ;
17 ;103 ;0 ;4 ;
18 ;104 ;0 ;0 ;
19 ;104 ;0 ;1 ;
20 ;104 ;0 ;2 ;
21 ;104 ;0 ;3 ;
22 ;104 ;0 ;4 ;
23 ;104 ;0 ;5 ;
24 ;105 ;0 ;0 ;
25 ;105 ;0 ;1 ;
26 ;105 ;0 ;2 ;
27 ;106 ;0 ;0 ;
28 ;106 ;0 ;1 ;
29 ;106 ;0 ;2 ;
30 ;106 ;0 ;3 ;
31 ;106 ;0 ;4 ;
32 ;106 ;0 ;5 ;
33 ;107 ;0 ;0 ;
34 ;107 ;0 ;1 ;
35 ;107 ;0 ;2 ;
36 ;107 ;0 ;3 ;
37 ;107 ;0 ;4 ;
38 ;107 ;0 ;5 ;
39 ;107 ;0 ;6 ;
40 ;108 ;0 ;0 ;
41 ;108 ;0 ;1 ;
42 ;108 ;0 ;1 ;
43 ;108 ;0 ;2 ;
44 ;108 ;0 ;3 ;
45 ;108 ;0 ;4 ;
46 ;108 ;0 ;5 ;
47 ;109 ;0 ;0 ;
48 ;109 ;0 ;1 ;
49 ;109 ;0 ;2 ;
50 ;121 ;0 ;0 ;
51 ;122 ;0 ;0 ;
52 ;123 ;0 ;0 ;
53 ;124 ;0 ;0 ;
54 ;125 ;0 ;0 ;
55 ;126 ;0 ;0 ;
56 ;127 ;0 ;0 ;
57 ;128 ;0 ;0 ;
58 ;131 ;0 ;0 ;
59 ;131 ;0 ;1 ;
60 ;132 ;0 ;0 ;
61 ;132 ;0 ;1 ;
62 ;201 ;0 ;0 ;
63 ;201 ;0 ;1 ;
64 ;201 ;0 ;2 ;
65 ;201 ;0 ;3 ;
66 ;202 ;0 ;0 ;
67 ;202 ;0 ;1 ;
68 ;202 ;0 ;2 ;
69 ;202 ;0 ;3 ;
70 ;204 ;0 ;0 ;
71 ;204 ;0 ;1 ;
72 ;204 ;0 ;2 ;
73 ;204 ;0 ;3 ;
74 ;205 ;0 ;0 ;
75 ;205 ;0 ;1 ;
76 ;205 ;0 ;2 ;
77 ;205 ;0 ;3 ;
78 ;205 ;0 ;4 ;
79 ;205 ;0 ;5 ;
80 ;205 ;0 ;6 ;
81 ;206 ;0 ;0 ;
82 ;206 ;0 ;1 ;
83 ;206 ;0 ;2 ;
84 ;206 ;0 ;3 ;
85 ;206 ;0 ;4 ;
86 ;206 ;0 ;5 ;
87 ;207 ;0 ;0 ;
88 ;207 ;0 ;1 ;
89 ;207 ;0 ;2 ;
90 ;208 ;0 ;0 ;
91 ;208 ;0 ;1 ;
92 ;208 ;0 ;2 ;
93 ;208 ;0 ;3 ;
94 ;209 ;0 ;0 ;
95 ;209 ;0 ;1 ;
96 ;209 ;0 ;2 ;
97 ;209 ;0 ;3 ;
98 ;221 ;0 ;0 ;
99 ;222 ;0 ;0 ;
100 ;223 ;0 ;0 ;
101 ;224 ;0 ;0 ;
102 ;225 ;0 ;0 ;
103 ;226 ;0 ;0 ;
