event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;49438540 ;" 13:43:58.54" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;0 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;25 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;5 ;0 ;1 ;47870 ;"       47.87" ;"B" ;47870 ;"       47.87" ;"B" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;2 ;0 ;2 ;53460 ;"       53.46" ;" " ;53390 ;"       53.39" ;" " ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;3 ;0 ;3 ;59040 ;"       59.04" ;" " ;59130 ;"       59.13" ;" " ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;49565390 ;" 13:46:05.39" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;5 ;0 ;1 ;42500 ;"       42.50" ;" " ;42540 ;"       42.54" ;" " ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;4 ;0 ;2 ;43250 ;"       43.25" ;"B" ;43250 ;"       43.25" ;"B" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;3 ;0 ;3 ;49830 ;"       49.83" ;" " ;49830 ;"       49.83" ;" " ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;2 ;0 ;4 ;50740 ;"       50.74" ;"B" ;50740 ;"       50.74" ;"B" ;0 ;"" ;"" ;
101 ;0 ;2 ;0 ;0 ;0 ;0 ;49649310 ;" 13:47:29.31" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;3 ;0 ;1 ;38650 ;"       38.65" ;" " ;38760 ;"       38.76" ;" " ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;5 ;0 ;2 ;39470 ;"       39.47" ;" " ;39460 ;"       39.46" ;" " ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;4 ;0 ;3 ;39980 ;"       39.98" ;" " ;39780 ;"       39.78" ;" " ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;6 ;0 ;4 ;41500 ;"       41.50" ;"B" ;41500 ;"       41.50" ;"B" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;1 ;0 ;5 ;46930 ;"       46.93" ;"B" ;46930 ;"       46.93" ;"B" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;2 ;0 ;6 ;57990 ;"       57.99" ;"B" ;57990 ;"       57.99" ;"B" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;0 ;0 ;0 ;49747870 ;" 13:49:07.87" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;6 ;0 ;1 ;42840 ;"       42.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;1 ;0 ;2 ;42870 ;"       42.87" ;"B" ;42870 ;"       42.87" ;"B" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;3 ;0 ;3 ;43610 ;"       43.61" ;" " ;43700 ;"       43.70" ;" " ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;5 ;0 ;4 ;46380 ;"       46.38" ;"B" ;46380 ;"       46.38" ;"B" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;4 ;0 ;5 ;49570 ;"       49.57" ;" " ;49550 ;"       49.55" ;" " ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;2 ;0 ;6 ;50960 ;"       50.96" ;"B" ;50960 ;"       50.96" ;"B" ;0 ;"" ;"" ;
101 ;0 ;4 ;0 ;0 ;0 ;0 ;49833000 ;" 13:50:33.00" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;0 ;5 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;25 ;5 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;3 ;0 ;1 ;41830 ;"       41.83" ;" " ;41850 ;"       41.85" ;" " ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;4 ;0 ;2 ;41920 ;"       41.92" ;"B" ;41920 ;"       41.92" ;"B" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;1 ;0 ;3 ;42500 ;"       42.50" ;" " ;42510 ;"       42.51" ;" " ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;2 ;0 ;4 ;45720 ;"       45.72" ;" " ;45840 ;"       45.84" ;" " ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;6 ;0 ;5 ;46520 ;"       46.52" ;" " ;46730 ;"       46.73" ;" " ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;5 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
