event; round;heat;lane;relais;idBib;
201 ;0 ;0 ;2 ;0 ;143 ;
201 ;0 ;0 ;3 ;0 ;256 ;
201 ;0 ;0 ;4 ;0 ;97 ;
201 ;0 ;0 ;5 ;0 ;242 ;
201 ;0 ;1 ;1 ;0 ;129 ;
201 ;0 ;1 ;2 ;0 ;239 ;
201 ;0 ;1 ;3 ;0 ;192 ;
201 ;0 ;1 ;4 ;0 ;258 ;
201 ;0 ;1 ;5 ;0 ;252 ;
201 ;0 ;2 ;1 ;0 ;155 ;
201 ;0 ;2 ;2 ;0 ;265 ;
201 ;0 ;2 ;3 ;0 ;253 ;
201 ;0 ;2 ;4 ;0 ;82 ;
201 ;0 ;2 ;5 ;0 ;112 ;
201 ;0 ;2 ;6 ;0 ;86 ;
201 ;0 ;3 ;1 ;0 ;16 ;
201 ;0 ;3 ;2 ;0 ;180 ;
201 ;0 ;3 ;3 ;0 ;85 ;
201 ;0 ;3 ;4 ;0 ;177 ;
201 ;0 ;3 ;5 ;0 ;49 ;
201 ;0 ;3 ;6 ;0 ;174 ;
201 ;0 ;4 ;1 ;0 ;147 ;
201 ;0 ;4 ;2 ;0 ;134 ;
201 ;0 ;4 ;3 ;0 ;79 ;
201 ;0 ;4 ;4 ;0 ;130 ;
201 ;0 ;4 ;5 ;0 ;15 ;
201 ;0 ;4 ;6 ;0 ;13 ;
201 ;0 ;5 ;1 ;0 ;7 ;
201 ;0 ;5 ;2 ;0 ;249 ;
201 ;0 ;5 ;3 ;0 ;170 ;
201 ;0 ;5 ;4 ;0 ;184 ;
201 ;0 ;5 ;5 ;0 ;216 ;
201 ;0 ;5 ;6 ;0 ;37 ;
201 ;0 ;6 ;1 ;0 ;201 ;
201 ;0 ;6 ;2 ;0 ;22 ;
201 ;0 ;6 ;3 ;0 ;194 ;
201 ;0 ;6 ;4 ;0 ;267 ;
201 ;0 ;6 ;5 ;0 ;200 ;
201 ;0 ;6 ;6 ;0 ;208 ;
201 ;0 ;7 ;1 ;0 ;11 ;
201 ;0 ;7 ;2 ;0 ;74 ;
201 ;0 ;7 ;3 ;0 ;10 ;
