event; round;heat;lane;relais;idBib;
105 ;0 ;0 ;1 ;0 ;119 ;
105 ;0 ;0 ;2 ;0 ;23 ;
105 ;0 ;0 ;3 ;0 ;59 ;
105 ;0 ;0 ;4 ;0 ;83 ;
105 ;0 ;0 ;5 ;0 ;5 ;
105 ;0 ;0 ;6 ;0 ;28 ;
105 ;0 ;1 ;1 ;0 ;132 ;
105 ;0 ;1 ;2 ;0 ;10 ;
105 ;0 ;1 ;3 ;0 ;7 ;
105 ;0 ;1 ;4 ;0 ;85 ;
105 ;0 ;1 ;5 ;0 ;38 ;
105 ;0 ;1 ;6 ;0 ;4 ;
105 ;0 ;2 ;1 ;0 ;87 ;
105 ;0 ;2 ;2 ;0 ;36 ;
105 ;0 ;2 ;3 ;0 ;25 ;
105 ;0 ;2 ;4 ;0 ;22 ;
105 ;0 ;2 ;5 ;0 ;141 ;
105 ;0 ;2 ;6 ;0 ;62 ;
105 ;0 ;3 ;1 ;0 ;68 ;
105 ;0 ;3 ;2 ;0 ;3 ;
105 ;0 ;3 ;3 ;0 ;131 ;
105 ;0 ;3 ;4 ;0 ;128 ;
105 ;0 ;3 ;5 ;0 ;134 ;
105 ;0 ;3 ;6 ;0 ;6 ;
105 ;0 ;4 ;1 ;0 ;43 ;
105 ;0 ;4 ;2 ;0 ;77 ;
105 ;0 ;4 ;3 ;0 ;137 ;
105 ;0 ;4 ;4 ;0 ;67 ;
105 ;0 ;4 ;5 ;0 ;11 ;
105 ;0 ;4 ;6 ;0 ;118 ;
105 ;0 ;5 ;1 ;0 ;92 ;
105 ;0 ;5 ;2 ;0 ;82 ;
105 ;0 ;5 ;3 ;0 ;47 ;
105 ;0 ;5 ;4 ;0 ;125 ;
105 ;0 ;5 ;5 ;0 ;18 ;
105 ;0 ;5 ;6 ;0 ;46 ;
105 ;0 ;6 ;1 ;0 ;30 ;
105 ;0 ;6 ;2 ;0 ;99 ;
105 ;0 ;6 ;3 ;0 ;129 ;
105 ;0 ;6 ;4 ;0 ;79 ;
105 ;0 ;6 ;5 ;0 ;55 ;
105 ;0 ;6 ;6 ;0 ;97 ;
105 ;0 ;7 ;1 ;0 ;66 ;
105 ;0 ;7 ;2 ;0 ;73 ;
105 ;0 ;7 ;3 ;0 ;70 ;
105 ;0 ;7 ;4 ;0 ;56 ;
105 ;0 ;7 ;5 ;0 ;57 ;
105 ;0 ;7 ;6 ;0 ;32 ;
105 ;0 ;8 ;1 ;0 ;91 ;
105 ;0 ;8 ;2 ;0 ;9 ;
105 ;0 ;8 ;3 ;0 ;20 ;
105 ;0 ;8 ;4 ;0 ;42 ;
105 ;0 ;8 ;5 ;0 ;78 ;
105 ;0 ;8 ;6 ;0 ;24 ;
105 ;0 ;9 ;1 ;0 ;120 ;
105 ;0 ;9 ;2 ;0 ;98 ;
105 ;0 ;9 ;3 ;0 ;116 ;
105 ;0 ;9 ;4 ;0 ;86 ;
105 ;0 ;9 ;5 ;0 ;51 ;
105 ;0 ;9 ;6 ;0 ;65 ;
105 ;0 ;10 ;1 ;0 ;142 ;
105 ;0 ;10 ;2 ;0 ;96 ;
105 ;0 ;10 ;3 ;0 ;90 ;
105 ;0 ;10 ;4 ;0 ;60 ;
105 ;0 ;10 ;5 ;0 ;95 ;
105 ;0 ;10 ;6 ;0 ;144 ;
105 ;0 ;11 ;1 ;0 ;1 ;
105 ;0 ;11 ;2 ;0 ;123 ;
105 ;0 ;11 ;3 ;0 ;110 ;
105 ;0 ;11 ;4 ;0 ;122 ;
105 ;0 ;11 ;5 ;0 ;112 ;
105 ;0 ;11 ;6 ;0 ;72 ;
