event;round;nbHeat;idLen;idStyle;abCat;date;time
101 ;0 ;6 ;3 ;0 ;"G" ;"09/27/13" ;"00:00" ;
102 ;0 ;3 ;3 ;0 ;"B" ;"09/27/13" ;"00:00" ;
103 ;0 ;3 ;3 ;0 ;"G" ;"09/27/13" ;"00:00" ;
104 ;0 ;3 ;3 ;0 ;"B" ;"09/27/13" ;"00:00" ;
201 ;0 ;2 ;0 ;3 ;"X" ;"09/27/13" ;"00:00" ;
203 ;0 ;7 ;1 ;2 ;"G" ;"09/27/13" ;"00:00" ;
204 ;0 ;3 ;1 ;2 ;"B" ;"09/27/13" ;"00:00" ;
205 ;0 ;5 ;1 ;0 ;"G" ;"09/27/13" ;"00:00" ;
206 ;0 ;4 ;1 ;0 ;"B" ;"09/27/13" ;"00:00" ;
207 ;0 ;8 ;0 ;1 ;"G" ;"09/27/13" ;"00:00" ;
208 ;0 ;4 ;0 ;1 ;"B" ;"09/27/13" ;"00:00" ;
209 ;0 ;4 ;0 ;3 ;"G" ;"09/27/13" ;"00:00" ;
210 ;0 ;4 ;0 ;3 ;"B" ;"09/27/13" ;"00:00" ;
211 ;0 ;1 ;2 ;2 ;"X" ;"09/27/13" ;"00:00" ;
213 ;0 ;7 ;2 ;0 ;"G" ;"09/27/13" ;"00:00" ;
214 ;0 ;4 ;2 ;0 ;"B" ;"09/27/13" ;"00:00" ;
215 ;0 ;3 ;2 ;2 ;"G" ;"09/27/13" ;"00:00" ;
216 ;0 ;3 ;2 ;2 ;"B" ;"09/27/13" ;"00:00" ;
301 ;0 ;2 ;1 ;4 ;"X" ;"09/27/13" ;"00:00" ;
303 ;0 ;5 ;2 ;4 ;"G" ;"09/27/13" ;"00:00" ;
304 ;0 ;3 ;2 ;4 ;"B" ;"09/27/13" ;"00:00" ;
305 ;0 ;4 ;1 ;4 ;"G" ;"09/27/13" ;"00:00" ;
306 ;0 ;4 ;1 ;4 ;"B" ;"09/27/13" ;"00:00" ;
401 ;0 ;2 ;0 ;1 ;"X" ;"09/27/13" ;"00:00" ;
403 ;0 ;8 ;1 ;0 ;"G" ;"09/27/13" ;"00:00" ;
404 ;0 ;4 ;1 ;0 ;"B" ;"09/27/13" ;"00:00" ;
405 ;0 ;3 ;1 ;2 ;"G" ;"09/27/13" ;"00:00" ;
406 ;0 ;3 ;1 ;2 ;"B" ;"09/27/13" ;"00:00" ;
407 ;0 ;7 ;0 ;3 ;"G" ;"09/27/13" ;"00:00" ;
408 ;0 ;3 ;0 ;3 ;"B" ;"09/27/13" ;"00:00" ;
409 ;0 ;4 ;0 ;1 ;"G" ;"09/27/13" ;"00:00" ;
410 ;0 ;4 ;0 ;1 ;"B" ;"09/27/13" ;"00:00" ;
411 ;0 ;2 ;2 ;0 ;"X" ;"09/27/13" ;"00:00" ;
413 ;0 ;5 ;2 ;1 ;"G" ;"09/27/13" ;"00:00" ;
414 ;0 ;3 ;2 ;1 ;"B" ;"09/27/13" ;"00:00" ;
415 ;0 ;3 ;2 ;0 ;"G" ;"09/27/13" ;"00:00" ;
416 ;0 ;3 ;2 ;0 ;"B" ;"09/27/13" ;"00:00" ;
501 ;0 ;1 ;3 ;0 ;"X" ;"09/27/13" ;"00:00" ;
503 ;0 ;7 ;1 ;4 ;"G" ;"09/27/13" ;"00:00" ;
504 ;0 ;3 ;1 ;4 ;"B" ;"09/27/13" ;"00:00" ;
505 ;0 ;4 ;2 ;4 ;"G" ;"09/27/13" ;"00:00" ;
506 ;0 ;4 ;2 ;4 ;"B" ;"09/27/13" ;"00:00" ;
601 ;0 ;2 ;0 ;2 ;"X" ;"09/27/13" ;"00:00" ;
603 ;0 ;3 ;1 ;3 ;"G" ;"09/27/13" ;"00:00" ;
604 ;0 ;2 ;1 ;3 ;"B" ;"09/27/13" ;"00:00" ;
605 ;0 ;3 ;1 ;1 ;"G" ;"09/27/13" ;"00:00" ;
606 ;0 ;3 ;1 ;1 ;"B" ;"09/27/13" ;"00:00" ;
607 ;0 ;9 ;0 ;0 ;"G" ;"09/27/13" ;"00:00" ;
608 ;0 ;3 ;0 ;0 ;"B" ;"09/27/13" ;"00:00" ;
609 ;0 ;3 ;0 ;2 ;"G" ;"09/27/13" ;"00:00" ;
610 ;0 ;3 ;0 ;2 ;"B" ;"09/27/13" ;"00:00" ;
611 ;0 ;1 ;2 ;3 ;"X" ;"09/27/13" ;"00:00" ;
613 ;0 ;6 ;2 ;2 ;"G" ;"09/27/13" ;"00:00" ;
614 ;0 ;2 ;2 ;2 ;"B" ;"09/27/13" ;"00:00" ;
615 ;0 ;2 ;2 ;3 ;"G" ;"09/27/13" ;"00:00" ;
616 ;0 ;2 ;2 ;3 ;"B" ;"09/27/13" ;"00:00" ;
701 ;0 ;3 ;0 ;0 ;"X" ;"09/27/13" ;"00:00" ;
703 ;0 ;6 ;1 ;1 ;"G" ;"09/27/13" ;"00:00" ;
