event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;2897930 ;"    48:17.93" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
101 ;0 ;0 ;0 ;4 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
101 ;0 ;0 ;0 ;6 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"        -.--" ;" " ;
101 ;0 ;0 ;50 ;4 ;0 ;2 ;40680 ;"       40.68" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;3 ;0 ;4 ;44970 ;"       44.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;4 ;0 ;2 ;90940 ;"     1:30.94" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;2 ;0 ;4 ;94490 ;"     1:34.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;4 ;0 ;2 ;141860 ;"     2:21.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;2 ;0 ;4 ;145130 ;"     2:25.13" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;200 ;4 ;0 ;2 ;192390 ;"     3:12.39" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;200 ;2 ;0 ;4 ;195290 ;"     3:15.29" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;250 ;4 ;0 ;2 ;244810 ;"     4:04.81" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;300 ;5 ;0 ;1 ;258750 ;"     4:18.75" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;300 ;3 ;0 ;3 ;295960 ;"     4:55.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;350 ;4 ;0 ;2 ;343510 ;"     5:43.51" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;350 ;2 ;0 ;4 ;352190 ;"     5:52.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;400 ;4 ;0 ;2 ;389770 ;"     6:29.77" ;" " ;389880 ;"     6:29.88" ;"A" ;0 ;"" ;"" ;
